Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 )
2022-03-22 16:00:56,28.98,10.2975,6.922499999999999,8.9325,107.2375,8.594999999999999,505.46000000000004
2022-03-22 17:00:56,25.375,10.74,6.865,9.5125,108.66499999999999,7.449999999999999,526.11
2022-03-22 18:00:56,31.865000000000002,18.575,9.879999999999999,13.0625,103.02250000000001,8.72,574.61
2022-03-22 19:00:56,45.715,35.245,15.94,19.29,88.9975,13.66,699.23
2022-03-22 20:00:56,47.364999999999995,21.91,23.785,26.66,75.055,12.245000000000001,1104.4299999999998
2022-03-22 21:00:56,57.17,21.0125,30.89,33.47,66.7525,19.12,1313.8449999999998
2022-03-22 22:00:56,58.322500000000005,15.462499999999999,19.9075,21.7375,64.8575,23.314999999999998,834.34
2022-03-22 23:00:56,42.7725,11.2475,13.23,14.7525,59.875,19.669999999999998,682.0550000000001
2022-03-23 00:00:56,36.595,11.2325,16.622500000000002,18.247500000000002,58.0325,19.425,755.64
2022-03-23 01:00:56,33.54,10.18,12.74,13.962499999999999,62.015,20.835,636.18
2022-03-23 02:00:56,30.372500000000002,10.1525,9.02,10.135000000000002,65.2775,16.82,598.535
2022-03-23 03:00:56,30.552500000000002,9.495000000000001,8.25,9.342500000000001,60.635,13.02,606.745
2022-03-23 04:00:56,25.39,8.7125,8.0125,9.115,53.635,13.02,661.52
2022-03-23 05:00:56,26.5325,7.2325,8.4575,9.49,45.1225,10.03,604.5350000000001
2022-03-23 06:00:56,30.317500000000003,6.8975,10.1175,11.219999999999999,42.07,7.375,599.845
2022-03-23 07:00:56,30.52,7.119999999999999,17.740000000000002,19.380000000000003,34.4025,8.215,594.76
2022-03-23 08:00:56,33.3225,8.465,23.3425,27.8975,32.3275,12.815000000000001,651.395
2022-03-23 09:00:56,33.22,12.55,19.1375,23.7225,52.32,19.57,662.83
2022-03-23 10:00:56,44.0475,15.762500000000001,13.955,17.4275,66.3825,10.555,629.455
2022-03-23 11:00:56,43.7425,17.5825,8.5525,10.51,84.275,11.755,598.2049999999999
2022-03-23 12:00:56,35.1225,14.1725,5.6825,6.9399999999999995,97.66499999999999,11.445,576.005
2022-03-23 13:00:56,37.75,12.379999999999999,5.895,7.1775,101.0175,0.0,208.785
2022-03-23 14:00:56,25.35,11.3875,5.8575,7.145,104.5525,60.30500000000001,360.05
2022-03-23 15:00:56,30.0975,10.835,7.475,9.42,107.255,39.905,592.865
2022-03-23 16:00:56,47.315,11.3,7.4375,11.7475,94.6125,28.415,551.03
2022-03-23 17:00:56,45.65,19.7825,8.535,14.9325,96.5625,24.63,551.485
2022-03-23 18:00:56,37.8925,9.9175,12.5625,18.802500000000002,91.46000000000001,20.445,633.37
2022-03-23 19:00:56,35.995,41.2275,16.7625,21.7575,85.73,21.56,674.825
2022-03-23 20:00:56,45.985,20.055,22.31,25.9625,76.125,20.655,839.415
2022-03-23 21:00:56,47.9825,25.23,22.052500000000002,24.57,66.8975,24.665,1003.815
2022-03-23 22:00:56,54.754999999999995,17.900000000000002,27.435000000000002,29.427500000000002,56.3775,23.98,1138.38
2022-03-23 23:00:56,69.465,16.1625,36.769999999999996,41.455,38.1075,36.019999999999996,1584.7
2022-03-24 00:00:56,56.195,11.83,38.91,57.4225,11.0075,25.72,1618.975
2022-03-24 01:00:56,56.269999999999996,12.0075,36.822500000000005,44.995,9.3575,29.515,1264.1550000000002
2022-03-24 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
