Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,0.0,11.33,16.89,32.19,19.1
2018-03-29 01:00:56,0.0,11.8,16.59,35.26,18.55
2018-03-29 02:00:56,0.0,12.21,16.91,40.16,16.91
2018-03-29 03:00:56,0.0,12.37,17.27,43.53,21.16
2018-03-29 04:00:56,0.0,13.19,15.93,38.5,31.03
2018-03-29 05:00:56,0.0,12.81,19.05,44.61,25.97
2018-03-29 06:00:56,0.0,12.26,14.45,36.93,37.85
2018-03-29 07:00:56,0.0,13.21,11.75,30.6,38.86
2018-03-29 08:00:56,0.0,12.83,14.6,44.84,30.43
2018-03-29 09:00:56,0.0,12.65,14.13,40.28,50.39
2018-03-29 10:00:56,0.0,9.08,15.14,39.98,54.39
2018-03-29 11:00:56,0.0,6.64,11.83,24.3,84.61
2018-03-29 12:00:56,0.0,6.0,11.26,18.65,94.76
2018-03-29 13:00:56,0.0,4.53,9.79,13.86,93.89
2018-03-29 14:00:56,0.0,3.86,9.11,12.8,84.56
2018-03-29 15:00:56,0.0,4.0,10.16,14.17,80.49
2018-03-29 16:00:56,0.0,4.24,8.92,12.49,82.73
2018-03-29 17:00:56,0.0,3.72,7.27,11.48,82.06
2018-03-29 18:00:56,0.0,10.35,9.36,13.87,70.29
2018-03-29 19:00:56,0.0,15.22,15.05,22.34,42.32
2018-03-29 20:00:56,0.0,15.99,18.25,30.65,24.93
2018-03-29 21:00:56,0.0,17.05,16.69,35.69,22.57
2018-03-29 22:00:56,0.0,16.86,18.4,43.49,23.25
2018-03-29 23:00:56,0.0,17.06,15.77,37.71,37.23
2018-03-30 00:00:56,0.0,16.75,18.75,46.6,28.57
2018-03-30 01:00:56,0.0,16.77,16.15,42.55,31.38
2018-03-30 02:00:56,0.0,17.44,17.49,46.12,31.79
2018-03-30 03:00:56,0.0,17.58,17.54,47.65,29.68
2018-03-30 04:00:56,0.0,17.22,17.0,47.0,35.34
2018-03-30 05:00:56,0.0,17.54,17.47,36.47,39.32
2018-03-30 06:00:56,0.0,12.39,10.89,29.81,42.01
2018-03-30 07:00:56,0.0,11.43,8.11,22.11,39.18
2018-03-30 08:00:56,0.0,10.93,10.46,30.36,37.24
2018-03-30 09:00:56,0.0,12.54,16.85,50.27,37.18
2018-03-30 10:00:56,0.0,12.78,15.39,49.79,48.19
2018-03-30 11:00:56,0.0,11.25,17.81,61.66,42.05
2018-03-30 12:00:56,0.0,10.42,19.17,65.6,35.53
2018-03-30 13:00:56,0.0,9.69,19.09,65.66,37.82
2018-03-30 14:00:56,0.0,8.84,21.26,72.47,27.37
2018-03-30 15:00:56,0.0,8.57,20.83,66.87,30.01
2018-03-30 16:00:56,0.0,8.82,18.84,51.65,52.03
2018-03-30 17:00:56,0.0,8.67,18.22,39.45,59.04
2018-03-30 18:00:56,0.0,11.33,16.29,31.69,57.99
2018-03-30 19:00:56,0.0,13.88,19.09,39.41,39.46
2018-03-30 20:00:56,0.0,14.98,17.87,40.41,25.21
2018-03-30 21:00:56,0.0,14.91,19.76,42.54,23.03
2018-03-30 22:00:56,0.0,15.27,15.64,39.9,24.54
2018-03-30 23:00:56,0.0,15.7,10.99,28.28,7.02
2018-03-31 00:00:56,0.0,15.26,11.8,36.24,3.43
2018-03-31 01:00:56,0.0,15.82,8.88,28.47,4.2
