Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-22 16:00:56,49.14,13.76,327.7,11.78,15.36,94.39
2022-03-22 17:00:56,57.89,13.73,360.42,11.33,17.56,97.35
2022-03-22 18:00:56,56.22,13.14,422.24,15.65,23.62,95.51
2022-03-22 19:00:56,62.39,13.57,641.37,30.63,38.6,77.73
2022-03-22 20:00:56,70.69,31.21,1050.3,47.69,53.69,61.08
2022-03-22 21:00:56,80.7,28.21,1124.12,65.64,69.72,42.12
2022-03-22 22:00:56,90.33,14.82,557.5,33.54,35.74,54.72
2022-03-22 23:00:56,71.72,10.15,419.67,18.7,20.29,59.66
2022-03-23 00:00:56,50.44,15.02,623.98,32.45,34.31,48.11
2022-03-23 01:00:56,42.47,13.98,466.46,24.06,25.54,54.38
2022-03-23 02:00:56,42.53,12.3,412.8,13.61,14.74,60.37
2022-03-23 03:00:56,44.36,9.5,417.36,10.33,11.4,58.21
2022-03-23 04:00:56,44.17,6.71,529.08,9.98,11.11,45.79
2022-03-23 05:00:56,45.25,6.83,423.61,10.69,11.51,45.55
2022-03-23 06:00:56,50.0,6.54,423.83,13.93,14.87,43.11
2022-03-23 07:00:56,52.83,7.28,408.62,19.57,20.69,38.84
2022-03-23 08:00:56,57.42,9.51,443.75,32.21,35.85,32.46
2022-03-23 09:00:56,61.83,13.39,456.71,28.13,33.02,40.91
2022-03-23 10:00:56,64.06,16.59,430.17,25.84,31.34,48.65
2022-03-23 11:00:56,71.03,18.91,451.89,14.15,16.61,67.62
2022-03-23 12:00:56,74.83,14.45,418.36,8.08,9.36,84.39
2022-03-23 13:00:56,66.64,12.9,417.57,8.83,10.31,89.47
2022-03-23 14:00:56,49.36,11.5,0.0,9.07,10.77,96.71
2022-03-23 15:00:56,54.26,11.08,453.67,13.01,17.12,100.14
2022-03-23 16:00:56,67.14,13.21,392.88,12.86,26.55,105.73
2022-03-23 17:00:56,61.14,12.64,386.34,13.99,35.87,106.56
2022-03-23 18:00:56,75.09,12.25,512.26,24.77,45.95,88.58
2022-03-23 19:00:56,76.86,10.61,561.09,26.1,41.35,85.87
2022-03-23 20:00:56,70.0,14.32,767.23,37.64,47.74,68.16
2022-03-23 21:00:56,77.56,19.19,1109.65,42.25,47.78,59.69
2022-03-23 22:00:56,87.89,26.1,1028.33,47.03,49.92,53.44
2022-03-23 23:00:56,100.39,21.9,1615.13,83.61,96.93,21.22
2022-03-24 00:00:56,124.75,26.52,1814.75,102.25,172.32,6.48
2022-03-24 01:00:56,126.25,17.37,1118.88,85.12,109.63,9.93
2022-03-24 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
