Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-22 16:00:56,19.0,4.4,8.14,6.29,8.84,95.97
2022-03-22 17:00:56,22.13,4.86,7.36,6.49,9.15,99.45
2022-03-22 18:00:56,34.03,6.04,7.24,6.67,9.45,99.8
2022-03-22 19:00:56,47.2,5.12,6.85,7.88,10.69,95.11
2022-03-22 20:00:56,22.0,3.69,7.34,9.43,12.25,88.81
2022-03-22 21:00:56,3.64,7.48,6.22,6.62,9.33,81.91
2022-03-22 22:00:56,2.84,5.52,7.0,6.24,8.82,82.47
2022-03-22 23:00:56,1.99,3.87,7.77,6.14,8.59,80.86
2022-03-23 00:00:56,2.91,5.13,8.09,6.0,8.34,82.98
2022-03-23 01:00:56,3.93,9.71,6.85,6.37,8.09,72.22
2022-03-23 02:00:56,3.13,9.73,6.17,5.84,7.61,68.8
2022-03-23 03:00:56,2.7,7.25,5.34,5.85,7.46,61.23
2022-03-23 04:00:56,0.54,7.92,4.95,6.62,8.16,60.35
2022-03-23 05:00:56,1.47,5.55,4.19,6.07,7.5,51.01
2022-03-23 06:00:56,1.1,4.11,5.55,6.24,7.61,60.13
2022-03-23 07:00:56,1.81,5.08,5.22,5.97,7.3,54.13
2022-03-23 08:00:56,0.64,16.01,5.35,11.46,13.66,51.52
2022-03-23 09:00:56,1.94,15.28,8.36,6.09,7.33,64.86
2022-03-23 10:00:56,8.42,0.0,10.88,0.0,0.0,77.47
2022-03-23 11:00:56,3.33,0.0,15.98,5.27,6.84,85.9
2022-03-23 12:00:56,1.57,0.0,11.03,5.74,7.09,91.61
2022-03-23 13:00:56,6.23,0.0,8.44,5.9,7.4,91.49
2022-03-23 14:00:56,5.12,8.57,8.4,5.85,7.36,92.35
2022-03-23 15:00:56,10.14,6.66,8.28,6.09,7.58,94.68
2022-03-23 16:00:56,11.58,6.34,7.98,6.93,8.52,94.62
2022-03-23 17:00:56,5.51,9.54,7.86,7.83,9.49,97.58
2022-03-23 18:00:56,11.43,7.27,8.51,11.65,13.46,96.19
2022-03-23 19:00:56,18.15,14.13,7.99,9.86,11.48,90.4
2022-03-23 20:00:56,15.73,9.99,6.67,10.23,12.03,87.01
2022-03-23 21:00:56,13.39,15.04,6.5,9.78,11.63,81.66
2022-03-23 22:00:56,16.15,13.01,5.41,10.56,12.33,70.01
2022-03-23 23:00:56,10.55,17.82,4.89,11.04,12.86,59.83
2022-03-24 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
