Date,PM10 ( µg/m3 ),SO2 ( µg/m3 )
2018-03-29 00:00:56,63.5,3.1
2018-03-29 01:00:56,49.84,3.55
2018-03-29 02:00:56,46.44,3.74
2018-03-29 03:00:56,29.96,3.85
2018-03-29 04:00:56,18.16,3.73
2018-03-29 05:00:56,42.4,3.65
2018-03-29 06:00:56,57.08,3.45
2018-03-29 07:00:56,68.32,3.6
2018-03-29 08:00:56,69.68,3.83
2018-03-29 09:00:56,68.32,3.92
2018-03-29 10:00:56,70.32,3.88
2018-03-29 11:00:56,72.16,3.81
2018-03-29 12:00:56,73.0,3.8
2018-03-29 13:00:56,75.55,3.83
2018-03-29 14:00:56,90.27,3.97
2018-03-29 15:00:56,111.28,3.86
2018-03-29 16:00:56,182.23,3.93
2018-03-29 17:00:56,143.18,3.96
2018-03-29 18:00:56,65.71,4.11
2018-03-29 19:00:56,41.73,4.0
2018-03-29 20:00:56,35.0,3.91
2018-03-29 21:00:56,36.27,3.87
2018-03-29 22:00:56,43.79,3.86
2018-03-29 23:00:56,46.25,3.86
2018-03-30 00:00:56,34.81,3.61
2018-03-30 01:00:56,24.11,2.71
2018-03-30 02:00:56,28.09,2.82
2018-03-30 03:00:56,18.16,2.9
2018-03-30 04:00:56,19.16,2.78
2018-03-30 05:00:56,18.57,2.83
2018-03-30 06:00:56,11.16,2.7
2018-03-30 07:00:56,12.95,2.76
2018-03-30 08:00:56,20.38,2.83
2018-03-30 09:00:56,30.46,2.79
2018-03-30 10:00:56,16.05,2.74
2018-03-30 11:00:56,11.16,2.93
2018-03-30 12:00:56,12.8,2.62
2018-03-30 13:00:56,16.05,2.81
2018-03-30 14:00:56,11.0,2.9
2018-03-30 15:00:56,10.52,2.73
2018-03-30 16:00:56,7.68,2.69
2018-03-30 17:00:56,7.61,2.7
2018-03-30 18:00:56,14.71,2.65
2018-03-30 19:00:56,9.76,2.63
2018-03-30 20:00:56,18.52,3.01
2018-03-30 21:00:56,15.36,2.85
2018-03-30 22:00:56,13.13,2.79
2018-03-30 23:00:56,17.71,2.87
2018-03-31 00:00:56,10.84,2.46
2018-03-31 01:00:56,9.68,1.71
2018-03-31 02:00:56,7.19,1.63
2018-03-31 03:00:56,2.67,1.52
2018-03-31 04:00:56,1.49,1.8
2018-03-31 05:00:56,4.48,1.59
2018-03-31 06:00:56,7.0,1.56
2018-03-31 07:00:56,7.16,1.46
2018-03-31 08:00:56,9.29,1.52
2018-03-31 09:00:56,14.06,1.51
2018-03-31 10:00:56,3.68,1.39
2018-03-31 11:00:56,2.16,1.59
2018-03-31 12:00:56,3.81,1.54
2018-03-31 13:00:56,7.68,1.6
2018-03-31 14:00:56,5.03,1.39
2018-03-31 15:00:56,0.48,1.4
2018-03-31 16:00:56,3.48,1.47
2018-03-31 17:00:56,6.0,1.39
2018-03-31 18:00:56,6.48,1.41
2018-03-31 19:00:56,10.29,1.63
2018-03-31 20:00:56,18.61,1.57
2018-03-31 21:00:56,38.45,1.73
2018-03-31 22:00:56,92.36,2.19
2018-03-31 23:00:56,61.39,2.17
2018-04-01 00:00:56,54.27,2.83
2018-04-01 01:00:56,57.94,3.53
2018-04-01 02:00:56,42.16,3.76
2018-04-01 03:00:56,39.0,3.54
2018-04-01 04:00:56,17.04,3.39
2018-04-01 05:00:56,11.68,3.27
2018-04-01 06:00:56,10.0,2.83
2018-04-01 07:00:56,11.12,2.75
2018-04-01 08:00:56,18.6,2.96
2018-04-01 09:00:56,25.4,2.87
2018-04-01 10:00:56,15.72,2.71
2018-04-01 11:00:56,9.0,2.49
2018-04-01 12:00:56,9.32,2.55
2018-04-01 13:00:56,11.0,2.7
2018-04-01 14:00:56,9.72,2.49
2018-04-01 15:00:56,2.52,2.49
2018-04-01 16:00:56,0.16,2.67
2018-04-01 17:00:56,1.48,2.53
2018-04-01 18:00:56,4.48,2.68
2018-04-01 19:00:56,7.64,2.7
2018-04-01 20:00:56,11.96,2.71
2018-04-01 21:00:56,28.86,2.86
2018-04-01 22:00:56,92.6,3.37
2018-04-01 23:00:56,103.72,4.48
2018-04-02 00:00:56,110.63,4.93
2018-04-02 01:00:56,64.95,4.59
2018-04-02 02:00:56,27.84,3.95
2018-04-02 03:00:56,27.16,3.82
2018-04-02 04:00:56,26.08,3.48
2018-04-02 05:00:56,14.71,3.2
2018-04-02 06:00:56,8.48,3.06
2018-04-02 07:00:56,11.64,2.85
2018-04-02 08:00:56,19.65,2.65
2018-04-02 09:00:56,45.79,2.87
2018-04-02 10:00:56,48.66,2.86
2018-04-02 11:00:56,14.54,2.9
2018-04-02 12:00:56,6.84,2.34
2018-04-02 13:00:56,6.16,2.33
2018-04-02 14:00:56,7.49,2.61
2018-04-02 15:00:56,10.48,2.39
2018-04-02 16:00:56,13.49,2.47
2018-04-02 17:00:56,16.0,2.56
2018-04-02 18:00:56,16.16,2.44
2018-04-02 19:00:56,17.81,2.41
2018-04-02 20:00:56,23.95,2.49
2018-04-02 21:00:56,33.35,2.68
2018-04-02 22:00:56,28.86,2.62
2018-04-02 23:00:56,23.16,2.61
2018-04-03 00:00:56,22.71,2.26
2018-04-03 01:00:56,16.49,1.52
2018-04-03 02:00:56,17.7,1.46
2018-04-03 03:00:56,11.33,1.47
2018-04-03 04:00:56,13.49,1.49
2018-04-03 05:00:56,15.84,1.49
2018-04-03 06:00:56,14.35,1.5
2018-04-03 07:00:56,11.98,1.44
2018-04-03 08:00:56,19.28,1.54
2018-04-03 09:00:56,29.05,1.52
2018-04-03 10:00:56,18.35,1.68
2018-04-03 11:00:56,13.86,1.52
2018-04-03 12:00:56,9.29,1.54
2018-04-03 13:00:56,15.03,1.29
2018-04-03 14:00:56,9.84,1.42
2018-04-03 15:00:56,8.51,1.65
2018-04-03 16:00:56,7.63,1.72
2018-04-03 17:00:56,14.7,1.54
2018-04-03 18:00:56,8.49,1.49
2018-04-03 19:00:56,15.23,1.51
2018-04-03 20:00:56,36.02,1.53
2018-04-03 21:00:56,29.54,1.46
2018-04-03 22:00:56,21.02,1.41
2018-04-03 23:00:56,15.84,1.29
2018-04-04 00:00:56,15.96,1.67
2018-04-04 01:00:56,17.93,2.63
2018-04-04 02:00:56,1.84,2.67
2018-04-04 03:00:56,0.84,2.59
2018-04-04 04:00:56,0.16,2.42
2018-04-04 05:00:56,1.0,2.23
2018-04-04 06:00:56,0.84,2.49
2018-04-04 07:00:56,0.65,2.48
2018-04-04 08:00:56,7.56,2.77
2018-04-04 09:00:56,24.22,2.66
2018-04-04 10:00:56,14.19,2.36
2018-04-04 11:00:56,9.35,2.57
2018-04-04 12:00:56,6.0,0.0
2018-04-04 13:00:56,5.68,2.65
2018-04-04 14:00:56,3.68,2.68
2018-04-04 15:00:56,2.65,2.72
2018-04-04 16:00:56,6.49,2.48
2018-04-04 17:00:56,8.51,2.67
2018-04-04 18:00:56,5.51,2.38
2018-04-04 19:00:56,3.49,2.63
2018-04-04 20:00:56,9.88,2.61
2018-04-04 21:00:56,37.76,2.9
2018-04-04 22:00:56,81.58,3.39
2018-04-04 23:00:56,97.48,3.78
2018-04-05 00:00:56,78.43,4.04
2018-04-05 01:00:56,43.28,3.95
2018-04-05 02:00:56,19.1,3.78
2018-04-05 03:00:56,22.64,3.7
2018-04-05 04:00:56,10.0,3.4
2018-04-05 05:00:56,9.84,3.14
2018-04-05 06:00:56,8.37,2.91
2018-04-05 07:00:56,7.2,2.86
2018-04-05 08:00:56,24.51,3.03
2018-04-05 09:00:56,51.8,3.26
2018-04-05 10:00:56,35.12,3.51
2018-04-05 11:00:56,9.0,3.12
2018-04-05 12:00:56,9.0,3.12
2018-04-05 13:00:56,8.84,2.73
2018-04-05 14:00:56,8.16,2.83
2018-04-05 15:00:56,8.84,2.97
2018-04-05 16:00:56,7.84,2.86
2018-04-05 17:00:56,6.69,2.93
2018-04-05 18:00:56,5.16,2.88
2018-04-05 19:00:56,6.79,3.02
2018-04-05 20:00:56,14.65,2.94
2018-04-05 21:00:56,42.79,3.23
2018-04-05 22:00:56,91.08,4.06
2018-04-05 23:00:56,101.68,4.78
2018-04-06 00:00:56,94.02,5.3
2018-04-06 01:00:56,56.25,5.16
2018-04-06 02:00:56,25.2,4.86
2018-04-06 03:00:56,20.52,4.46
2018-04-06 04:00:56,16.72,4.25
2018-04-06 05:00:56,10.32,3.71
2018-04-06 06:00:56,11.68,3.52
2018-04-06 07:00:56,10.96,3.64
2018-04-06 08:00:56,17.44,3.4
2018-04-06 09:00:56,25.0,3.32
2018-04-06 10:00:56,22.28,3.37
2018-04-06 11:00:56,8.48,3.34
2018-04-06 12:00:56,11.0,3.27
2018-04-06 13:00:56,10.03,3.26
2018-04-06 14:00:56,4.84,3.25
2018-04-06 15:00:56,4.32,3.21
2018-04-06 16:00:56,7.6,3.13
2018-04-06 17:00:56,15.68,3.24
2018-04-06 18:00:56,13.68,3.22
2018-04-06 19:00:56,12.0,3.31
2018-04-06 20:00:56,16.16,3.22
2018-04-06 21:00:56,47.92,3.87
2018-04-06 22:00:56,91.68,4.56
2018-04-06 23:00:56,47.68,4.63
2018-04-07 00:00:56,44.43,4.61
2018-04-07 01:00:56,36.16,4.03
2018-04-07 02:00:56,33.64,3.35
2018-04-07 03:00:56,15.84,3.19
2018-04-07 04:00:56,15.16,2.82
2018-04-07 05:00:56,15.36,2.69
2018-04-07 06:00:56,12.64,2.74
2018-04-07 07:00:56,16.8,2.63
2018-04-07 08:00:56,20.2,2.77
2018-04-07 09:00:56,17.44,2.49
2018-04-07 10:00:56,25.32,2.8
2018-04-07 11:00:56,24.12,2.63
2018-04-07 12:00:56,9.16,2.5
2018-04-07 13:00:56,10.32,2.38
2018-04-07 14:00:56,12.48,2.3
2018-04-07 15:00:56,13.89,2.47
2018-04-07 16:00:56,7.84,2.49
2018-04-07 17:00:56,6.84,2.42
2018-04-07 18:00:56,6.32,2.58
2018-04-07 19:00:56,8.32,2.47
2018-04-07 20:00:56,15.56,2.82
2018-04-07 21:00:56,58.8,3.33
2018-04-07 22:00:56,119.47,3.5
2018-04-07 23:00:56,54.75,3.61
2018-04-08 00:00:56,60.56,3.78
2018-04-08 01:00:56,42.0,3.84
2018-04-08 02:00:56,39.14,3.72
2018-04-08 03:00:56,23.05,3.66
2018-04-08 04:00:56,16.89,3.34
2018-04-08 05:00:56,10.84,3.13
2018-04-08 06:00:56,10.0,3.09
2018-04-08 07:00:56,12.54,3.2
2018-04-08 08:00:56,24.89,3.2
2018-04-08 09:00:56,19.95,3.09
2018-04-08 10:00:56,25.16,3.03
2018-04-08 11:00:56,24.89,3.04
2018-04-08 12:00:56,19.95,2.9
2018-04-08 13:00:56,26.59,3.14
2018-04-08 14:00:56,33.57,3.13
2018-04-08 15:00:56,25.68,3.02
2018-04-08 16:00:56,24.79,3.03
2018-04-08 17:00:56,30.28,3.22
2018-04-08 18:00:56,36.52,3.17
2018-04-08 19:00:56,33.84,3.25
2018-04-08 20:00:56,33.97,3.17
2018-04-08 21:00:56,42.71,3.15
2018-04-08 22:00:56,66.35,3.52
2018-04-08 23:00:56,84.0,4.01
2018-04-09 00:00:56,56.73,3.62
2018-04-09 01:00:56,47.42,3.33
2018-04-09 02:00:56,33.36,3.0
2018-04-09 03:00:56,30.48,2.82
2018-04-09 04:00:56,32.19,2.68
2018-04-09 05:00:56,32.19,2.91
2018-04-09 06:00:56,51.26,2.84
2018-04-09 07:00:56,35.71,2.65
2018-04-09 08:00:56,31.26,2.56
2018-04-09 09:00:56,45.6,2.76
2018-04-09 10:00:56,56.89,2.71
2018-04-09 11:00:56,46.33,2.83
2018-04-09 12:00:56,46.87,2.68
2018-04-09 13:00:56,40.68,2.72
2018-04-09 14:00:56,38.36,2.87
2018-04-09 15:00:56,36.77,2.71
2018-04-09 16:00:56,45.19,2.61
2018-04-09 17:00:56,41.81,2.64
2018-04-09 18:00:56,45.52,2.8
2018-04-09 19:00:56,41.39,2.61
2018-04-09 20:00:56,32.84,2.72
2018-04-09 21:00:56,33.76,2.6
2018-04-09 22:00:56,42.03,2.6
2018-04-09 23:00:56,37.0,2.89
2018-04-10 00:00:56,35.27,2.66
2018-04-10 01:00:56,30.04,2.72
2018-04-10 02:00:56,47.78,2.56
2018-04-10 03:00:56,29.55,2.68
2018-04-10 04:00:56,21.52,2.49
2018-04-10 05:00:56,19.48,2.48
2018-04-10 06:00:56,20.71,2.66
2018-04-10 07:00:56,14.32,2.52
2018-04-10 08:00:56,16.16,2.4
2018-04-10 09:00:56,16.52,2.64
2018-04-10 10:00:56,16.1,2.72
2018-04-10 11:00:56,27.0,2.76
2018-04-10 12:00:56,26.84,2.78
2018-04-10 13:00:56,25.84,2.88
2018-04-10 14:00:56,23.24,2.71
2018-04-10 15:00:56,14.48,2.76
2018-04-10 16:00:56,16.36,2.67
2018-04-10 17:00:56,14.12,2.94
2018-04-10 18:00:56,21.12,2.92
2018-04-10 19:00:56,27.96,2.79
2018-04-10 20:00:56,31.72,2.93
2018-04-10 21:00:56,23.4,2.85
2018-04-10 22:00:56,15.32,2.81
2018-04-10 23:00:56,16.52,2.89
2018-04-11 00:00:56,13.53,2.82
2018-04-11 01:00:56,10.68,2.7
2018-04-11 02:00:56,9.32,2.78
2018-04-11 03:00:56,11.32,2.47
2018-04-11 04:00:56,12.52,2.45
2018-04-11 05:00:56,9.37,2.49
2018-04-11 06:00:56,6.63,2.48
2018-04-11 07:00:56,10.63,2.58
