Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2022-03-23 16:00:56,26.03,4.99,0.0,16.47
2022-03-23 17:00:56,36.87,4.89,0.0,19.97
2022-03-23 18:00:56,30.1,5.45,0.0,21.21
2022-03-23 19:00:56,34.93,14.63,0.0,25.04
2022-03-23 20:00:56,35.99,6.64,0.0,31.06
2022-03-23 21:00:56,36.99,7.23,0.0,43.18
2022-03-23 22:00:56,41.93,6.55,0.0,37.9
2022-03-23 23:00:56,26.23,5.74,0.0,42.26
2022-03-24 00:00:56,26.99,5.33,0.0,34.28
2022-03-24 01:00:56,27.0,4.62,0.0,24.41
2022-03-24 02:00:56,0.0,0.0,0.0,0.0
2022-03-24 03:00:56,0.0,0.0,0.0,0.0
2022-03-24 04:00:56,0.0,0.0,0.0,0.0
2022-03-24 05:00:56,0.0,0.0,0.0,0.0
2022-03-24 06:00:56,0.0,0.0,0.0,0.0
2022-03-24 07:00:56,0.0,0.0,0.0,0.0
2022-03-24 08:00:56,0.0,0.0,0.0,0.0
2022-03-24 09:00:56,0.0,0.0,0.0,0.0
2022-03-24 10:00:56,0.0,0.0,0.0,0.0
2022-03-24 11:00:56,0.0,0.0,0.0,0.0
