Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-22 16:00:56,25.74,11.95,11.52,367.45,10.55,13.38,8.29
2022-03-22 17:00:56,27.47,14.65,10.03,361.25,12.6,15.49,8.2
2022-03-22 18:00:56,28.97,14.74,14.35,391.35,15.79,18.8,8.22
2022-03-22 19:00:56,30.96,14.06,23.56,473.35,20.42,23.94,8.52
2022-03-22 20:00:56,32.91,17.23,65.34,684.47,41.1,47.13,8.79
2022-03-22 21:00:56,45.78,27.85,97.76,850.6,56.33,64.91,8.62
2022-03-22 22:00:56,59.02,39.68,75.31,772.42,45.99,52.69,8.37
2022-03-22 23:00:56,61.65,40.77,38.86,564.36,27.71,31.08,8.1
2022-03-23 00:00:56,60.54,35.51,23.35,458.5,16.03,18.49,8.16
2022-03-23 01:00:56,54.94,32.03,22.26,404.58,13.18,15.21,8.68
2022-03-23 02:00:56,47.65,30.21,19.16,339.33,11.28,12.71,8.52
2022-03-23 03:00:56,40.1,25.14,18.96,310.85,9.97,11.22,8.17
2022-03-23 04:00:56,35.64,19.31,16.46,288.4,9.34,10.53,8.18
2022-03-23 05:00:56,31.1,18.47,11.21,269.3,9.58,10.64,8.05
2022-03-23 06:00:56,23.17,19.57,7.78,256.57,10.73,11.84,7.77
2022-03-23 07:00:56,16.98,18.4,7.05,264.02,12.4,14.0,7.73
2022-03-23 08:00:56,14.51,15.49,14.26,348.2,14.96,17.93,8.08
2022-03-23 09:00:56,17.34,13.57,18.46,374.62,16.81,21.21,8.33
2022-03-23 10:00:56,21.07,13.29,14.65,313.01,15.2,19.75,8.29
2022-03-23 11:00:56,24.78,15.21,13.11,285.73,12.23,15.99,8.4
2022-03-23 12:00:56,27.57,19.33,13.36,293.78,10.66,14.06,8.41
2022-03-23 13:00:56,26.96,20.92,15.65,322.61,10.31,13.88,8.17
2022-03-23 14:00:56,26.04,17.79,19.62,344.17,10.07,13.15,8.32
2022-03-23 15:00:56,25.49,15.49,18.36,355.15,11.4,14.72,8.53
2022-03-23 16:00:56,28.69,17.91,18.8,348.15,13.47,17.41,8.54
2022-03-23 17:00:56,31.82,20.2,25.49,369.55,17.43,22.31,8.85
2022-03-23 18:00:56,40.47,19.48,28.64,422.03,23.1,28.46,8.96
2022-03-23 19:00:56,46.34,20.43,31.39,525.87,31.43,36.88,9.27
2022-03-23 20:00:56,50.6,29.98,62.28,1042.3,67.89,80.95,9.67
2022-03-23 21:00:56,71.47,49.9,73.22,1212.15,79.38,94.23,9.62
2022-03-23 22:00:56,89.71,63.2,44.03,792.53,48.98,56.57,8.96
2022-03-23 23:00:56,81.64,59.7,40.47,714.94,38.12,44.71,7.91
2022-03-24 00:00:56,66.56,52.49,39.33,717.54,36.62,42.59,7.73
2022-03-24 01:00:56,59.39,48.18,42.96,545.13,23.93,27.15,8.85
2022-03-24 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
