Date,PM10 ( µg/m3 ),SO2 ( µg/m3 )
2022-03-23 16:00:56,0.0,0.0
2022-03-23 17:00:56,0.0,11.28
2022-03-23 18:00:56,15.15,9.26
2022-03-23 19:00:56,42.54,9.48
2022-03-23 20:00:56,23.07,9.3
2022-03-23 21:00:56,25.25,9.9
2022-03-23 22:00:56,41.29,10.14
2022-03-23 23:00:56,31.35,9.66
2022-03-24 00:00:56,35.37,10.28
2022-03-24 01:00:56,27.13,10.51
2022-03-24 02:00:56,29.21,10.81
2022-03-24 03:00:56,31.93,11.59
2022-03-24 04:00:56,31.34,11.08
2022-03-24 05:00:56,35.72,10.82
2022-03-24 06:00:56,31.26,11.46
2022-03-24 07:00:56,22.49,11.68
2022-03-24 08:00:56,29.9,12.24
2022-03-24 09:00:56,42.14,13.22
2022-03-24 10:00:56,43.58,11.67
2022-03-24 11:00:56,0.0,0.0
