Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2022-03-22 16:00:56,22.78,12.74,14.1,22.34
2022-03-22 17:00:56,26.19,12.99,15.87,23.72
2022-03-22 18:00:56,25.4,15.36,20.42,27.93
2022-03-22 19:00:56,34.12,14.54,22.48,29.45
2022-03-22 20:00:56,30.51,14.23,25.49,33.26
2022-03-22 21:00:56,31.98,13.9,19.57,26.13
2022-03-22 22:00:56,25.39,13.46,12.19,18.14
2022-03-22 23:00:56,27.68,13.83,19.46,26.3
2022-03-23 00:00:56,38.33,13.41,21.95,27.49
2022-03-23 01:00:56,30.9,13.74,17.63,22.97
2022-03-23 02:00:56,22.72,13.48,20.42,25.84
2022-03-23 03:00:56,24.85,13.05,16.36,21.74
2022-03-23 04:00:56,21.58,12.77,14.94,20.1
2022-03-23 05:00:56,22.64,11.32,11.61,17.22
2022-03-23 06:00:56,22.59,11.28,12.01,17.35
2022-03-23 07:00:56,28.8,11.1,13.41,18.67
2022-03-23 08:00:56,31.2,10.85,28.63,35.98
2022-03-23 09:00:56,42.14,11.07,27.13,33.24
2022-03-23 10:00:56,60.77,11.59,19.18,25.83
2022-03-23 11:00:56,54.01,12.29,21.15,28.72
2022-03-23 12:00:56,49.77,10.45,29.27,37.52
2022-03-23 13:00:56,40.73,10.83,32.23,40.67
2022-03-23 14:00:56,37.45,11.48,24.05,31.62
2022-03-23 15:00:56,29.7,11.65,19.3,26.21
2022-03-23 16:00:56,29.85,11.25,17.81,24.68
2022-03-23 17:00:56,19.41,13.11,19.77,27.38
2022-03-23 18:00:56,10.31,12.18,27.44,34.7
2022-03-23 19:00:56,18.6,11.11,33.81,41.09
2022-03-23 20:00:56,11.94,11.21,40.1,47.82
2022-03-23 21:00:56,21.81,11.57,25.92,32.35
2022-03-23 22:00:56,14.99,11.56,24.79,31.04
2022-03-23 23:00:56,15.19,11.0,27.85,33.25
2022-03-24 00:00:56,19.0,10.98,25.94,31.04
2022-03-24 01:00:56,20.54,10.94,21.03,26.34
2022-03-24 02:00:56,0.0,0.0,0.0,0.0
