Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2022-03-22 16:00:56,18.76,12.12,16.35,22.21
2022-03-22 17:00:56,26.74,12.43,15.37,21.4
2022-03-22 18:00:56,24.59,13.45,15.92,20.81
2022-03-22 19:00:56,26.11,14.96,18.63,25.43
2022-03-22 20:00:56,28.91,14.31,22.28,29.17
2022-03-22 21:00:56,32.12,14.5,19.02,25.95
2022-03-22 22:00:56,30.47,15.17,17.79,24.86
2022-03-22 23:00:56,24.7,15.86,24.44,30.44
2022-03-23 00:00:56,25.6,15.41,25.08,30.85
2022-03-23 01:00:56,37.26,14.12,21.81,29.16
2022-03-23 02:00:56,25.71,13.63,20.24,26.18
2022-03-23 03:00:56,24.34,13.5,20.34,27.04
2022-03-23 04:00:56,30.25,13.92,17.0,23.64
2022-03-23 05:00:56,19.21,13.96,15.7,22.34
2022-03-23 06:00:56,18.54,14.62,20.79,26.74
2022-03-23 07:00:56,21.72,15.66,19.84,26.97
2022-03-23 08:00:56,23.73,16.45,29.89,36.55
2022-03-23 09:00:56,24.62,16.17,32.74,40.46
2022-03-23 10:00:56,25.89,15.47,23.84,30.34
2022-03-23 11:00:56,36.34,15.31,34.5,41.11
2022-03-23 12:00:56,37.37,17.69,32.85,39.59
2022-03-23 13:00:56,43.74,18.33,23.29,29.41
2022-03-23 14:00:56,22.99,15.88,22.01,28.49
2022-03-23 15:00:56,14.15,16.06,18.41,24.47
2022-03-23 16:00:56,12.52,15.5,20.26,28.25
2022-03-23 17:00:56,8.86,14.64,18.11,26.01
2022-03-23 18:00:56,12.01,16.0,26.14,32.38
2022-03-23 19:00:56,14.22,15.44,26.93,33.99
2022-03-23 20:00:56,16.73,15.21,27.62,34.5
2022-03-23 21:00:56,24.28,15.37,26.08,33.12
2022-03-23 22:00:56,18.4,16.44,25.98,32.51
2022-03-23 23:00:56,14.59,16.03,29.76,37.49
2022-03-24 00:00:56,24.12,15.23,26.68,33.21
2022-03-24 01:00:56,26.87,14.65,22.98,29.48
2022-03-24 02:00:56,0.0,0.0,0.0,0.0
