Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-22 16:00:56,69.48,23.68,301.93,48.96,67.94,38.98
2022-03-22 17:00:56,48.1,20.89,494.18,54.05,77.08,37.29
2022-03-22 18:00:56,71.11,16.75,507.32,61.01,96.16,29.99
2022-03-22 19:00:56,60.51,22.42,502.26,60.58,91.13,31.37
2022-03-22 20:00:56,54.04,16.72,793.5,59.53,85.77,31.91
2022-03-22 21:00:56,67.04,14.29,474.16,60.1,83.93,31.13
2022-03-22 22:00:56,63.61,17.71,332.58,59.67,80.69,30.61
2022-03-22 23:00:56,72.23,18.63,376.27,59.41,78.04,23.45
2022-03-23 00:00:56,66.69,29.67,480.03,52.34,71.21,28.14
2022-03-23 01:00:56,70.23,20.47,481.5,49.2,65.54,22.77
2022-03-23 02:00:56,81.36,44.37,242.65,43.52,53.42,28.9
2022-03-23 03:00:56,72.22,28.97,225.98,35.25,43.67,37.65
2022-03-23 04:00:56,61.69,36.86,205.13,34.92,44.78,31.33
2022-03-23 05:00:56,66.21,45.13,0.0,32.62,41.8,37.53
2022-03-23 06:00:56,46.24,27.99,123.16,28.86,37.5,47.06
2022-03-23 07:00:56,54.32,29.55,427.77,35.41,48.62,32.2
2022-03-23 08:00:56,42.12,21.4,447.23,51.97,83.97,21.3
2022-03-23 09:00:56,74.57,44.53,531.01,56.26,90.77,25.9
2022-03-23 10:00:56,79.99,38.81,503.3,53.12,80.76,32.24
2022-03-23 11:00:56,80.1,37.72,398.4,59.52,103.03,24.62
2022-03-23 12:00:56,60.46,43.41,381.71,58.0,93.36,28.08
2022-03-23 13:00:56,58.76,41.84,313.08,54.72,80.34,32.7
2022-03-23 14:00:56,46.93,23.27,332.26,56.57,83.86,30.8
2022-03-23 15:00:56,11.99,0.0,639.87,52.61,98.75,0.0
2022-03-23 16:00:56,5.11,0.0,972.31,59.14,105.78,24.33
2022-03-23 17:00:56,0.0,0.0,0.0,39.47,69.67,0.0
2022-03-23 18:00:56,0.0,0.0,0.0,0.0,0.0,33.11
2022-03-23 19:00:56,0.0,0.0,649.83,0.0,0.0,22.3
2022-03-23 20:00:56,141.78,37.35,1279.72,73.74,171.58,13.09
2022-03-23 21:00:56,157.32,39.41,1788.49,60.22,123.45,15.5
2022-03-23 22:00:56,135.35,49.1,2277.32,49.4,86.54,14.33
2022-03-23 23:00:56,115.74,61.13,1956.9,47.56,75.93,13.26
2022-03-24 00:00:56,95.51,50.95,1810.89,42.62,63.96,19.15
2022-03-24 01:00:56,78.25,35.47,1675.57,35.4,46.45,21.72
2022-03-24 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
