Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,0.74,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-23 17:00:56,21.59,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-23 18:00:56,20.39,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-23 19:00:56,14.27,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-23 20:00:56,9.99,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-23 21:00:56,6.99,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-23 22:00:56,4.89,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-23 23:00:56,3.43,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 00:00:56,2.4,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 01:00:56,1.68,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 02:00:56,1.18,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 03:00:56,0.82,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 04:00:56,0.58,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 05:00:56,0.4,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 06:00:56,0.28,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 07:00:56,0.2,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 08:00:56,0.14,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 09:00:56,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 10:00:56,0.07,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
