Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2022-03-22 16:00:56,28.15,5.86,8.03,1277.69,26.37,33.65
2022-03-22 17:00:56,33.76,6.38,7.9,1051.34,27.58,33.99
2022-03-22 18:00:56,35.63,7.4,6.97,1296.39,33.31,41.45
2022-03-22 19:00:56,30.67,7.74,7.39,956.77,43.25,48.79
2022-03-22 20:00:56,27.19,11.05,14.18,809.77,56.4,60.51
2022-03-22 21:00:56,24.31,12.43,18.36,712.99,80.78,88.22
2022-03-22 22:00:56,30.97,9.42,20.19,577.43,81.05,88.37
2022-03-22 23:00:56,34.56,7.36,22.14,567.02,88.31,96.02
2022-03-23 00:00:56,34.75,5.92,23.65,506.28,81.57,86.08
2022-03-23 01:00:56,32.98,7.73,23.52,370.02,59.03,62.57
2022-03-23 02:00:56,27.94,8.86,20.54,323.99,42.96,44.5
2022-03-23 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-23 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-23 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-23 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-23 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-23 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-23 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-23 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-23 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-23 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-23 13:00:56,37.44,22.7,11.88,822.2,26.74,32.47
2022-03-23 14:00:56,34.63,20.46,11.11,1316.67,22.24,28.14
2022-03-23 15:00:56,34.31,16.15,6.86,1275.39,27.16,35.43
2022-03-23 16:00:56,38.54,12.07,9.03,1378.11,28.43,34.28
2022-03-23 17:00:56,40.72,9.51,6.34,1293.01,25.84,30.93
2022-03-23 18:00:56,40.08,7.7,8.25,1171.1,40.59,50.45
2022-03-23 19:00:56,36.46,8.85,6.15,1353.5,53.15,59.8
2022-03-23 20:00:56,39.2,9.02,9.79,1033.33,56.79,63.48
2022-03-23 21:00:56,43.27,6.77,15.49,883.45,75.12,81.76
2022-03-23 22:00:56,39.35,6.7,11.6,1193.21,66.7,71.96
2022-03-23 23:00:56,32.68,10.89,10.76,1060.96,60.53,66.4
2022-03-24 00:00:56,33.11,12.98,17.23,737.57,46.3,49.29
2022-03-24 01:00:56,32.75,13.18,20.01,324.69,35.81,37.55
2022-03-24 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
