Date,PM10 ( µg/m3 ),SO2 ( µg/m3 )
2018-03-29 00:00:56,174.9,0.0
2018-03-29 01:00:56,212.56,0.0
2018-03-29 02:00:56,145.75,0.0
2018-03-29 03:00:56,78.76,0.0
2018-03-29 04:00:56,57.73,0.0
2018-03-29 05:00:56,39.04,0.0
2018-03-29 06:00:56,28.76,0.0
2018-03-29 07:00:56,16.61,0.0
2018-03-29 08:00:56,11.29,0.0
2018-03-29 09:00:56,14.63,0.0
2018-03-29 10:00:56,22.49,0.0
2018-03-29 11:00:56,13.3,0.0
2018-03-29 12:00:56,22.34,0.0
2018-03-29 13:00:56,31.16,0.0
2018-03-29 14:00:56,23.67,0.0
2018-03-29 15:00:56,33.14,0.0
2018-03-29 16:00:56,18.74,0.0
2018-03-29 17:00:56,22.9,0.0
2018-03-29 18:00:56,14.57,0.0
2018-03-29 19:00:56,12.61,0.0
2018-03-29 20:00:56,17.8,0.0
2018-03-29 21:00:56,24.02,0.0
2018-03-29 22:00:56,23.68,0.26
2018-03-29 23:00:56,25.42,0.0
2018-03-30 00:00:56,26.89,0.0
2018-03-30 01:00:56,14.97,0.0
2018-03-30 02:00:56,12.26,0.0
2018-03-30 03:00:56,8.11,0.0
2018-03-30 04:00:56,5.2,0.0
2018-03-30 05:00:56,5.31,0.0
2018-03-30 06:00:56,5.95,0.0
2018-03-30 07:00:56,11.5,16.03
2018-03-30 08:00:56,21.65,15.54
2018-03-30 09:00:56,13.7,14.65
2018-03-30 10:00:56,23.01,17.91
2018-03-30 11:00:56,41.27,15.44
2018-03-30 12:00:56,38.93,13.53
2018-03-30 13:00:56,43.89,14.31
2018-03-30 14:00:56,49.73,13.61
2018-03-30 15:00:56,38.5,14.03
2018-03-30 16:00:56,23.9,15.17
2018-03-30 17:00:56,29.89,17.03
2018-03-30 18:00:56,38.73,19.68
2018-03-30 19:00:56,25.66,21.76
2018-03-30 20:00:56,49.25,21.04
2018-03-30 21:00:56,59.3,19.46
2018-03-30 22:00:56,48.9,17.26
2018-03-30 23:00:56,57.97,16.03
2018-03-31 00:00:56,62.18,17.53
2018-03-31 01:00:56,79.0,14.83
2018-03-31 02:00:56,70.75,14.63
2018-03-31 03:00:56,77.54,17.0
2018-03-31 04:00:56,74.91,15.24
2018-03-31 05:00:56,68.16,13.54
2018-03-31 06:00:56,72.46,13.03
2018-03-31 07:00:56,69.17,18.05
2018-03-31 08:00:56,62.94,18.97
2018-03-31 09:00:56,77.24,19.85
2018-03-31 10:00:56,91.87,18.54
2018-03-31 11:00:56,98.13,18.76
2018-03-31 12:00:56,76.27,17.46
2018-03-31 13:00:56,49.62,15.56
2018-03-31 14:00:56,36.36,17.56
2018-03-31 15:00:56,21.04,19.02
2018-03-31 16:00:56,26.01,22.86
2018-03-31 17:00:56,14.97,26.76
2018-03-31 18:00:56,11.12,27.91
2018-03-31 19:00:56,8.97,0.0
2018-03-31 20:00:56,33.88,0.0
2018-03-31 21:00:56,57.74,0.0
2018-03-31 22:00:56,73.74,16.06
2018-03-31 23:00:56,81.37,15.94
2018-04-01 00:00:56,84.35,12.45
2018-04-01 01:00:56,105.0,10.32
2018-04-01 02:00:56,103.4,8.18
2018-04-01 03:00:56,91.44,6.19
2018-04-01 04:00:56,86.73,5.43
2018-04-01 05:00:56,82.48,4.49
2018-04-01 06:00:56,56.67,5.64
2018-04-01 07:00:56,72.74,16.07
2018-04-01 08:00:56,56.9,15.22
2018-04-01 09:00:56,58.8,15.88
2018-04-01 10:00:56,67.11,16.87
2018-04-01 11:00:56,78.83,18.65
2018-04-01 12:00:56,52.28,18.41
2018-04-01 13:00:56,37.85,20.38
2018-04-01 14:00:56,22.96,23.73
2018-04-01 15:00:56,35.37,27.45
2018-04-01 16:00:56,19.19,0.0
2018-04-01 17:00:56,15.61,29.62
2018-04-01 18:00:56,10.28,27.39
2018-04-01 19:00:56,12.5,0.0
2018-04-01 20:00:56,32.82,0.0
