Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,34.06,17.25,8.49,30.1,41.2,31.82
2022-03-23 17:00:56,32.82,17.28,8.72,0.0,0.0,33.51
2022-03-23 18:00:56,26.41,16.03,9.86,39.91,56.85,32.2
2022-03-23 19:00:56,21.9,11.27,10.09,62.61,83.23,25.11
2022-03-23 20:00:56,24.66,8.24,9.29,76.56,107.41,20.78
2022-03-23 21:00:56,31.48,6.02,8.91,90.42,129.05,15.81
2022-03-23 22:00:56,40.69,4.22,8.58,69.72,91.53,18.27
2022-03-23 23:00:56,39.79,2.95,8.4,64.62,82.31,16.25
2022-03-24 00:00:56,36.83,2.07,8.33,45.33,49.12,20.42
2022-03-24 01:00:56,41.33,1.68,8.13,36.53,44.92,19.82
2022-03-24 02:00:56,38.73,1.51,7.92,26.24,30.29,20.91
2022-03-24 03:00:56,37.93,8.83,7.93,30.9,36.06,21.3
2022-03-24 04:00:56,36.99,12.03,7.95,26.39,29.06,21.76
2022-03-24 05:00:56,30.88,12.34,7.89,19.83,22.11,23.83
2022-03-24 06:00:56,33.48,11.49,7.85,31.31,36.52,20.44
2022-03-24 07:00:56,33.29,8.59,7.99,56.03,71.93,15.21
2022-03-24 08:00:56,27.15,6.61,8.05,86.92,122.94,10.28
2022-03-24 09:00:56,29.48,5.27,8.25,43.21,56.27,18.34
2022-03-24 10:00:56,29.58,5.22,8.44,53.94,74.86,17.91
2022-03-24 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
