Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,19.74,0.0,12.59,0.0,0.0,0.0,90.54
2022-03-23 17:00:56,30.36,0.0,12.35,0.0,0.0,0.0,87.87
2022-03-23 18:00:56,39.39,0.0,12.96,0.0,0.0,0.0,88.67
2022-03-23 19:00:56,35.7,0.0,12.84,0.0,0.0,0.0,69.28
2022-03-23 20:00:56,34.48,0.0,12.62,0.0,0.0,0.0,34.36
2022-03-23 21:00:56,31.09,0.0,13.73,0.0,0.0,0.0,5.2
2022-03-23 22:00:56,40.96,0.0,20.98,0.0,0.0,0.0,3.58
2022-03-23 23:00:56,63.3,0.0,23.94,0.0,0.0,0.0,5.83
2022-03-24 00:00:56,86.87,0.0,19.96,0.0,0.0,0.0,4.09
2022-03-24 01:00:56,106.3,0.0,18.8,0.0,0.0,0.0,9.36
2022-03-24 02:00:56,109.33,0.0,16.85,0.0,0.0,0.0,36.54
2022-03-24 03:00:56,91.22,0.0,12.96,0.0,0.0,0.0,74.71
2022-03-24 04:00:56,65.38,0.0,12.37,0.0,0.0,0.0,71.64
2022-03-24 05:00:56,47.6,0.0,11.56,0.0,0.0,0.0,69.01
2022-03-24 06:00:56,35.86,0.0,10.49,0.0,0.0,0.0,72.0
2022-03-24 07:00:56,30.78,0.0,9.92,0.0,0.0,0.0,72.69
2022-03-24 08:00:56,28.82,0.0,10.51,0.0,0.0,0.0,58.98
2022-03-24 09:00:56,22.55,0.0,11.43,0.0,0.0,0.0,61.7
2022-03-24 10:00:56,23.21,0.0,13.04,0.0,0.0,0.0,70.97
2022-03-24 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
