Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,155.52,23.0,4.81,0.0,0.0,0.0,65.99
2018-03-29 01:00:56,151.05,18.95,3.75,0.0,0.0,0.0,64.86
2018-03-29 02:00:56,108.24,14.04,1.93,16.44,0.0,0.0,59.95
2018-03-29 03:00:56,83.46,17.11,2.26,391.19,0.0,0.0,46.37
2018-03-29 04:00:56,67.65,10.87,2.98,744.19,0.0,0.0,86.09
2018-03-29 05:00:56,36.02,5.95,3.26,1380.27,0.0,0.0,75.52
2018-03-29 06:00:56,25.72,3.1,3.04,2196.44,0.0,0.0,62.7
2018-03-29 07:00:56,23.17,2.33,2.95,2574.44,0.0,0.0,84.82
2018-03-29 08:00:56,16.9,5.32,3.44,2708.93,0.0,0.0,60.52
2018-03-29 09:00:56,24.71,14.39,4.25,2894.59,0.0,0.0,64.9
2018-03-29 10:00:56,33.61,19.76,5.75,2997.81,0.0,0.0,66.07
2018-03-29 11:00:56,38.27,30.42,4.98,3022.34,0.0,0.0,36.74
2018-03-29 12:00:56,37.8,0.0,4.35,2957.49,0.0,0.0,33.49
2018-03-29 13:00:56,23.7,0.0,4.8,2873.7,0.0,0.0,26.35
2018-03-29 14:00:56,28.67,15.74,3.91,2768.44,0.0,0.0,23.02
2018-03-29 15:00:56,27.93,0.0,3.76,1991.02,0.0,0.0,32.36
2018-03-29 16:00:56,25.42,0.0,3.5,463.45,0.0,0.0,52.18
2018-03-29 17:00:56,26.96,14.78,6.14,398.81,0.0,0.0,40.26
2018-03-29 18:00:56,26.36,11.74,7.19,247.06,0.0,0.0,32.03
2018-03-29 19:00:56,22.13,18.07,6.92,142.07,0.0,0.0,39.77
2018-03-29 20:00:56,19.92,0.0,7.47,140.94,0.0,0.0,23.71
2018-03-29 21:00:56,21.49,0.0,7.55,48.53,0.0,0.0,41.97
2018-03-29 22:00:56,31.82,20.36,7.78,23.08,0.0,0.0,39.21
2018-03-29 23:00:56,31.29,18.17,6.55,22.57,0.0,0.0,51.03
2018-03-30 00:00:56,17.91,0.0,5.85,0.0,0.0,0.0,62.22
2018-03-30 01:00:56,10.66,0.0,5.64,0.0,0.0,0.0,63.44
2018-03-30 02:00:56,6.89,0.0,5.12,0.0,0.0,0.0,69.61
2018-03-30 03:00:56,6.2,0.0,5.44,102.3,0.0,0.0,57.95
2018-03-30 04:00:56,14.7,8.89,5.53,665.78,0.0,0.0,35.87
2018-03-30 05:00:56,25.28,8.54,5.51,464.55,0.0,0.0,41.69
2018-03-30 06:00:56,18.76,6.44,5.02,379.95,0.0,0.0,53.52
2018-03-30 07:00:56,18.12,7.17,5.12,442.42,0.0,0.0,61.67
2018-03-30 08:00:56,17.38,13.8,6.39,829.48,0.0,0.0,41.02
2018-03-30 09:00:56,26.6,14.6,6.61,682.66,0.0,0.0,52.13
2018-03-30 10:00:56,35.68,15.56,6.67,629.1,0.0,0.0,63.66
2018-03-30 11:00:56,45.35,10.29,6.76,494.63,0.0,0.0,50.1
2018-03-30 12:00:56,30.87,11.44,6.39,475.01,0.0,0.0,61.9
2018-03-30 13:00:56,20.53,12.58,6.42,370.57,0.0,0.0,71.84
2018-03-30 14:00:56,23.32,12.48,6.51,508.96,0.0,0.0,67.08
2018-03-30 15:00:56,24.24,14.45,7.01,607.02,0.0,0.0,67.84
2018-03-30 16:00:56,21.52,10.99,7.1,445.16,0.0,0.0,75.55
2018-03-30 17:00:56,24.94,15.76,9.45,477.04,0.0,0.0,79.42
2018-03-30 18:00:56,26.98,18.49,11.72,544.86,0.0,0.0,61.67
2018-03-30 19:00:56,26.92,11.04,10.47,540.06,0.0,0.0,29.26
2018-03-30 20:00:56,35.06,14.73,11.57,1021.33,0.0,0.0,9.59
2018-03-30 21:00:56,35.85,30.6,12.95,1656.46,0.0,0.0,14.1
2018-03-30 22:00:56,57.4,32.86,14.59,1574.73,0.0,0.0,32.36
2018-03-30 23:00:56,87.37,48.75,21.09,3409.82,0.0,0.0,24.15
2018-03-31 00:00:56,107.08,58.23,21.07,3741.23,0.0,0.0,37.12
2018-03-31 01:00:56,146.49,68.88,16.02,2458.48,0.0,0.0,30.92
2018-03-31 02:00:56,137.49,67.16,13.15,1791.81,0.0,0.0,16.99
2018-03-31 03:00:56,116.12,52.89,12.61,1330.54,0.0,0.0,14.4
2018-03-31 04:00:56,98.13,48.7,11.15,944.98,0.0,0.0,34.42
2018-03-31 05:00:56,83.75,42.94,10.3,704.67,0.0,0.0,29.82
2018-03-31 06:00:56,73.16,40.13,9.74,456.95,0.0,0.0,22.52
2018-03-31 07:00:56,65.56,37.26,9.32,527.24,0.0,0.0,15.06
2018-03-31 08:00:56,81.87,41.47,10.27,679.63,0.0,0.0,35.64
2018-03-31 09:00:56,88.79,37.97,9.12,605.0,0.0,0.0,27.15
2018-03-31 10:00:56,89.46,42.83,8.68,445.74,0.0,0.0,32.05
2018-03-31 11:00:56,65.44,36.77,10.29,397.07,0.0,0.0,43.86
2018-03-31 12:00:56,73.48,35.04,9.94,356.91,0.0,0.0,47.0
2018-03-31 13:00:56,47.91,35.31,8.9,205.69,0.0,0.0,73.12
2018-03-31 14:00:56,33.93,19.4,7.69,0.0,0.0,0.0,94.11
2018-03-31 15:00:56,18.96,10.13,8.24,19.47,0.0,0.0,84.67
2018-03-31 16:00:56,10.49,5.07,8.64,0.0,0.0,0.0,81.89
2018-03-31 17:00:56,9.18,2.84,5.73,0.0,0.0,0.0,90.55
2018-03-31 18:00:56,15.71,2.79,4.17,0.0,0.0,0.0,100.08
2018-03-31 19:00:56,10.52,2.58,4.34,0.0,0.0,0.0,49.71
2018-03-31 20:00:56,12.83,0.0,4.68,0.0,0.0,0.0,34.11
2018-03-31 21:00:56,10.42,0.0,5.06,0.0,0.0,0.0,37.11
2018-03-31 22:00:56,19.14,0.0,3.39,0.0,0.0,0.0,34.6
2018-03-31 23:00:56,20.69,0.0,4.15,0.0,0.0,0.0,25.48
2018-04-01 00:00:56,28.93,0.0,7.68,70.15,0.0,0.0,21.55
2018-04-01 01:00:56,38.67,0.0,6.51,45.85,0.0,0.0,19.93
2018-04-01 02:00:56,41.32,34.97,6.88,233.09,0.0,0.0,26.8
2018-04-01 03:00:56,46.93,29.22,6.46,446.01,0.0,0.0,19.46
2018-04-01 04:00:56,34.81,0.0,6.19,1088.3,0.0,0.0,5.15
2018-04-01 05:00:56,21.73,0.0,5.25,1397.73,0.0,0.0,19.51
2018-04-01 06:00:56,24.66,0.0,4.89,1362.22,0.0,0.0,40.29
2018-04-01 07:00:56,33.87,0.0,6.05,1349.47,0.0,0.0,34.79
2018-04-01 08:00:56,35.41,0.0,5.6,1402.13,0.0,0.0,29.87
2018-04-01 09:00:56,43.92,0.0,4.14,972.2,0.0,0.0,72.46
2018-04-01 10:00:56,27.93,0.0,4.53,825.57,0.0,0.0,68.13
2018-04-01 11:00:56,29.6,0.0,5.3,761.22,0.0,0.0,88.07
2018-04-01 12:00:56,18.62,0.0,4.23,739.8,0.0,0.0,78.73
2018-04-01 13:00:56,16.94,10.62,4.11,761.83,0.0,0.0,72.81
2018-04-01 14:00:56,13.53,6.93,4.54,312.74,0.0,0.0,89.62
2018-04-01 15:00:56,8.95,5.56,4.95,20.29,0.0,0.0,93.22
2018-04-01 16:00:56,5.7,0.0,4.42,0.0,0.0,0.0,68.59
2018-04-01 17:00:56,2.97,0.0,2.75,0.0,0.0,0.0,49.73
2018-04-01 18:00:56,3.05,0.0,3.05,0.0,0.0,0.0,57.21
2018-04-01 19:00:56,5.85,4.55,3.38,0.0,0.0,0.0,60.54
2018-04-01 20:00:56,7.1,2.94,5.9,0.0,0.0,0.0,27.17
2018-04-01 21:00:56,19.23,9.75,14.83,0.0,0.0,0.0,31.61
2018-04-01 22:00:56,40.49,31.87,9.02,0.0,0.0,0.0,21.96
2018-04-01 23:00:56,47.18,37.68,4.36,0.0,0.0,0.0,25.47
2018-04-02 00:00:56,33.87,27.01,3.7,0.0,0.0,0.0,25.93
2018-04-02 01:00:56,28.07,20.98,3.61,0.0,0.0,0.0,46.11
2018-04-02 02:00:56,23.04,13.42,1.33,0.0,0.0,0.0,51.87
2018-04-02 03:00:56,12.88,0.0,1.21,93.05,0.0,0.0,49.8
2018-04-02 04:00:56,11.43,0.0,1.0,50.62,0.0,0.0,52.54
2018-04-02 05:00:56,21.3,11.42,0.86,256.16,0.0,0.0,41.81
2018-04-02 06:00:56,23.0,7.79,1.78,739.17,0.0,0.0,19.97
2018-04-02 07:00:56,17.41,5.55,1.67,813.84,0.0,0.0,48.43
2018-04-02 08:00:56,28.01,5.8,1.71,1125.17,0.0,0.0,67.15
2018-04-02 09:00:56,27.73,12.58,1.97,1515.47,0.0,0.0,67.47
2018-04-02 10:00:56,19.84,8.72,1.45,2153.91,0.0,0.0,52.34
2018-04-02 11:00:56,16.41,11.59,1.66,3128.76,0.0,0.0,71.66
2018-04-02 12:00:56,16.62,0.0,1.75,3084.27,0.0,0.0,94.49
2018-04-02 13:00:56,13.11,0.0,3.59,3009.44,0.0,0.0,87.05
2018-04-02 14:00:56,21.65,10.76,2.61,2925.31,0.0,0.0,90.1
2018-04-02 15:00:56,15.52,6.53,4.81,2139.43,0.0,0.0,83.76
2018-04-02 16:00:56,15.51,6.9,3.51,193.46,0.0,0.0,96.35
2018-04-02 17:00:56,16.34,12.02,4.66,28.19,0.0,0.0,54.76
