Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,43.0,8.23,10.3,692.01,73.9,119.8,18.43
2022-03-23 17:00:56,57.4,5.76,10.21,695.5,78.66,129.75,17.26
2022-03-23 18:00:56,47.8,4.03,10.23,704.41,76.42,120.87,18.57
2022-03-23 19:00:56,54.6,2.82,11.1,761.18,81.69,131.15,14.2
2022-03-23 20:00:56,48.2,1.98,11.27,880.98,94.99,154.79,10.19
2022-03-23 21:00:56,50.0,1.53,10.93,949.08,92.17,151.34,8.67
2022-03-23 22:00:56,59.8,4.17,10.51,882.72,76.66,124.47,12.32
2022-03-23 23:00:56,46.4,10.84,10.1,786.0,70.55,107.58,12.39
2022-03-24 00:00:56,32.7,14.89,10.16,826.69,72.25,109.45,10.09
2022-03-24 01:00:56,36.9,11.18,9.45,723.91,69.97,108.12,11.51
2022-03-24 02:00:56,39.7,11.74,9.55,668.93,62.33,98.45,11.38
2022-03-24 03:00:56,44.8,8.36,9.33,616.01,53.36,82.75,13.29
2022-03-24 04:00:56,32.3,6.15,9.12,550.93,48.44,71.38,14.28
2022-03-24 05:00:56,24.1,7.18,9.09,518.84,43.33,60.48,15.03
2022-03-24 06:00:56,30.4,11.35,8.98,548.73,44.61,61.41,12.46
2022-03-24 07:00:56,22.2,8.6,9.11,753.18,56.42,82.14,7.67
2022-03-24 08:00:56,16.6,6.84,9.09,983.67,88.4,153.91,3.62
2022-03-24 09:00:56,12.5,15.97,9.32,1029.65,104.83,192.88,4.06
2022-03-24 10:00:56,23.4,11.73,9.61,1199.01,123.79,238.9,4.9
2022-03-24 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
