Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2020-01-01 01:00:56,38.3,26.31,6.49,1095.85,68.13,129.04,0.0
2020-01-01 02:00:56,39.83,28.21,8.37,706.02,58.32,113.2,0.0
2020-01-01 03:00:56,30.97,25.44,8.0,607.32,56.09,87.99,0.0
2020-01-01 04:00:56,25.43,22.37,7.38,469.02,46.29,75.31,0.0
2020-01-01 05:00:56,29.18,19.75,5.97,193.45,28.04,38.7,0.0
2020-01-01 06:00:56,21.76,14.2,4.87,220.58,31.52,49.75,0.0
2020-01-01 07:00:56,15.26,9.22,4.82,243.1,36.54,56.43,0.0
2020-01-01 08:00:56,12.56,8.11,4.67,264.83,38.5,60.88,0.0
2020-01-01 09:00:56,17.5,10.14,4.86,404.06,45.47,76.17,0.0
2020-01-01 10:00:56,15.98,7.18,6.49,560.92,52.02,89.47,0.0
2020-01-01 11:00:56,19.41,7.79,6.26,279.94,32.84,54.87,0.0
2020-01-01 12:00:56,18.74,12.52,6.97,279.13,30.02,52.34,0.0
2020-01-01 13:00:56,22.85,9.22,6.2,282.8,28.48,54.47,0.0
2020-01-01 14:00:56,19.07,8.11,5.44,285.32,27.72,47.3,0.0
2020-01-01 15:00:56,26.12,14.2,5.53,323.13,34.62,59.8,0.0
2020-01-01 16:00:56,18.94,17.5,10.58,920.97,68.23,154.86,0.0
2020-01-01 17:00:56,24.82,19.39,11.65,977.69,71.33,159.15,0.0
2020-01-01 18:00:56,34.37,26.74,10.36,1165.49,78.54,181.97,0.0
2020-01-01 19:00:56,32.66,22.37,12.85,1319.33,83.51,187.64,0.0
2020-01-01 20:00:56,45.47,24.7,14.63,1434.44,80.04,177.2,0.0
2020-01-01 21:00:56,46.34,27.41,12.62,995.03,70.06,143.42,0.0
2020-01-01 22:00:56,47.93,26.56,14.68,1112.23,68.08,140.72,0.0
2020-01-01 23:00:56,44.98,28.09,14.49,1111.9,66.36,129.35,0.0
2020-01-02 00:00:56,43.83,31.28,0.0,1077.27,64.95,129.05,0.0
2020-01-02 01:00:56,42.79,33.26,13.1,820.85,57.16,95.87,0.0
2020-01-02 02:00:56,39.68,31.62,9.77,739.42,61.24,83.89,0.0
2020-01-02 03:00:56,34.09,30.94,8.49,649.59,57.04,72.72,0.0
2020-01-02 04:00:56,29.05,28.09,5.7,533.59,51.06,60.26,0.0
2020-01-02 05:00:56,31.57,29.31,4.09,510.72,48.75,59.62,0.0
2020-01-02 06:00:56,35.79,24.63,3.47,529.57,46.75,62.82,0.0
2020-01-02 07:00:56,29.7,20.0,4.0,614.42,59.08,105.08,0.0
2020-01-02 08:00:56,29.55,17.05,4.91,1023.68,76.13,185.09,0.0
2020-01-02 09:00:56,42.18,22.02,7.24,1365.68,85.91,221.75,0.0
2020-01-02 10:00:56,41.06,21.38,7.48,1235.47,82.91,191.56,0.0
2020-01-02 11:00:56,54.03,30.52,10.16,1179.51,80.6,198.22,0.0
2020-01-02 12:00:56,60.34,43.31,15.07,1278.02,78.93,183.25,0.0
