Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,33.52,4.77,7.49,472.52,23.05,36.59,54.44
2022-03-23 17:00:56,27.72,4.12,7.41,478.78,22.95,34.74,54.9
2022-03-23 18:00:56,26.94,3.73,7.52,496.91,28.9,40.88,51.56
2022-03-23 19:00:56,35.36,3.41,7.62,507.68,33.08,43.93,49.02
2022-03-23 20:00:56,39.84,2.55,8.04,557.63,35.88,44.37,39.67
2022-03-23 21:00:56,33.78,2.8,8.0,549.69,44.14,54.3,30.36
2022-03-23 22:00:56,37.99,2.64,8.0,650.27,82.07,92.6,0.0
2022-03-23 23:00:56,37.35,2.52,9.06,594.28,58.24,67.1,15.5
2022-03-24 00:00:56,33.53,2.4,9.29,567.36,55.35,66.62,17.71
2022-03-24 01:00:56,40.3,10.07,12.35,558.4,39.59,46.5,18.9
2022-03-24 02:00:56,35.73,14.23,13.34,520.03,29.11,35.84,30.52
2022-03-24 03:00:56,28.44,12.43,12.59,523.17,22.78,32.0,33.87
2022-03-24 04:00:56,26.41,9.45,12.12,506.16,18.63,24.89,35.76
2022-03-24 05:00:56,33.3,7.08,12.65,471.06,22.89,28.37,29.85
2022-03-24 06:00:56,30.36,5.6,13.72,467.77,24.12,30.16,26.55
2022-03-24 07:00:56,25.3,65.06,14.9,458.67,32.8,39.54,21.69
2022-03-24 08:00:56,30.91,444.36,15.79,552.61,63.34,80.26,0.0
2022-03-24 09:00:56,43.57,7025.38,16.32,525.21,58.45,80.95,14.12
2022-03-24 10:00:56,38.04,36876.04,15.05,590.62,39.76,60.52,24.38
2022-03-24 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
