Tarih,PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 ),PM10 ( µg/m3 ),CO ( µg/m3 )
2019-03-06 00:00:56,38.95,24.59,47.575,54.89,10.37,0.0,679.7
2019-03-06 01:00:56,36.89,20.43,34.32,38.675000000000004,26.23,0.0,307.16
2019-03-06 02:00:56,30.15,11.47,30.905,34.71,29.68,0.0,222.53
2019-03-06 03:00:56,28.7,12.53,18.5,22.115,43.43,0.0,386.04
2019-03-06 04:00:56,24.91,11.66,26.86,30.724999999999998,29.85,0.0,367.61
2019-03-06 05:00:56,23.04,10.25,22.619999999999997,26.36,32.38,0.0,224.0
2019-03-06 06:00:56,24.06,11.79,19.74,23.034999999999997,35.5,0.0,350.39
2019-03-06 07:00:56,22.59,9.97,19.08,23.195,34.54,0.0,496.97
2019-03-06 08:00:56,24.14,9.17,24.07,28.855,27.81,0.0,525.23
2019-03-06 09:00:56,25.04,9.77,45.535,62.815,9.49,0.0,667.3
2019-03-06 10:00:56,24.22,10.13,51.605,83.58500000000001,1.97,0.0,705.74
2019-03-06 11:00:56,26.03,9.11,47.515,75.655,5.11,0.0,614.9
2019-03-06 12:00:56,22.61,9.3,35.59,49.155,17.11,0.0,527.07
2019-03-06 13:00:56,20.3,8.95,41.779999999999994,57.010000000000005,10.59,0.0,528.32
2019-03-06 14:00:56,22.39,7.25,34.52,48.155,19.29,0.0,896.17
2019-03-06 15:00:56,22.05,7.74,25.84,37.879999999999995,28.17,0.0,654.04
2019-03-06 16:00:56,21.66,9.18,21.79,27.795,31.95,0.0,561.57
2019-03-06 17:00:56,26.4,13.59,22.135,28.455,33.47,0.0,591.89
2019-03-06 18:00:56,28.8,14.95,44.93,54.55,35.63,0.0,317.14
2019-03-06 19:00:56,29.9,16.39,64.015,71.48,37.02,0.0,450.79
2019-03-06 20:00:56,25.61,15.88,70.645,72.33,27.67,0.0,543.76
2019-03-06 21:00:56,22.43,13.12,74.11,77.955,20.53,0.0,527.04
2019-03-06 22:00:56,23.69,13.08,83.16,93.74000000000001,9.39,0.0,462.73
2019-03-06 23:00:56,28.59,10.14,55.915,58.795,15.16,0.0,355.25
2019-03-07 00:00:56,30.35,8.12,49.459999999999994,51.67,17.37,0.0,333.01
2019-03-07 01:00:56,26.29,7.65,50.55,56.11,15.16,0.0,437.56
2019-03-07 02:00:56,22.57,6.54,22.515,24.895,34.89,0.0,448.48
2019-03-07 03:00:56,17.6,6.55,23.384999999999998,25.14,30.69,0.0,681.15
2019-03-07 04:00:56,14.74,5.92,25.365000000000002,28.27,29.17,0.0,765.9
2019-03-07 05:00:56,15.74,8.95,27.945,30.185,23.6,0.0,584.67
2019-03-07 06:00:56,16.66,9.75,29.055,32.06,18.84,0.0,548.66
2019-03-07 07:00:56,19.08,6.67,24.345000000000002,27.58,22.9,0.0,570.81
2019-03-07 08:00:56,19.16,4.7,23.835,29.055,34.41,0.0,672.44
2019-03-07 09:00:56,16.41,5.73,49.77,80.965,8.58,0.0,603.33
2019-03-07 10:00:56,15.8,5.94,34.45,46.28,30.01,0.0,500.36
2019-03-07 11:00:56,15.55,5.95,44.155,60.325,32.19,0.0,477.06
2019-03-07 12:00:56,22.98,7.6,39.99,56.025000000000006,28.86,0.0,198.04
2019-03-07 13:00:56,31.62,9.34,38.845,58.045,29.69,0.0,913.71
2019-03-07 14:00:56,31.05,7.49,38.675,52.35,45.76,0.0,1223.42
2019-03-07 15:00:56,24.58,6.2,20.615000000000002,25.285,63.24,0.0,1262.33
