Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,37.25,13.43,4.9,391.2,29.6,34.87,29.26
2022-03-23 17:00:56,29.26,12.65,4.99,411.44,35.44,40.25,26.86
2022-03-23 18:00:56,28.05,14.54,5.07,505.1,52.48,59.48,18.62
2022-03-23 19:00:56,31.37,15.55,4.92,557.59,59.29,67.29,15.05
2022-03-23 20:00:56,34.41,13.15,4.9,580.11,54.19,60.62,16.44
2022-03-23 21:00:56,32.74,12.82,5.21,657.35,54.94,60.68,15.07
2022-03-23 22:00:56,36.33,16.42,5.64,948.58,62.51,70.86,9.59
2022-03-23 23:00:56,47.6,17.43,5.48,1190.16,65.73,77.54,5.57
2022-03-24 00:00:56,57.94,18.3,5.06,1444.37,68.55,109.66,3.27
2022-03-24 01:00:56,70.63,24.66,4.76,1680.39,75.32,147.26,0.55
2022-03-24 02:00:56,83.68,31.03,4.12,1663.32,73.77,141.86,0.73
2022-03-24 03:00:56,89.06,30.37,3.58,1555.02,67.24,119.43,1.07
2022-03-24 04:00:56,82.7,27.33,3.18,1192.68,49.71,78.07,7.7
2022-03-24 05:00:56,67.48,25.68,2.9,773.57,32.24,45.92,16.37
2022-03-24 06:00:56,52.02,23.77,2.82,587.87,27.44,37.25,20.97
2022-03-24 07:00:56,41.56,22.1,3.11,520.49,32.11,39.88,22.67
2022-03-24 08:00:56,35.96,20.03,3.11,520.71,40.06,46.83,21.76
2022-03-24 09:00:56,32.86,21.81,2.72,534.99,40.61,47.37,22.84
2022-03-24 10:00:56,31.4,26.42,2.65,486.19,32.72,39.19,27.35
2022-03-24 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
