Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,14.26,15.94,1.48,226.98,5.02,5.84,66.21
2022-03-23 17:00:56,15.43,12.06,1.31,266.67,5.66,6.78,68.55
2022-03-23 18:00:56,13.61,9.26,1.53,233.26,5.55,6.25,71.21
2022-03-23 19:00:56,10.59,7.48,1.46,265.86,6.59,7.53,70.1
2022-03-23 20:00:56,9.97,6.12,1.54,411.4,17.82,19.13,54.36
2022-03-23 21:00:56,9.05,15.57,1.42,672.84,34.03,39.4,33.26
2022-03-23 22:00:56,17.37,33.92,1.66,993.95,30.31,32.8,22.77
2022-03-23 23:00:56,34.02,40.72,2.63,727.28,22.78,24.45,27.77
2022-03-24 00:00:56,41.46,39.33,4.45,612.61,33.06,36.14,18.85
2022-03-24 01:00:56,39.36,35.71,1.17,363.1,10.87,12.15,38.96
2022-03-24 02:00:56,34.92,29.5,3.2,359.11,14.54,15.64,36.3
2022-03-24 03:00:56,28.84,31.08,2.5,406.27,17.86,19.41,25.93
2022-03-24 04:00:56,23.21,30.36,2.52,337.8,17.38,18.75,25.44
2022-03-24 05:00:56,24.53,22.52,2.21,291.57,10.46,11.42,34.05
2022-03-24 06:00:56,24.47,17.27,1.17,328.26,13.61,15.49,34.78
2022-03-24 07:00:56,24.14,15.24,1.8,377.73,14.86,16.23,32.76
2022-03-24 08:00:56,26.56,19.12,1.38,466.22,16.69,19.44,35.0
2022-03-24 09:00:56,24.61,19.75,1.15,541.63,27.85,34.93,28.5
2022-03-24 10:00:56,22.58,18.29,1.99,453.49,21.99,26.99,41.24
2022-03-24 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
