Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2022-03-23 16:00:56,31.25,1.17,20.69,25.77
2022-03-23 17:00:56,27.15,0.68,27.46,32.24
2022-03-23 18:00:56,20.89,0.65,57.43,66.32
2022-03-23 19:00:56,22.43,0.9,73.51,82.11
2022-03-23 20:00:56,24.78,1.02,54.94,62.66
2022-03-23 21:00:56,24.32,1.4,68.03,75.61
2022-03-23 22:00:56,28.1,1.59,84.38,100.29
2022-03-23 23:00:56,45.75,1.49,90.8,109.93
2022-03-24 00:00:56,58.49,1.29,91.36,109.25
2022-03-24 01:00:56,59.69,0.94,86.73,111.59
2022-03-24 02:00:56,63.41,0.8,78.62,111.71
2022-03-24 03:00:56,66.33,0.9,68.78,93.61
2022-03-24 04:00:56,68.92,1.11,46.35,54.56
2022-03-24 05:00:56,65.34,0.73,33.48,40.24
2022-03-24 06:00:56,55.84,1.21,31.06,36.81
2022-03-24 07:00:56,48.75,1.21,0.0,0.0
2022-03-24 08:00:56,40.09,2.4,58.51,71.67
2022-03-24 09:00:56,31.73,1.4,50.47,64.94
2022-03-24 10:00:56,30.64,0.88,32.52,43.45
2022-03-24 11:00:56,0.0,0.0,0.0,0.0
