Date,PM10 ( µg/m3 ),SO2 ( ppb ),CO ( ppb ),NO2 ( ppb ),NOX ( ppb )
2022-03-22 16:00:56,7.3,3.71,390.18,31.25,42.6
2022-03-22 17:00:56,5.88,6.57,467.28,36.39,49.14
2022-03-22 18:00:56,12.11,4.49,590.43,41.19,56.07
2022-03-22 19:00:56,13.64,3.7,674.8,36.17,48.77
2022-03-22 20:00:56,17.44,4.94,940.65,37.97,51.13
2022-03-22 21:00:56,17.73,5.7,1154.01,45.68,61.92
2022-03-22 22:00:56,26.63,3.47,616.65,32.55,46.33
2022-03-22 23:00:56,23.21,2.87,699.95,31.66,45.71
2022-03-23 00:00:56,26.95,3.6,1159.11,40.26,56.91
2022-03-23 01:00:56,25.27,2.56,544.95,30.65,44.78
2022-03-23 02:00:56,21.92,2.48,397.81,31.29,44.83
2022-03-23 03:00:56,22.84,1.04,333.66,27.52,40.57
2022-03-23 04:00:56,17.56,1.69,414.28,29.89,43.43
2022-03-23 05:00:56,13.12,1.87,310.48,25.94,39.61
2022-03-23 06:00:56,10.59,1.71,326.28,24.98,38.55
2022-03-23 07:00:56,7.56,1.48,413.72,33.04,47.02
2022-03-23 08:00:56,6.25,2.33,786.74,92.16,124.34
2022-03-23 09:00:56,5.15,2.35,571.62,71.15,106.11
2022-03-23 10:00:56,14.24,2.35,448.55,35.46,53.31
2022-03-23 11:00:56,21.31,2.78,391.79,31.75,49.51
2022-03-23 12:00:56,23.66,1.69,358.72,34.49,51.61
2022-03-23 13:00:56,16.76,1.66,364.59,34.35,51.15
2022-03-23 14:00:56,18.9,3.74,402.26,42.22,60.48
2022-03-23 15:00:56,24.84,3.73,405.93,37.8,53.77
2022-03-23 16:00:56,25.93,3.59,438.47,43.74,60.66
2022-03-23 17:00:56,18.65,3.44,479.1,52.96,72.64
2022-03-23 18:00:56,27.54,3.25,492.07,43.43,60.04
2022-03-23 19:00:56,20.79,5.06,719.36,46.55,64.82
2022-03-23 20:00:56,30.02,3.82,678.87,43.63,61.32
2022-03-23 21:00:56,21.87,3.39,707.02,46.99,64.94
2022-03-23 22:00:56,24.67,3.84,835.83,40.45,58.35
2022-03-23 23:00:56,27.22,4.14,1445.7,47.87,66.42
2022-03-24 00:00:56,52.66,2.97,1156.81,44.22,62.79
2022-03-24 01:00:56,38.53,2.2,2067.91,69.41,96.39
2022-03-24 02:00:56,0.0,0.0,0.0,0.0,0.0
