Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-02-21 16:00:56,47.54,33.94,10.02,13.38,62.18
2022-02-21 17:00:56,35.81,20.69,10.57,13.29,38.22
2022-02-21 18:00:56,33.12,22.37,21.98,26.07,24.48
2022-02-21 19:00:56,87.04,27.26,26.53,30.62,17.38
2022-02-21 20:00:56,114.58,36.06,38.04,46.36,9.27
2022-02-21 21:00:56,127.68,72.7,35.43,45.54,11.48
2022-02-21 22:00:56,94.88,63.9,35.44,46.22,12.08
2022-02-21 23:00:56,90.81,42.56,22.24,27.43,18.27
2022-02-22 00:00:56,59.43,35.57,7.95,11.31,32.93
2022-02-22 01:00:56,17.08,19.15,7.02,9.85,37.44
2022-02-22 02:00:56,18.84,15.6,7.91,10.68,39.16
2022-02-22 03:00:56,15.16,9.91,3.56,6.14,45.81
2022-02-22 04:00:56,18.73,6.85,2.5,4.79,43.55
2022-02-22 05:00:56,12.2,5.73,2.56,4.85,42.04
2022-02-22 06:00:56,17.0,5.33,3.4,5.62,39.92
2022-02-22 07:00:56,17.39,6.49,6.5,8.77,36.53
2022-02-22 08:00:56,27.67,15.95,11.68,15.5,26.93
2022-02-22 09:00:56,44.85,22.01,16.99,25.08,24.33
2022-02-22 10:00:56,40.54,16.53,10.5,17.25,30.02
2022-02-22 11:00:56,28.81,11.45,7.5,12.47,38.76
2022-02-22 12:00:56,23.86,10.0,6.51,10.19,45.93
2022-02-22 13:00:56,21.43,11.52,9.68,13.87,45.63
2022-02-22 14:00:56,57.11,13.62,9.76,14.25,54.22
2022-02-22 15:00:56,59.31,13.77,6.14,9.55,61.14
2022-02-22 16:00:56,42.42,15.06,9.58,15.41,58.82
2022-02-22 17:00:56,51.92,12.24,4.15,7.44,61.35
2022-02-22 18:00:56,24.23,11.84,7.34,10.69,52.5
2022-02-22 19:00:56,31.34,21.93,14.13,17.46,39.91
2022-02-22 20:00:56,63.31,12.43,9.76,13.38,38.25
2022-02-22 21:00:56,20.54,8.6,7.0,9.93,42.82
2022-02-22 22:00:56,9.45,18.08,6.32,9.57,45.02
2022-02-22 23:00:56,20.77,14.78,6.44,8.85,46.05
2022-02-23 00:00:56,15.33,10.99,6.69,9.1,42.79
2022-02-23 01:00:56,23.69,16.38,5.72,7.9,42.69
2022-02-23 02:00:56,16.19,14.36,4.55,6.78,47.54
2022-02-23 03:00:56,20.54,13.32,3.39,5.7,46.98
2022-02-23 04:00:56,9.08,12.31,2.68,4.96,50.77
2022-02-23 05:00:56,11.8,15.48,3.44,5.93,51.56
2022-02-23 06:00:56,31.85,17.37,7.37,9.96,45.18
2022-02-23 07:00:56,28.75,31.8,14.29,17.12,39.96
2022-02-23 08:00:56,49.8,58.13,25.59,30.92,27.37
2022-02-23 09:00:56,94.54,54.64,20.68,28.18,32.57
2022-02-23 10:00:56,82.08,31.52,13.67,20.02,39.4
2022-02-23 11:00:56,59.15,28.89,15.57,27.27,41.57
2022-02-23 12:00:56,62.66,18.23,14.0,24.52,40.02
2022-02-23 13:00:56,53.85,14.87,7.2,10.96,47.92
2022-02-23 14:00:56,50.39,12.91,8.53,12.16,48.6
2022-02-23 15:00:56,58.73,11.69,7.43,10.47,45.95
2022-02-23 16:00:56,27.64,10.98,8.44,11.58,42.77
2022-02-23 17:00:56,42.68,10.45,3.87,6.41,50.59
2022-02-23 18:00:56,35.54,20.17,6.61,9.32,53.65
2022-02-23 19:00:56,47.88,11.29,4.23,6.65,49.63
2022-02-23 20:00:56,21.84,14.86,6.02,8.49,56.42
2022-02-23 21:00:56,43.0,24.84,13.77,17.13,44.24
2022-02-23 22:00:56,66.2,26.1,11.55,14.4,44.51
2022-02-23 23:00:56,46.44,22.45,6.41,9.31,55.9
2022-02-24 00:00:56,32.72,17.57,5.51,8.32,55.85
2022-02-24 01:00:56,25.22,15.49,4.95,7.7,54.49
2022-02-24 02:00:56,30.88,14.47,3.02,5.75,56.85
2022-02-24 03:00:56,27.42,11.88,2.2,4.81,56.52
2022-02-24 04:00:56,13.0,7.21,1.5,3.93,51.81
2022-02-24 05:00:56,0.0,0.0,3.35,5.55,45.01
2022-02-24 06:00:56,0.0,20.06,7.43,9.69,45.88
2022-02-24 07:00:56,19.0,24.49,11.83,14.52,43.05
2022-02-24 08:00:56,43.54,39.5,20.43,24.97,27.65
2022-02-24 09:00:56,56.55,0.0,11.43,16.05,37.58
2022-02-24 10:00:56,45.26,11.16,6.83,10.57,37.93
2022-02-24 11:00:56,28.52,10.65,4.31,7.4,48.83
2022-02-24 12:00:56,41.68,9.52,3.77,7.04,56.65
2022-02-24 13:00:56,58.51,9.94,4.17,7.39,56.47
2022-02-24 14:00:56,0.0,0.0,0.0,0.0,0.0
2022-02-24 15:00:56,0.0,0.0,0.0,0.0,0.0
2022-02-24 16:00:56,0.0,0.0,0.0,0.0,0.0
2022-02-24 17:00:56,0.0,0.0,0.0,0.0,0.0
2022-02-24 18:00:56,0.0,15.21,2.77,5.23,48.43
2022-02-24 19:00:56,20.27,14.51,2.8,4.96,45.33
2022-02-24 20:00:56,27.35,14.58,3.2,5.52,46.97
2022-02-24 21:00:56,35.93,14.9,1.66,3.63,46.56
2022-02-24 22:00:56,33.88,15.96,1.43,3.31,48.35
2022-02-24 23:00:56,31.27,16.23,1.67,3.56,49.14
2022-02-25 00:00:56,38.11,17.49,3.58,5.67,47.04
2022-02-25 01:00:56,40.7,15.99,5.11,7.06,47.92
2022-02-25 02:00:56,32.69,13.29,3.7,5.67,48.7
2022-02-25 03:00:56,25.54,11.41,1.55,3.48,47.5
2022-02-25 04:00:56,38.52,10.88,0.99,2.92,47.71
2022-02-25 05:00:56,25.73,10.28,0.95,2.87,48.45
2022-02-25 06:00:56,19.04,10.4,1.07,3.0,44.55
2022-02-25 07:00:56,20.27,10.58,1.36,3.38,45.45
2022-02-25 08:00:56,26.96,10.29,3.58,6.03,41.47
2022-02-25 09:00:56,25.88,9.74,2.17,4.4,43.39
2022-02-25 10:00:56,23.0,9.53,2.49,5.12,45.04
2022-02-25 11:00:56,22.77,10.41,2.1,4.46,45.44
2022-02-25 12:00:56,16.65,10.41,1.61,3.73,45.35
2022-02-25 13:00:56,8.28,9.84,1.61,3.73,43.06
2022-02-25 14:00:56,14.96,9.4,1.7,3.79,44.5
2022-02-25 15:00:56,14.52,10.6,4.67,7.06,43.96
2022-02-25 16:00:56,26.68,10.66,3.16,5.24,44.43
2022-02-25 17:00:56,19.56,13.05,0.0,0.0,44.82
2022-02-25 18:00:56,33.04,15.36,5.33,8.68,47.42
2022-02-25 19:00:56,33.78,13.98,4.35,6.72,48.27
2022-02-25 20:00:56,28.04,15.99,3.91,6.41,49.38
2022-02-25 21:00:56,29.64,23.69,12.87,15.21,44.28
2022-02-25 22:00:56,44.8,17.03,10.56,12.95,36.14
2022-02-25 23:00:56,39.41,13.52,6.52,8.86,36.46
2022-02-26 00:00:56,24.71,14.91,2.74,4.93,55.66
2022-02-26 01:00:56,16.63,13.14,2.5,4.56,54.74
2022-02-26 02:00:56,8.41,12.48,3.76,5.84,40.28
2022-02-26 03:00:56,17.58,12.36,3.61,5.76,33.43
2022-02-26 04:00:56,7.92,10.65,2.24,4.43,46.45
2022-02-26 05:00:56,6.07,10.39,1.95,4.06,41.05
2022-02-26 06:00:56,7.84,11.13,2.09,4.21,37.84
2022-02-26 07:00:56,3.85,10.22,1.07,3.19,49.05
2022-02-26 08:00:56,0.0,10.39,1.34,3.49,48.01
2022-02-26 09:00:56,0.0,16.19,3.23,5.9,46.81
2022-02-26 10:00:56,3.24,16.01,3.7,6.61,45.94
2022-02-26 11:00:56,8.84,14.59,2.16,4.9,45.09
2022-02-26 12:00:56,5.0,11.39,2.26,4.95,46.81
2022-02-26 13:00:56,0.0,14.28,3.31,6.23,49.07
2022-02-26 14:00:56,4.04,16.21,3.04,6.06,53.41
2022-02-26 15:00:56,4.85,12.02,1.98,4.27,54.82
2022-02-26 16:00:56,1.24,10.65,2.08,4.47,54.66
2022-02-26 17:00:56,7.52,12.86,2.27,5.02,54.45
2022-02-26 18:00:56,19.24,12.39,2.25,4.64,53.9
2022-02-26 19:00:56,1.6,22.02,10.94,14.5,42.41
2022-02-26 20:00:56,16.4,26.54,12.43,16.42,44.97
2022-02-26 21:00:56,25.23,24.6,9.38,12.66,44.37
2022-02-26 22:00:56,6.04,25.61,9.35,12.33,34.24
2022-02-26 23:00:56,7.38,20.38,6.98,9.52,26.25
2022-02-27 00:00:56,16.54,17.98,5.88,8.24,25.55
2022-02-27 01:00:56,5.04,14.56,5.85,8.32,24.49
2022-02-27 02:00:56,6.04,13.77,4.8,7.05,25.82
2022-02-27 03:00:56,6.92,12.34,4.57,6.87,26.12
2022-02-27 04:00:56,4.8,11.73,2.69,4.83,32.1
2022-02-27 05:00:56,0.0,10.39,3.53,5.72,33.77
2022-02-27 06:00:56,0.0,14.09,4.0,6.05,33.4
2022-02-27 07:00:56,7.39,16.02,6.15,8.29,25.75
2022-02-27 08:00:56,17.04,14.04,7.09,9.5,25.23
2022-02-27 09:00:56,18.0,15.04,11.47,15.77,22.51
2022-02-27 10:00:56,18.48,15.21,9.97,13.67,30.46
2022-02-27 11:00:56,29.76,16.78,8.91,13.32,33.09
2022-02-27 12:00:56,23.88,15.71,7.24,10.88,35.77
2022-02-27 13:00:56,21.04,13.79,6.45,9.93,38.67
2022-02-27 14:00:56,22.56,13.12,9.41,13.87,35.7
2022-02-27 15:00:56,35.59,12.62,10.03,13.81,34.29
2022-02-27 16:00:56,27.28,13.63,14.87,19.13,28.4
2022-02-27 17:00:56,57.4,13.83,11.2,14.58,28.69
2022-02-27 18:00:56,42.84,14.87,9.72,12.72,31.34
2022-02-27 19:00:56,38.4,15.22,8.4,11.89,22.74
2022-02-27 20:00:56,24.0,19.74,15.8,19.19,20.45
2022-02-27 21:00:56,25.35,22.4,19.95,23.78,12.38
