Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 ),PM 2.5 ( µg/m3 )
2018-03-29 00:00:56,92.29499999999999,10.51,47.785,52.64,51.965,28.93
2018-03-29 01:00:56,84.53,9.22,19.015,23.41,48.34,28.83
2018-03-29 02:00:56,82.22,8.25,21.080000000000002,25.450000000000003,46.92,30.36
2018-03-29 03:00:56,76.805,8.77,14.350000000000001,18.535,52.08,30.86
2018-03-29 04:00:56,87.025,7.37,13.425,17.490000000000002,52.745000000000005,29.34
2018-03-29 05:00:56,102.62,7.78,9.035,13.015,58.63,32.31
2018-03-29 06:00:56,133.99,6.33,5.75,9.705000000000002,62.57,36.74
2018-03-29 07:00:56,132.5,5.91,2.195,6.12,64.27000000000001,42.06
2018-03-29 08:00:56,83.975,6.5,2.325,6.319999999999999,64.625,40.2
2018-03-29 09:00:56,60.075,8.29,7.175,11.995000000000001,59.31,37.63
2018-03-29 10:00:56,53.665000000000006,10.1,10.08,15.065000000000001,56.33,34.83
2018-03-29 11:00:56,43.665,6.22,5.8149999999999995,9.99,62.525,23.86
2018-03-29 12:00:56,33.7,6.75,8.48,13.41,58.08,15.88
2018-03-29 13:00:56,38.760000000000005,8.07,13.375,18.755000000000003,56.13,17.1
2018-03-29 14:00:56,47.44,8.72,11.505,16.23,60.85000000000001,20.79
2018-03-29 15:00:56,48.14,9.19,10.620000000000001,15.585,62.145,21.06
2018-03-29 16:00:56,41.205,8.51,10.985000000000001,16.305,64.225,19.56
2018-03-29 17:00:56,39.375,8.26,11.1,15.44,67.345,23.43
2018-03-29 18:00:56,42.120000000000005,7.01,5.405,9.65,69.39,32.66
2018-03-29 19:00:56,40.95,6.25,7.59,11.885,67.9,33.57
2018-03-29 20:00:56,38.855000000000004,12.82,10.47,14.9,61.42,26.52
2018-03-29 21:00:56,39.504999999999995,7.63,8.620000000000001,12.83,62.25,21.88
2018-03-29 22:00:56,35.065,9.97,14.055,18.41,53.8,22.33
2018-03-29 23:00:56,37.16,8.09,8.32,12.565000000000001,58.315,22.88
2018-03-30 00:00:56,35.265,7.24,38.835,43.425000000000004,58.205,20.72
2018-03-30 01:00:56,34.32,6.99,9.82,14.0,55.3,19.31
2018-03-30 02:00:56,26.395,6.47,6.575,10.655000000000001,59.245000000000005,17.19
2018-03-30 03:00:56,24.17,6.9,6.595000000000001,10.655,60.29,16.71
2018-03-30 04:00:56,18.175,6.2,5.765000000000001,9.83,59.295,13.85
2018-03-30 05:00:56,14.23,5.66,5.630000000000001,9.66,58.209999999999994,10.58
2018-03-30 06:00:56,10.780000000000001,6.28,5.959999999999999,10.004999999999999,55.325,7.63
2018-03-30 07:00:56,8.895,6.7,5.9799999999999995,10.11,53.505,6.15
2018-03-30 08:00:56,8.469999999999999,6.47,7.215,11.434999999999999,48.0,7.01
2018-03-30 09:00:56,8.23,7.01,9.325,14.385,43.295,8.07
2018-03-30 10:00:56,10.355,7.76,9.775,14.725,45.04,10.23
2018-03-30 11:00:56,11.44,7.59,8.86,13.28,50.305,11.99
2018-03-30 12:00:56,10.95,6.8,8.705,13.355,49.269999999999996,10.18
2018-03-30 13:00:56,8.805,6.67,7.33,11.795,51.144999999999996,8.71
2018-03-30 14:00:56,8.94,6.59,7.885,12.47,46.790000000000006,9.56
2018-03-30 15:00:56,10.37,7.11,8.055,11.725000000000001,45.555,8.0
2018-03-30 16:00:56,10.72,7.17,7.095,10.565000000000001,44.705,7.62
2018-03-30 17:00:56,13.045,7.63,6.495,10.02,47.685,9.04
2018-03-30 18:00:56,14.33,7.0,8.235,11.815000000000001,49.97,13.79
2018-03-30 19:00:56,20.799999999999997,6.89,8.28,11.979999999999999,53.425,15.73
2018-03-30 20:00:56,18.7,8.04,9.120000000000001,12.715,56.025000000000006,15.54
2018-03-30 21:00:56,20.725,8.32,9.12,12.65,56.32,14.42
2018-03-30 22:00:56,16.88,7.91,8.56,11.815,57.695,13.69
2018-03-30 23:00:56,15.215,7.27,8.245,11.47,59.795,13.05
2018-03-31 00:00:56,18.04,7.26,37.815,41.355,61.55,11.58
2018-03-31 01:00:56,14.145,7.31,7.6049999999999995,10.795,60.695,12.02
2018-03-31 02:00:56,19.130000000000003,7.54,8.870000000000001,12.045,56.29,15.28
2018-03-31 03:00:56,17.755,7.89,9.11,12.285,51.254999999999995,15.86
2018-03-31 04:00:56,16.63,6.99,9.935,13.2,55.17,15.69
2018-03-31 05:00:56,20.92,6.65,8.719999999999999,11.935,59.010000000000005,15.86
2018-03-31 06:00:56,18.93,6.75,9.475,12.75,57.58,17.58
2018-03-31 07:00:56,20.8,7.47,6.135,9.41,55.995000000000005,17.53
2018-03-31 08:00:56,18.575000000000003,8.14,6.4399999999999995,9.8,56.18,16.88
2018-03-31 09:00:56,20.814999999999998,9.51,13.26,17.745,50.61,12.33
2018-03-31 10:00:56,20.065,10.31,15.42,19.825000000000003,53.845,9.77
2018-03-31 11:00:56,23.58,9.03,11.3,16.355,61.11,10.74
2018-03-31 12:00:56,23.87,7.2,8.6,12.19,65.09,12.98
2018-03-31 13:00:56,18.31,6.73,5.695,9.19,68.73,15.27
2018-03-31 14:00:56,19.075,6.07,6.175,9.655,68.24000000000001,15.97
2018-03-31 15:00:56,22.22,7.45,6.085,9.705,70.47,14.3
2018-03-31 16:00:56,22.23,8.17,6.335,10.065,70.935,13.31
2018-03-31 17:00:56,22.93,7.84,6.705,10.325,70.31,11.49
2018-03-31 18:00:56,25.155,8.56,8.24,12.175,64.715,10.0
2018-03-31 19:00:56,23.125,8.97,8.145,11.995000000000001,62.56,13.25
2018-03-31 20:00:56,10.48,8.65,3.11,3.94,24.085,0.0
2018-03-31 21:00:56,10.07,10.66,4.735,5.635,22.665,0.0
2018-03-31 22:00:56,12.05,11.05,5.72,6.845,21.295,0.0
2018-03-31 23:00:56,13.33,10.25,4.045,4.51,22.275,0.0
2018-04-01 00:00:56,8.515,10.28,3.835,4.28,21.41,0.0
2018-04-01 01:00:56,9.02,8.87,2.515,2.86,21.505,0.0
2018-04-01 02:00:56,9.39,8.19,1.795,2.175,21.165,0.0
2018-04-01 03:00:56,6.45,7.85,1.24,1.595,20.99,0.0
2018-04-01 04:00:56,4.965,7.99,1.18,1.54,20.095,0.0
2018-04-01 05:00:56,4.155,7.63,1.03,1.375,20.17,0.0
2018-04-01 06:00:56,8.6,8.07,1.445,1.775,18.94,0.0
2018-04-01 07:00:56,11.555,11.41,3.53,4.37,16.345,0.0
2018-04-01 08:00:56,12.815,10.07,2.255,3.095,17.85,0.0
2018-04-01 09:00:56,8.02,8.03,1.175,1.965,19.61,0.0
2018-04-01 10:00:56,8.45,7.7,1.165,1.83,21.195,0.0
2018-04-01 11:00:56,7.035,7.25,1.61,2.355,24.15,0.0
2018-04-01 12:00:56,7.95,6.44,1.125,1.67,30.535,0.0
2018-04-01 13:00:56,6.465,6.65,1.035,1.48,34.55,0.0
2018-04-01 14:00:56,5.575,6.64,0.865,1.3,35.94,0.0
2018-04-01 15:00:56,7.52,5.37,0.685,1.085,35.98,0.0
2018-04-01 16:00:56,7.985,5.68,0.93,1.375,35.65,0.0
2018-04-01 17:00:56,7.515,5.19,1.325,1.825,36.005,0.0
2018-04-01 18:00:56,7.95,5.48,0.945,1.305,35.175,0.0
2018-04-01 19:00:56,6.535,5.84,1.06,1.465,34.265,0.0
2018-04-01 20:00:56,7.885,13.74,6.6,7.49,29.61,0.0
2018-04-01 21:00:56,17.635,13.38,6.05,6.71,29.585,0.0
2018-04-01 22:00:56,8.64,13.57,6.855,7.34,26.61,0.0
2018-04-01 23:00:56,12.345,11.71,5.66,6.16,25.605,0.0
2018-04-02 00:00:56,7.985,8.07,2.375,2.735,26.805,0.0
2018-04-02 01:00:56,7.43,7.69,1.825,2.155,26.355,0.0
2018-04-02 02:00:56,5.5,7.49,1.745,2.06,25.925,0.0
2018-04-02 03:00:56,5.5,6.72,1.275,1.595,25.595,0.0
2018-04-02 04:00:56,5.48,7.08,1.115,1.445,25.35,0.0
2018-04-02 05:00:56,5.0,6.9,1.06,1.385,25.2,0.0
2018-04-02 06:00:56,5.0,7.5,1.48,1.795,24.555,0.0
2018-04-02 07:00:56,5.16,17.96,5.865,7.1,20.27,0.0
2018-04-02 08:00:56,9.575,8.94,2.245,2.87,23.485,0.0
2018-04-02 09:00:56,11.385,7.24,1.44,1.985,25.525,0.0
2018-04-02 10:00:56,8.52,7.39,1.425,1.995,27.735,0.0
2018-04-02 11:00:56,9.09,6.69,1.27,1.775,32.205,0.0
2018-04-02 12:00:56,11.465,5.81,0.66,1.025,36.645,0.0
2018-04-02 13:00:56,10.48,5.04,0.475,0.835,36.885,0.0
2018-04-02 14:00:56,9.875,5.62,0.56,0.89,37.02,0.0
2018-04-02 15:00:56,6.48,5.75,0.905,1.295,37.24,0.0
2018-04-02 16:00:56,6.055,5.71,1.59,2.12,36.74,0.0
2018-04-02 17:00:56,7.73,6.28,1.995,2.475,35.79,0.0
2018-04-02 18:00:56,16.085,6.0,1.57,2.02,37.245,0.0
2018-04-02 19:00:56,70.81,6.18,1.15,1.57,38.22,0.0
2018-04-02 20:00:56,10.805,7.12,2.37,3.235,38.475,0.0
2018-04-02 21:00:56,5.405,6.67,1.28,1.83,38.775,0.0
2018-04-02 22:00:56,2.96,7.12,1.395,2.075,37.775,0.0
2018-04-02 23:00:56,2.0,6.54,0.975,1.44,37.85,0.0
2018-04-03 00:00:56,1.965,6.78,0.745,1.135,38.775,0.0
2018-04-03 01:00:56,0.965,6.61,0.69,1.02,39.305,0.0
2018-04-03 02:00:56,0.055,7.12,1.01,1.355,38.115,0.0
2018-04-03 03:00:56,1.535,7.42,0.41,0.72,39.555,0.0
2018-04-03 04:00:56,2.5,7.11,0.43,0.745,38.54,0.0
2018-04-03 05:00:56,2.46,7.51,0.575,0.89,37.85,0.0
2018-04-03 06:00:56,1.72,8.41,1.625,2.005,35.825,0.0
2018-04-03 07:00:56,7.375,7.53,1.87,2.295,30.905,0.0
2018-04-03 08:00:56,4.02,9.03,6.1,7.105,25.67,0.0
2018-04-03 09:00:56,4.66,9.59,5.925,7.28,26.04,0.0
2018-04-03 10:00:56,8.96,11.79,6.025,7.63,25.695,0.0
2018-04-03 11:00:56,8.3,14.0,6.455,8.205,26.75,0.0
2018-04-03 12:00:56,15.41,12.49,5.23,6.52,28.725,0.0
2018-04-03 13:00:56,12.795,8.49,2.42,3.15,32.39,0.0
2018-04-03 14:00:56,18.265,7.71,2.36,2.99,66.09,10.12
2018-04-03 15:00:56,19.585,8.11,2.26,2.835,65.39,10.36
2018-04-03 16:00:56,18.015,7.95,2.015,2.57,69.315,12.62
2018-04-03 17:00:56,17.03,7.67,2.505,3.045,70.305,15.69
2018-04-03 18:00:56,18.48,7.56,3.995,8.76,70.28,21.29
2018-04-03 19:00:56,20.905,7.13,7.025,11.89,67.36,20.41
2018-04-03 20:00:56,20.945,8.48,5.9399999999999995,10.915,68.465,19.71
2018-04-03 21:00:56,19.509999999999998,9.23,8.275,13.235,67.455,17.17
2018-04-03 22:00:56,17.795,8.1,5.83,10.705,68.38,15.85
2018-04-03 23:00:56,15.215,10.29,9.1,13.844999999999999,65.62,13.39
2018-04-04 00:00:56,19.77,12.77,7.75,8.23,58.26,12.16
2018-04-04 01:00:56,21.16,9.72,3.82,4.255,62.214999999999996,12.82
2018-04-04 02:00:56,15.02,10.2,3.84,4.27,62.7,14.44
2018-04-04 03:00:56,16.765,10.3,4.565,4.94,59.95,13.86
2018-04-04 04:00:56,17.33,9.92,4.515,4.865,59.135,12.95
2018-04-04 05:00:56,15.940000000000001,9.68,3.475,3.815,60.504999999999995,12.1
2018-04-04 06:00:56,17.42,9.69,2.32,2.695,63.425,12.65
2018-04-04 07:00:56,15.23,15.99,8.695,10.745,57.535000000000004,10.52
2018-04-04 08:00:56,26.935,22.61,9.66,12.695,53.18000000000001,7.46
2018-04-04 09:00:56,27.17,15.71,5.425,7.375,55.72,0.0
2018-04-04 10:00:56,22.615000000000002,11.72,3.465,4.665,61.92,0.0
