Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,104.57,10.51,8.5,9.5,49.76
2018-03-29 01:00:56,89.88,9.22,6.03,6.94,48.06
2018-03-29 02:00:56,85.7,8.25,5.06,5.88,47.82
2018-03-29 03:00:56,76.39,8.77,5.28,6.0,46.57
2018-03-29 04:00:56,88.0,7.37,3.74,4.43,47.21
2018-03-29 05:00:56,89.43,7.78,3.14,3.86,52.89
2018-03-29 06:00:56,131.84,6.33,1.57,2.24,62.94
2018-03-29 07:00:56,124.41,5.91,1.39,2.06,66.29
2018-03-29 08:00:56,43.16,6.5,2.23,3.03,63.83
2018-03-29 09:00:56,17.22,8.29,7.25,9.44,56.71
2018-03-29 10:00:56,24.07,10.1,6.82,8.99,52.46
2018-03-29 11:00:56,25.83,6.22,1.29,2.16,63.55
2018-03-29 12:00:56,21.34,6.75,2.47,3.67,60.77
2018-03-29 13:00:56,32.5,8.07,2.83,4.41,62.34
2018-03-29 14:00:56,48.0,8.72,2.44,3.48,69.93
2018-03-29 15:00:56,47.69,9.19,3.05,4.64,71.59
2018-03-29 16:00:56,37.87,8.51,2.6,3.87,72.66
2018-03-29 17:00:56,33.97,8.26,3.63,4.72,71.69
2018-03-29 18:00:56,32.78,7.01,4.16,5.31,68.74
2018-03-29 19:00:56,26.0,6.25,3.37,4.52,68.48
2018-03-29 20:00:56,26.28,12.82,14.9,16.5,55.75
2018-03-29 21:00:56,34.75,7.63,9.23,10.32,56.79
2018-03-29 22:00:56,27.13,9.97,19.23,20.61,44.05
2018-03-29 23:00:56,30.97,8.09,6.89,8.01,57.5
2018-03-30 00:00:56,29.97,7.24,2.9,3.7,61.55
2018-03-30 01:00:56,28.53,6.99,2.91,3.74,59.81
2018-03-30 02:00:56,14.0,6.47,1.99,2.67,60.17
2018-03-30 03:00:56,13.81,6.9,2.21,2.9,59.8
2018-03-30 04:00:56,7.91,6.2,1.48,2.16,58.52
2018-03-30 05:00:56,4.93,5.66,1.37,2.01,58.19
2018-03-30 06:00:56,2.96,6.28,1.13,1.77,58.44
2018-03-30 07:00:56,2.03,6.7,1.42,2.13,60.27
2018-03-30 08:00:56,3.0,6.47,2.4,3.29,53.77
2018-03-30 09:00:56,3.06,7.01,3.21,5.46,50.88
2018-03-30 10:00:56,5.03,7.76,3.65,5.43,47.57
2018-03-30 11:00:56,5.97,7.59,3.14,4.23,47.56
2018-03-30 12:00:56,4.86,6.8,3.8,5.11,50.36
2018-03-30 13:00:56,0.97,6.67,3.69,4.88,51.42
2018-03-30 14:00:56,0.13,6.59,3.36,4.75,48.02
2018-03-30 15:00:56,4.0,7.11,4.16,5.67,46.93
2018-03-30 16:00:56,4.07,7.17,2.44,3.53,48.43
2018-03-30 17:00:56,5.97,7.63,3.56,4.98,48.32
2018-03-30 18:00:56,5.28,7.0,3.78,5.28,51.82
2018-03-30 19:00:56,12.86,6.89,4.28,6.06,56.18
2018-03-30 20:00:56,9.2,8.04,4.18,5.84,61.81
2018-03-30 21:00:56,14.8,8.32,3.63,5.09,61.79
2018-03-30 22:00:56,8.97,7.91,2.4,3.34,64.11
2018-03-30 23:00:56,8.26,7.27,2.12,2.93,63.5
2018-03-31 00:00:56,15.73,7.26,2.07,2.82,62.69
2018-03-31 01:00:56,8.21,7.31,2.61,3.43,61.2
2018-03-31 02:00:56,13.8,7.54,2.84,3.53,58.54
2018-03-31 03:00:56,7.93,7.89,3.58,4.25,53.01
2018-03-31 04:00:56,6.29,6.99,1.87,2.54,57.45
2018-03-31 05:00:56,14.84,6.65,3.25,3.98,48.88
2018-03-31 06:00:56,10.1,6.75,3.17,4.03,47.82
2018-03-31 07:00:56,12.93,7.47,4.83,5.84,43.43
2018-03-31 08:00:56,11.23,8.14,3.85,5.0,43.91
2018-03-31 09:00:56,17.93,9.51,6.96,9.96,40.17
2018-03-31 10:00:56,16.26,10.31,7.93,10.64,45.82
2018-03-31 11:00:56,23.97,9.03,6.57,10.01,52.3
2018-03-31 12:00:56,22.62,7.2,3.58,5.13,60.2
2018-03-31 13:00:56,12.04,6.73,3.05,4.45,61.43
2018-03-31 14:00:56,13.25,6.07,2.9,4.21,63.47
2018-03-31 15:00:56,20.03,7.45,4.95,6.4,63.95
2018-03-31 16:00:56,21.1,8.17,5.78,7.34,63.48
2018-03-31 17:00:56,24.1,7.84,5.75,7.02,62.28
2018-03-31 18:00:56,26.74,8.56,8.43,10.66,49.36
2018-03-31 19:00:56,19.07,8.97,7.26,9.3,46.99
2018-03-31 20:00:56,20.96,8.65,6.22,7.88,48.17
2018-03-31 21:00:56,20.14,10.66,9.47,11.27,45.33
2018-03-31 22:00:56,24.1,11.05,11.44,13.69,42.59
2018-03-31 23:00:56,26.66,10.25,8.09,9.02,44.55
2018-04-01 00:00:56,17.03,10.28,7.67,8.56,42.82
2018-04-01 01:00:56,18.04,8.87,5.03,5.72,43.01
2018-04-01 02:00:56,18.78,8.19,3.59,4.35,42.33
2018-04-01 03:00:56,12.9,7.85,2.48,3.19,41.98
2018-04-01 04:00:56,9.93,7.99,2.36,3.08,40.19
2018-04-01 05:00:56,8.31,7.63,2.06,2.75,40.34
2018-04-01 06:00:56,17.2,8.07,2.89,3.55,37.88
2018-04-01 07:00:56,23.11,11.41,7.06,8.74,32.69
2018-04-01 08:00:56,25.63,10.07,4.51,6.19,35.7
