Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-22 16:00:56,36.04,5.69,13.21,15.48,78.49
2022-03-22 17:00:56,34.9,7.27,13.38,15.6,78.02
2022-03-22 18:00:56,33.59,7.0,13.34,15.53,78.61
2022-03-22 19:00:56,33.43,6.73,13.56,15.75,75.42
2022-03-22 20:00:56,34.72,7.43,13.92,16.01,72.12
2022-03-22 21:00:56,36.56,8.17,13.88,15.91,77.53
2022-03-22 22:00:56,36.66,8.42,14.1,16.17,83.58
2022-03-22 23:00:56,35.76,7.62,13.81,15.85,84.29
2022-03-23 00:00:56,35.27,6.55,12.86,14.81,82.33
2022-03-23 01:00:56,35.03,6.69,12.1,14.09,83.52
2022-03-23 02:00:56,34.62,7.54,12.01,14.02,84.95
2022-03-23 03:00:56,33.82,7.51,12.07,14.03,78.62
2022-03-23 04:00:56,32.4,6.78,11.7,13.65,78.5
2022-03-23 05:00:56,31.04,5.72,11.69,13.66,84.59
2022-03-23 06:00:56,30.51,5.19,11.65,13.6,86.14
2022-03-23 07:00:56,31.24,5.49,11.6,13.55,83.69
2022-03-23 08:00:56,32.53,5.96,12.25,14.46,79.15
2022-03-23 09:00:56,32.99,5.7,13.21,15.7,74.44
2022-03-23 10:00:56,33.17,4.92,12.02,15.62,72.71
2022-03-23 11:00:56,32.51,0.0,10.5,14.91,75.48
2022-03-23 12:00:56,32.74,0.0,8.67,14.11,76.53
2022-03-23 13:00:56,33.49,0.0,6.69,13.13,76.49
2022-03-23 14:00:56,33.0,0.0,5.22,12.54,78.66
2022-03-23 15:00:56,32.62,0.0,4.48,15.98,81.16
2022-03-23 16:00:56,33.77,0.0,6.41,18.76,89.24
2022-03-23 17:00:56,25.79,3.88,7.15,13.99,93.09
2022-03-23 18:00:56,22.69,4.21,7.76,13.13,88.31
2022-03-23 19:00:56,30.62,6.66,8.94,13.86,87.66
2022-03-23 20:00:56,34.46,8.88,7.83,13.42,86.87
2022-03-23 21:00:56,34.68,8.66,6.37,12.16,87.55
2022-03-23 22:00:56,38.07,8.04,6.27,12.38,88.04
2022-03-23 23:00:56,41.41,8.03,5.5,14.1,90.66
2022-03-24 00:00:56,39.71,7.8,4.14,12.39,95.18
2022-03-24 01:00:56,37.5,7.58,4.44,10.24,97.48
2022-03-24 02:00:56,0.0,0.0,0.0,0.0,0.0
