Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2021-06-29 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-29 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-29 19:00:56,0.0,0.0,0.0,0.0,0.0,166.54
2021-06-29 20:00:56,0.0,0.0,0.0,0.0,0.0,163.35
2021-06-29 21:00:56,0.0,0.0,0.0,0.0,0.0,160.26
2021-06-29 22:00:56,0.0,0.0,0.0,0.0,0.0,154.08
2021-06-29 23:00:56,0.0,0.0,0.0,0.0,0.0,144.09
2021-06-30 00:00:56,0.0,0.0,0.0,0.0,0.0,141.34
2021-06-30 01:00:56,0.0,0.0,0.0,0.0,0.0,134.25
2021-06-30 02:00:56,0.0,0.0,0.0,0.0,0.0,130.65
2021-06-30 03:00:56,0.0,0.0,0.0,0.0,0.0,120.93
2021-06-30 04:00:56,0.0,0.0,0.0,0.0,0.0,110.96
2021-06-30 05:00:56,0.0,0.0,0.0,0.0,0.0,106.91
2021-06-30 06:00:56,0.0,0.0,0.0,0.0,0.0,104.1
2021-06-30 07:00:56,0.0,0.0,0.0,0.0,0.0,108.99
2021-06-30 08:00:56,0.0,0.0,0.0,0.0,0.0,113.81
2021-06-30 09:00:56,0.0,0.0,0.0,0.0,0.0,115.34
2021-06-30 10:00:56,0.0,0.0,0.0,0.0,0.0,133.7
2021-06-30 11:00:56,0.0,0.0,0.0,0.0,0.0,150.85
2021-06-30 12:00:56,0.0,0.0,0.0,0.0,0.0,174.75
2021-06-30 13:00:56,0.0,0.0,0.0,0.0,0.0,192.95
2021-06-30 14:00:56,0.0,0.0,0.0,0.0,0.0,199.23
2021-06-30 15:00:56,0.0,0.0,0.0,0.0,0.0,214.9
2021-06-30 16:00:56,0.0,0.0,0.0,0.0,0.0,225.04
2021-06-30 17:00:56,0.0,0.0,0.0,0.0,0.0,211.6
2021-06-30 18:00:56,0.0,0.0,0.0,0.0,0.0,180.36
2021-06-30 19:00:56,0.0,0.0,0.0,0.0,0.0,172.22
2021-06-30 20:00:56,0.0,0.0,0.0,0.0,0.0,171.63
2021-06-30 21:00:56,0.0,0.0,0.0,0.0,0.0,167.41
2021-06-30 22:00:56,0.0,0.0,0.0,0.0,0.0,165.03
2021-06-30 23:00:56,0.0,0.0,0.0,0.0,0.0,156.52
2021-07-01 00:00:56,0.0,0.0,0.0,0.0,0.0,145.5
2021-07-01 01:00:56,0.0,0.0,0.0,0.0,0.0,135.47
2021-07-01 02:00:56,0.0,0.0,0.0,0.0,0.0,137.02
2021-07-01 03:00:56,0.0,0.0,0.0,0.0,0.0,120.69
2021-07-01 04:00:56,0.0,0.0,1.14,0.0,0.0,101.73
2021-07-01 05:00:56,0.0,0.0,0.89,0.0,0.0,103.65
2021-07-01 06:00:56,0.0,0.0,0.0,0.0,0.0,94.81
2021-07-01 07:00:56,0.0,0.0,0.11,0.0,0.0,103.67
2021-07-01 08:00:56,0.0,0.0,0.0,0.0,0.0,90.74
2021-07-01 09:00:56,0.0,0.0,0.0,0.0,0.0,102.93
2021-07-01 10:00:56,0.0,0.0,0.0,0.0,0.0,118.86
2021-07-01 11:00:56,0.0,0.0,0.0,0.0,0.0,136.23
2021-07-01 12:00:56,0.0,0.0,0.0,0.0,0.0,153.11
2021-07-01 13:00:56,0.0,0.0,0.0,0.0,0.0,173.56
2021-07-01 14:00:56,0.0,0.0,0.0,0.0,0.0,160.92
2021-07-01 15:00:56,0.0,0.0,1.0,0.0,0.0,160.27
2021-07-01 16:00:56,0.0,0.0,1.28,3.97,0.0,151.42
2021-07-01 17:00:56,0.0,0.0,4.08,2.81,5.65,157.64
2021-07-01 18:00:56,0.0,0.0,1.55,2.97,5.67,158.92
2021-07-01 19:00:56,0.0,0.0,1.14,3.14,5.72,159.93
2021-07-01 20:00:56,0.0,0.0,0.87,5.21,7.75,157.15
2021-07-01 21:00:56,0.0,0.0,0.7,5.58,8.07,141.13
2021-07-01 22:00:56,0.0,0.0,0.39,5.56,8.02,124.38
2021-07-01 23:00:56,0.0,0.0,0.5,5.13,7.55,127.11
2021-07-02 00:00:56,0.0,0.0,0.6,6.44,8.84,125.56
2021-07-02 01:00:56,0.0,0.0,0.47,4.64,7.01,126.8
2021-07-02 02:00:56,0.0,0.0,0.56,4.5,6.89,117.74
2021-07-02 03:00:56,0.0,0.0,0.71,7.04,9.43,102.37
2021-07-02 04:00:56,0.0,0.0,0.58,11.11,13.51,84.33
2021-07-02 05:00:56,0.0,0.0,0.55,13.02,20.46,64.68
2021-07-02 06:00:56,0.0,0.0,1.15,9.95,17.45,62.39
2021-07-02 07:00:56,0.0,0.0,1.13,10.02,17.83,58.8
2021-07-02 08:00:56,0.0,0.0,0.57,11.85,15.08,66.5
2021-07-02 09:00:56,0.0,0.0,0.43,9.89,13.53,75.68
