Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,0.0,27.2,4068.84,14.25,15.06,0.0
2018-03-29 01:00:56,0.0,27.63,4138.41,14.21,14.92,0.0
2018-03-29 02:00:56,0.0,28.16,4239.85,14.47,15.53,0.0
2018-03-29 03:00:56,0.0,28.08,4231.75,13.85,14.95,0.0
2018-03-29 04:00:56,0.0,27.83,4211.52,13.48,14.46,0.0
2018-03-29 05:00:56,0.0,27.57,4154.45,12.85,13.72,0.0
2018-03-29 06:00:56,0.0,27.62,4119.65,12.19,13.2,0.0
2018-03-29 07:00:56,0.0,27.13,4121.38,11.95,12.89,0.0
2018-03-29 08:00:56,0.0,26.59,4101.87,12.25,13.45,0.0
2018-03-29 09:00:56,0.0,26.65,4136.17,13.0,14.94,0.0
2018-03-29 10:00:56,0.0,27.38,4273.42,0.0,0.0,0.0
2018-03-29 11:00:56,0.0,27.37,4304.02,0.0,0.0,0.0
2018-03-29 12:00:56,0.0,27.29,4274.39,14.79,17.25,0.0
2018-03-29 13:00:56,0.0,27.1,4162.98,14.15,15.14,0.0
2018-03-29 14:00:56,0.0,25.93,4077.87,13.71,14.18,0.0
2018-03-29 15:00:56,0.0,25.86,4025.73,13.35,13.68,0.0
2018-03-29 16:00:56,0.0,25.16,4001.7,13.4,13.7,0.0
2018-03-29 17:00:56,0.0,25.42,4002.12,13.49,13.85,0.0
2018-03-29 18:00:56,0.0,25.87,4003.33,13.35,13.69,0.0
2018-03-29 19:00:56,0.0,26.92,4018.14,13.01,13.27,0.0
2018-03-29 20:00:56,0.0,27.01,4100.85,13.57,13.95,0.0
2018-03-29 21:00:56,0.0,27.18,4174.69,14.39,14.86,0.0
2018-03-29 22:00:56,0.0,27.72,4373.17,16.15,18.26,0.0
2018-03-29 23:00:56,0.0,27.04,4570.15,15.87,17.23,0.0
2018-03-30 00:00:56,0.0,26.56,4622.17,14.93,15.75,0.0
2018-03-30 01:00:56,0.0,25.64,4598.71,15.22,16.62,0.0
2018-03-30 02:00:56,0.0,25.08,4621.9,0.0,0.0,0.0
2018-03-30 03:00:56,0.0,25.48,4778.24,0.0,0.0,0.0
2018-03-30 04:00:56,0.0,25.03,5052.77,0.0,0.0,0.0
2018-03-30 05:00:56,0.0,26.08,5086.0,0.0,0.0,0.0
2018-03-30 06:00:56,0.0,26.85,4860.96,0.0,0.0,0.0
2018-03-30 07:00:56,0.0,26.75,4714.0,0.0,0.0,0.0
2018-03-30 08:00:56,0.0,28.07,4631.51,0.0,0.0,0.0
2018-03-30 09:00:56,0.0,29.29,4622.45,0.0,0.0,0.0
2018-03-30 10:00:56,0.0,29.22,4633.88,0.0,0.0,0.0
2018-03-30 11:00:56,0.0,27.6,4483.29,0.0,0.0,0.0
2018-03-30 12:00:56,0.0,26.43,4328.97,0.0,0.0,0.0
2018-03-30 13:00:56,0.0,26.52,4226.36,0.0,0.0,0.0
2018-03-30 14:00:56,0.0,27.25,4124.45,14.94,16.53,0.0
2018-03-30 15:00:56,0.0,27.27,4056.26,14.29,14.85,0.0
2018-03-30 16:00:56,0.0,27.91,4003.3,13.84,14.11,0.0
2018-03-30 17:00:56,0.0,28.42,3947.48,13.52,13.61,0.0
2018-03-30 18:00:56,0.0,29.6,3923.31,0.0,0.0,0.0
2018-03-30 19:00:56,0.0,28.78,3923.8,0.0,0.0,0.0
2018-03-30 20:00:56,0.0,28.71,3955.81,0.0,0.0,0.0
2018-03-30 21:00:56,0.0,28.71,4041.54,14.38,14.48,0.0
2018-03-30 22:00:56,0.0,28.11,4227.44,15.62,15.91,0.0
2018-03-30 23:00:56,0.0,27.3,4487.07,17.26,18.17,0.0
2018-03-31 00:00:56,0.0,27.45,4957.4,18.44,20.71,0.0
2018-03-31 01:00:56,0.0,27.92,5104.06,0.0,0.0,0.0
2018-03-31 02:00:56,0.0,27.8,5046.34,0.0,0.0,0.0
2018-03-31 03:00:56,0.0,27.0,4884.15,0.0,0.0,0.0
2018-03-31 04:00:56,0.0,26.67,4680.12,0.0,0.0,0.0
2018-03-31 05:00:56,0.0,26.07,4493.71,14.15,16.59,0.0
2018-03-31 06:00:56,0.0,25.68,4345.75,13.27,14.98,0.0
2018-03-31 07:00:56,0.0,25.94,4223.31,12.64,13.82,0.0
2018-03-31 08:00:56,0.0,26.62,4153.77,12.84,14.76,0.0
2018-03-31 09:00:56,0.0,26.94,4145.26,0.0,0.0,0.0
2018-03-31 10:00:56,0.0,26.98,4132.38,0.0,0.0,0.0
