Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-22 16:00:56,57.89,37.09,2.91,0.0,8.74,10.28,61.32
2022-03-22 17:00:56,56.49,31.06,3.85,0.0,9.01,10.64,61.59
2022-03-22 18:00:56,48.6,31.47,2.2,0.0,8.89,10.66,62.44
2022-03-22 19:00:56,46.52,23.7,1.99,0.0,10.29,11.75,56.56
2022-03-22 20:00:56,0.0,0.0,1.04,0.0,16.27,18.05,39.62
2022-03-22 21:00:56,0.0,0.0,1.35,0.0,11.8,13.96,46.27
2022-03-22 22:00:56,46.69,33.63,1.18,0.0,8.01,10.11,50.17
2022-03-22 23:00:56,41.55,36.71,4.14,0.0,8.14,10.11,41.39
2022-03-23 00:00:56,54.16,37.94,17.85,0.0,50.55,56.66,16.29
2022-03-23 01:00:56,92.16,48.53,13.83,0.0,70.82,91.72,3.71
2022-03-23 02:00:56,76.92,30.23,9.8,0.0,58.81,73.52,5.21
2022-03-23 03:00:56,74.97,21.66,7.35,0.0,45.73,53.15,5.87
2022-03-23 04:00:56,68.03,17.84,10.56,0.0,39.67,44.18,11.31
2022-03-23 05:00:56,70.91,20.14,7.42,0.0,30.65,34.85,14.88
2022-03-23 06:00:56,61.44,13.91,5.23,0.0,36.81,42.12,13.77
2022-03-23 07:00:56,42.29,12.99,4.8,0.0,47.72,60.16,8.47
2022-03-23 08:00:56,60.49,14.74,5.92,0.0,73.63,119.26,5.73
2022-03-23 09:00:56,80.08,22.88,26.49,0.0,77.4,124.94,13.26
2022-03-23 10:00:56,102.43,52.12,25.61,0.0,20.3,26.42,42.39
2022-03-23 11:00:56,97.6,61.46,9.65,0.0,7.8,10.94,54.38
2022-03-23 12:00:56,89.39,58.38,10.13,0.0,8.97,12.22,57.01
2022-03-23 13:00:56,103.0,74.67,8.41,0.0,8.13,11.29,63.79
2022-03-23 14:00:56,111.62,73.86,6.96,0.0,8.54,12.09,70.67
2022-03-23 15:00:56,111.88,74.49,6.19,0.0,8.97,13.38,77.66
2022-03-23 16:00:56,113.55,74.56,4.82,0.0,9.51,15.89,83.2
2022-03-23 17:00:56,0.0,0.0,0.99,0.0,0.0,0.0,62.86
2022-03-23 18:00:56,0.0,0.0,0.58,0.0,0.0,0.0,59.68
2022-03-23 19:00:56,0.0,0.0,1.48,0.0,0.0,0.0,63.2
2022-03-23 20:00:56,0.0,0.0,3.3,0.0,13.77,22.24,69.62
2022-03-23 21:00:56,0.0,0.0,2.31,0.0,11.58,18.99,69.06
2022-03-23 22:00:56,0.0,0.0,4.23,0.0,10.15,16.74,64.79
2022-03-23 23:00:56,0.0,0.0,4.6,0.0,14.6,20.6,60.7
2022-03-24 00:00:56,0.0,0.0,5.23,0.0,11.16,16.64,57.02
2022-03-24 01:00:56,0.0,0.0,14.44,0.0,35.86,40.96,26.91
2022-03-24 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
