Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,55.26,9.98,1197.31,29.07,65.08,40.18
2022-03-23 17:00:56,47.6,23.18,1155.4,30.36,65.15,41.22
2022-03-23 18:00:56,44.32,13.94,1151.11,35.48,78.92,42.25
2022-03-23 19:00:56,56.4,6.62,1133.15,43.32,101.0,42.95
2022-03-23 20:00:56,42.41,7.56,1170.44,44.65,101.61,41.57
2022-03-23 21:00:56,34.7,13.5,1236.85,41.37,87.76,39.47
2022-03-23 22:00:56,14.08,25.18,1359.38,39.64,79.53,37.7
2022-03-23 23:00:56,10.58,16.05,1221.27,29.91,61.76,38.95
2022-03-24 00:00:56,50.92,11.91,1206.42,30.09,63.96,38.92
2022-03-24 01:00:56,42.41,22.09,1348.71,33.57,68.82,36.82
2022-03-24 02:00:56,30.69,30.1,1361.26,34.5,69.6,36.26
2022-03-24 03:00:56,41.36,13.92,1414.5,34.94,68.63,34.99
2022-03-24 04:00:56,42.42,22.1,1369.17,34.17,67.66,33.58
2022-03-24 05:00:56,47.58,15.1,1277.78,32.16,68.0,35.75
2022-03-24 06:00:56,32.99,43.36,1301.98,31.62,66.27,34.97
2022-03-24 07:00:56,27.42,14.97,1308.06,30.35,63.64,34.31
2022-03-24 08:00:56,27.39,20.28,1221.94,31.45,66.17,34.07
2022-03-24 09:00:56,45.2,58.27,1795.66,35.41,68.83,30.39
2022-03-24 10:00:56,72.26,94.4,1599.95,39.35,75.76,29.29
2022-03-24 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
