Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,33.47,5.56,1356.97,6.83,10.11,54.61
2022-03-23 17:00:56,30.65,6.16,1364.35,5.25,0.0,53.08
2022-03-23 18:00:56,43.2,6.24,1371.64,6.42,9.35,50.57
2022-03-23 19:00:56,57.93,10.21,1410.93,8.12,0.0,46.08
2022-03-23 20:00:56,59.46,11.59,1423.63,10.31,13.05,41.78
2022-03-23 21:00:56,47.43,21.37,1520.12,14.56,18.17,39.49
2022-03-23 22:00:56,40.98,16.96,1515.02,0.0,0.0,40.08
2022-03-23 23:00:56,36.88,21.48,1486.7,14.79,18.67,37.21
2022-03-24 00:00:56,35.49,13.14,1442.07,10.64,14.1,38.69
2022-03-24 01:00:56,20.18,7.7,1381.85,6.47,8.9,39.71
2022-03-24 02:00:56,18.74,8.72,1391.28,6.29,8.76,39.83
2022-03-24 03:00:56,18.09,9.45,1370.44,5.11,7.36,42.6
2022-03-24 04:00:56,23.25,7.34,1368.14,0.0,0.0,38.83
2022-03-24 05:00:56,21.78,7.65,1360.51,5.04,7.28,40.33
2022-03-24 06:00:56,22.68,12.65,1370.06,8.2,11.29,38.22
2022-03-24 07:00:56,0.0,0.0,1387.92,11.79,0.0,36.63
2022-03-24 08:00:56,26.54,19.3,1432.25,13.47,17.26,35.51
2022-03-24 09:00:56,30.33,17.03,1434.69,15.39,20.7,34.64
2022-03-24 10:00:56,27.65,12.81,1388.48,11.1,15.6,38.29
2022-03-24 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
