Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-22 16:00:56,42.25,6.97,623.12,13.34,19.81,92.55
2022-03-22 17:00:56,38.76,18.08,678.21,15.26,21.41,87.3
2022-03-22 18:00:56,41.78,24.08,808.4,18.51,24.38,81.33
2022-03-22 19:00:56,49.76,42.31,1011.01,29.3,36.08,68.08
2022-03-22 20:00:56,63.5,35.81,916.7,23.75,29.73,68.67
2022-03-22 21:00:56,63.77,40.91,857.18,26.68,33.2,64.96
2022-03-22 22:00:56,57.71,12.53,799.07,17.92,23.68,62.13
2022-03-22 23:00:56,50.37,27.5,982.77,22.62,28.49,59.81
2022-03-23 00:00:56,47.16,19.74,962.19,21.73,27.71,57.44
2022-03-23 01:00:56,43.89,11.99,808.79,12.8,18.07,73.08
2022-03-23 02:00:56,41.2,12.78,857.35,15.19,20.5,66.05
2022-03-23 03:00:56,38.22,3.58,669.53,8.86,14.04,78.04
2022-03-23 04:00:56,29.78,6.09,1159.24,10.12,15.44,76.18
2022-03-23 05:00:56,30.8,4.43,730.1,10.78,16.32,75.99
2022-03-23 06:00:56,28.29,2.74,597.81,11.78,17.23,73.87
2022-03-23 07:00:56,27.57,26.02,772.86,18.02,27.25,70.84
2022-03-23 08:00:56,43.14,75.06,1231.82,30.55,42.08,59.35
2022-03-23 09:00:56,56.99,45.39,963.5,24.71,35.69,67.87
2022-03-23 10:00:56,65.05,77.36,974.32,25.37,38.1,68.21
2022-03-23 11:00:56,65.64,9.45,638.99,10.8,17.7,84.19
2022-03-23 12:00:56,53.86,5.28,591.64,8.46,15.21,88.1
2022-03-23 13:00:56,48.78,5.44,587.83,8.06,15.02,90.02
2022-03-23 14:00:56,45.57,9.49,613.18,9.1,16.26,88.28
2022-03-23 15:00:56,44.93,4.28,588.75,8.88,15.69,87.38
2022-03-23 16:00:56,43.88,4.98,591.46,10.02,16.95,86.25
2022-03-23 17:00:56,42.61,7.16,616.76,10.67,17.55,84.67
2022-03-23 18:00:56,39.75,8.33,650.49,11.6,18.37,83.83
2022-03-23 19:00:56,37.49,16.99,649.41,12.36,18.74,81.46
2022-03-23 20:00:56,34.47,16.55,643.95,13.18,19.4,78.18
2022-03-23 21:00:56,31.69,13.93,620.72,10.44,16.32,80.98
2022-03-23 22:00:56,28.79,10.44,596.9,9.13,14.77,82.1
2022-03-23 23:00:56,25.56,9.09,558.62,7.43,12.95,91.05
2022-03-24 00:00:56,29.06,8.34,563.49,5.95,11.28,91.87
2022-03-24 01:00:56,30.16,2.15,552.09,5.39,10.64,92.85
2022-03-24 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
