Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-22 16:00:56,50.24,13.34,646.83,32.33,47.81,0.0
2022-03-22 17:00:56,55.28,19.07,896.11,24.36,33.54,0.0
2022-03-22 18:00:56,54.86,28.07,756.04,29.68,35.12,0.0
2022-03-22 19:00:56,52.58,111.71,1438.23,55.67,64.96,0.0
2022-03-22 20:00:56,62.81,96.12,1614.25,48.99,56.51,0.0
2022-03-22 21:00:56,64.23,114.96,1281.89,47.75,52.42,0.0
2022-03-22 22:00:56,58.61,60.23,1063.24,34.35,38.88,0.0
2022-03-22 23:00:56,52.08,43.88,1046.39,25.5,27.85,0.0
2022-03-23 00:00:56,41.19,43.43,1072.22,27.14,30.39,0.0
2022-03-23 01:00:56,37.91,31.86,1438.3,34.6,37.1,0.0
2022-03-23 02:00:56,43.38,49.21,1546.5,36.68,38.54,0.0
2022-03-23 03:00:56,47.57,23.4,1063.32,17.22,18.4,0.0
2022-03-23 04:00:56,43.71,11.38,841.46,14.54,15.38,0.0
2022-03-23 05:00:56,36.99,19.4,1019.47,18.59,19.54,0.0
2022-03-23 06:00:56,33.11,19.56,1183.36,29.51,31.41,0.0
2022-03-23 07:00:56,33.11,47.64,1475.94,41.78,47.44,0.0
2022-03-23 08:00:56,41.2,38.99,1282.65,41.97,51.08,0.0
2022-03-23 09:00:56,50.2,118.72,1674.57,54.7,79.32,0.0
2022-03-23 10:00:56,52.3,48.01,987.1,23.73,34.92,0.0
2022-03-23 11:00:56,42.75,35.31,934.48,29.3,52.8,0.0
2022-03-23 12:00:56,35.69,47.92,899.03,22.47,29.05,0.0
2022-03-23 13:00:56,32.23,33.01,862.99,19.85,28.82,0.0
2022-03-23 14:00:56,29.66,27.38,791.59,16.67,24.09,0.0
2022-03-23 15:00:56,28.32,23.37,797.4,21.33,30.58,0.0
2022-03-23 16:00:56,28.7,57.1,707.82,23.13,33.43,0.0
2022-03-23 17:00:56,28.92,19.13,722.35,24.6,37.4,0.0
2022-03-23 18:00:56,30.95,100.89,1155.57,41.02,51.29,0.0
2022-03-23 19:00:56,39.19,118.21,1304.03,44.32,54.03,0.0
2022-03-23 20:00:56,47.44,103.96,1425.07,37.22,44.71,0.0
2022-03-23 21:00:56,46.83,76.87,1052.84,27.0,32.03,0.0
2022-03-23 22:00:56,38.97,44.64,827.67,15.88,19.25,0.0
2022-03-23 23:00:56,30.48,16.98,727.86,10.79,13.18,0.0
2022-03-24 00:00:56,22.87,21.17,745.43,9.42,11.88,0.0
2022-03-24 01:00:56,19.25,11.82,677.86,7.19,8.75,0.0
2022-03-24 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
