Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-22 16:00:56,48.0,10.14,168.05,20.56,25.74,77.62
2022-03-22 17:00:56,48.0,13.93,167.62,19.68,24.93,76.5
2022-03-22 18:00:56,48.0,11.9,169.77,22.02,28.21,72.17
2022-03-22 19:00:56,48.0,9.14,164.32,21.33,25.85,74.05
2022-03-22 20:00:56,48.0,13.14,169.73,18.63,21.7,75.67
2022-03-22 21:00:56,48.0,16.97,170.07,21.59,24.12,72.83
2022-03-22 22:00:56,48.0,16.14,175.1,24.7,27.39,66.88
2022-03-22 23:00:56,48.0,19.97,176.01,21.59,23.8,68.73
2022-03-23 00:00:56,48.0,19.14,175.95,22.01,24.2,66.15
2022-03-23 01:00:56,48.0,22.69,176.4,20.02,22.34,67.96
2022-03-23 02:00:56,48.0,14.1,175.81,15.3,16.74,72.91
2022-03-23 03:00:56,48.0,16.83,174.47,11.41,12.47,78.85
2022-03-23 04:00:56,48.0,11.97,173.06,10.86,12.15,79.31
2022-03-23 05:00:56,48.0,11.14,176.26,12.78,14.23,75.58
2022-03-23 06:00:56,48.0,14.86,173.87,13.28,14.66,76.11
2022-03-23 07:00:56,48.0,11.2,174.76,14.48,16.31,76.52
2022-03-23 08:00:56,48.0,16.97,176.17,37.17,43.62,54.53
2022-03-23 09:00:56,48.0,16.1,177.96,41.01,51.57,0.0
2022-03-23 10:00:56,48.0,18.97,181.9,28.17,36.64,69.18
2022-03-23 11:00:56,48.0,17.8,167.59,14.88,18.07,86.01
2022-03-23 12:00:56,48.0,11.9,167.29,14.01,18.39,78.13
2022-03-23 13:00:56,48.0,8.93,164.08,16.5,21.98,66.75
2022-03-23 14:00:56,48.0,7.0,161.11,18.4,28.83,66.3
2022-03-23 15:00:56,48.0,6.97,162.21,17.42,27.09,65.63
2022-03-23 16:00:56,48.0,6.03,157.67,11.78,16.61,70.84
2022-03-23 17:00:56,48.0,6.97,160.89,15.03,20.38,66.53
2022-03-23 18:00:56,48.0,6.03,163.13,18.55,23.61,63.21
2022-03-23 19:00:56,48.0,7.1,165.77,22.71,27.69,59.1
2022-03-23 20:00:56,48.0,10.03,169.25,20.1,23.25,62.88
2022-03-23 21:00:56,48.0,10.93,167.41,20.43,23.15,60.77
2022-03-23 22:00:56,48.0,8.97,169.31,16.9,19.22,61.44
2022-03-23 23:00:56,48.0,7.97,170.22,18.29,20.83,57.06
2022-03-24 00:00:56,48.0,7.0,172.95,17.7,19.96,58.16
2022-03-24 01:00:56,48.0,7.03,171.8,13.26,15.04,61.25
2022-03-24 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
