Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,52.59,0.0,33.03,0.0,38.65,63.87,50.9
2022-03-23 17:00:56,55.53,0.0,33.64,0.0,36.59,66.12,50.59
2022-03-23 18:00:56,53.76,0.0,33.73,0.0,39.1,69.47,49.09
2022-03-23 19:00:56,51.91,0.0,33.56,0.0,43.29,80.3,47.41
2022-03-23 20:00:56,49.22,0.0,32.09,0.0,52.07,83.07,45.74
2022-03-23 21:00:56,43.2,0.0,31.37,0.0,42.42,63.88,46.11
2022-03-23 22:00:56,35.76,0.0,30.81,0.0,33.13,51.05,49.4
2022-03-23 23:00:56,34.14,0.0,32.37,0.0,31.57,48.52,49.83
2022-03-24 00:00:56,33.37,0.0,32.32,0.0,26.42,37.4,51.31
2022-03-24 01:00:56,36.35,0.0,31.72,0.0,23.82,32.01,51.76
2022-03-24 02:00:56,31.51,0.0,32.14,0.0,22.43,29.31,54.31
2022-03-24 03:00:56,26.63,0.0,31.5,0.0,19.13,23.33,54.2
2022-03-24 04:00:56,28.2,0.0,30.86,0.0,17.93,19.52,51.26
2022-03-24 05:00:56,31.18,0.0,30.88,0.0,24.23,27.51,47.8
2022-03-24 06:00:56,31.54,0.0,31.09,0.0,22.96,25.97,48.2
2022-03-24 07:00:56,31.14,0.0,31.4,0.0,26.59,34.04,45.74
2022-03-24 08:00:56,30.77,0.0,31.95,0.0,44.49,69.04,38.16
2022-03-24 09:00:56,37.45,0.0,33.14,0.0,57.58,97.05,35.27
2022-03-24 10:00:56,46.34,0.0,39.17,0.0,47.49,79.96,39.28
2022-03-24 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
