Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2022-03-22 16:00:56,56.6,0.0,25.83,15.2,25.88
2022-03-22 17:00:56,51.35,0.0,32.11,15.2,25.88
2022-03-22 18:00:56,43.11,0.0,52.34,15.2,25.88
2022-03-22 19:00:56,42.08,0.0,56.91,15.2,25.88
2022-03-22 20:00:56,44.45,0.0,70.5,15.2,25.88
2022-03-22 21:00:56,43.21,0.0,69.98,15.2,25.88
2022-03-22 22:00:56,38.82,0.0,53.59,15.2,25.88
2022-03-22 23:00:56,42.32,0.0,48.64,15.2,25.88
2022-03-23 00:00:56,42.79,0.0,39.14,15.2,25.88
2022-03-23 01:00:56,35.18,0.0,28.66,15.2,25.88
2022-03-23 02:00:56,29.88,0.0,24.79,15.2,25.88
2022-03-23 03:00:56,30.11,0.0,24.09,15.2,25.88
2022-03-23 04:00:56,26.17,0.0,25.63,15.2,25.88
2022-03-23 05:00:56,21.94,0.0,27.67,15.2,25.88
2022-03-23 06:00:56,20.14,0.0,42.23,15.2,25.88
2022-03-23 07:00:56,25.34,0.0,47.34,15.2,25.88
2022-03-23 08:00:56,30.93,0.0,44.16,15.2,25.88
2022-03-23 09:00:56,30.98,0.0,43.55,15.2,25.88
2022-03-23 10:00:56,30.69,0.0,31.42,15.2,25.88
2022-03-23 11:00:56,31.68,0.0,32.92,15.2,25.88
2022-03-23 12:00:56,33.1,0.0,31.67,0.0,0.0
2022-03-23 13:00:56,28.54,0.0,34.07,15.2,25.88
2022-03-23 14:00:56,28.16,0.0,24.17,15.2,25.88
2022-03-23 15:00:56,28.94,0.0,23.58,15.2,25.88
2022-03-23 16:00:56,28.07,0.0,24.55,15.2,25.88
2022-03-23 17:00:56,23.51,0.0,21.86,15.2,25.88
2022-03-23 18:00:56,18.43,0.0,45.72,15.2,25.88
2022-03-23 19:00:56,21.28,0.0,41.84,15.2,25.88
2022-03-23 20:00:56,21.14,0.0,43.2,15.2,25.88
2022-03-23 21:00:56,16.19,0.0,35.48,15.2,25.88
2022-03-23 22:00:56,16.82,0.0,43.94,15.2,25.88
2022-03-23 23:00:56,16.28,0.0,39.17,15.2,25.88
2022-03-24 00:00:56,27.65,0.0,43.96,15.2,25.88
2022-03-24 01:00:56,31.31,0.0,28.72,15.2,25.88
2022-03-24 02:00:56,0.0,0.0,0.0,0.0,0.0
