Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,16.25,0.0,5.63,0.0,3.9,8.31,77.39
2022-03-23 17:00:56,13.62,0.0,5.81,0.0,4.18,8.79,76.46
2022-03-23 18:00:56,15.81,0.0,5.72,0.0,4.18,8.89,73.85
2022-03-23 19:00:56,16.21,0.0,6.27,0.0,4.19,8.94,74.24
2022-03-23 20:00:56,17.01,0.0,5.96,0.0,5.44,9.86,73.25
2022-03-23 21:00:56,17.43,0.0,5.75,0.0,4.97,9.62,72.37
2022-03-23 22:00:56,17.15,0.0,6.02,0.0,3.84,8.57,72.65
2022-03-23 23:00:56,18.73,0.0,5.92,0.0,4.17,8.68,71.86
2022-03-24 00:00:56,18.62,0.0,6.22,0.0,4.38,9.04,72.12
2022-03-24 01:00:56,20.95,0.0,5.89,0.0,3.68,8.31,73.85
2022-03-24 02:00:56,22.12,0.0,6.11,0.0,4.16,8.89,72.92
2022-03-24 03:00:56,21.39,0.0,6.01,0.0,5.42,9.85,68.39
2022-03-24 04:00:56,25.22,0.0,7.0,0.0,10.12,15.06,61.13
2022-03-24 05:00:56,25.14,0.0,7.61,0.0,11.53,16.47,59.65
2022-03-24 06:00:56,20.31,0.0,7.4,0.0,8.58,13.28,61.05
2022-03-24 07:00:56,23.7,0.0,6.53,0.0,7.95,13.52,60.29
2022-03-24 08:00:56,20.99,0.0,6.21,0.0,8.61,14.1,59.12
2022-03-24 09:00:56,19.59,0.0,6.29,0.0,7.5,12.71,62.41
2022-03-24 10:00:56,22.92,0.0,7.55,0.0,9.74,16.43,61.38
2022-03-24 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
