Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,17.86,0.0,0.0,539.14,7.72,9.03,0.0
2018-03-29 01:00:56,18.73,0.0,0.0,465.34,7.41,8.9,0.0
2018-03-29 02:00:56,18.96,0.0,0.0,443.47,5.72,6.62,0.0
2018-03-29 03:00:56,16.26,0.0,0.0,447.03,4.61,5.02,0.0
2018-03-29 04:00:56,12.02,0.0,0.0,468.35,4.9,5.58,0.0
2018-03-29 05:00:56,9.53,0.0,0.0,454.41,4.48,4.52,0.0
2018-03-29 06:00:56,8.72,0.0,0.0,468.07,4.23,4.28,0.0
2018-03-29 07:00:56,8.82,0.0,0.0,474.36,4.07,4.12,0.0
2018-03-29 08:00:56,10.61,0.0,0.0,519.46,5.28,6.37,0.0
2018-03-29 09:00:56,10.64,0.0,0.0,567.57,10.98,15.75,0.0
2018-03-29 10:00:56,10.67,0.0,0.0,673.62,12.86,18.33,0.0
2018-03-29 11:00:56,11.1,0.0,0.0,623.87,11.52,15.81,0.0
2018-03-29 12:00:56,9.37,0.0,0.0,727.47,10.2,16.12,0.0
2018-03-29 13:00:56,10.48,0.0,0.0,727.74,10.27,15.09,0.0
2018-03-29 14:00:56,12.16,0.0,0.0,704.78,10.12,13.89,0.0
2018-03-29 15:00:56,10.66,0.0,0.0,757.53,11.04,15.63,0.0
2018-03-29 16:00:56,9.62,0.0,0.0,734.36,10.67,15.16,0.0
2018-03-29 17:00:56,13.2,0.0,0.0,747.69,11.21,16.73,0.0
2018-03-29 18:00:56,15.0,0.0,0.0,764.64,12.98,18.24,0.0
2018-03-29 19:00:56,12.65,0.0,0.0,797.17,17.3,21.99,0.0
2018-03-29 20:00:56,12.67,0.0,0.0,1100.57,22.62,32.01,0.0
2018-03-29 21:00:56,14.4,0.0,0.0,1072.69,21.24,30.06,0.0
2018-03-29 22:00:56,16.65,0.0,0.0,1070.5,26.65,37.03,0.0
2018-03-29 23:00:56,18.18,0.0,0.0,1535.99,40.93,82.13,0.0
2018-03-30 00:00:56,21.86,0.0,0.0,2248.57,41.98,95.74,0.0
2018-03-30 01:00:56,30.43,0.0,0.0,1472.3,30.41,43.28,0.0
2018-03-30 02:00:56,33.89,0.0,0.0,1630.01,33.31,78.04,0.0
2018-03-30 03:00:56,30.24,0.0,0.0,1672.65,28.41,64.68,0.0
2018-03-30 04:00:56,33.7,0.0,0.0,1525.33,28.03,79.99,0.0
2018-03-30 05:00:56,31.62,0.0,0.0,1182.29,22.43,68.76,0.0
2018-03-30 06:00:56,28.06,0.0,0.0,1030.59,20.55,34.44,0.0
2018-03-30 07:00:56,28.3,0.0,0.0,1028.68,19.44,26.14,0.0
2018-03-30 08:00:56,25.56,0.0,0.0,1099.47,26.67,52.1,0.0
2018-03-30 09:00:56,25.65,0.0,0.0,1313.49,50.65,151.03,0.0
2018-03-30 10:00:56,26.76,0.0,0.0,1805.49,50.73,189.95,0.0
2018-03-30 11:00:56,31.79,0.0,0.0,1674.84,44.8,156.65,0.0
2018-03-30 12:00:56,31.92,0.0,0.0,1315.68,45.57,158.75,0.0
2018-03-30 13:00:56,27.04,0.0,0.0,1165.35,41.24,147.57,0.0
2018-03-30 14:00:56,31.98,0.0,0.0,1188.31,32.44,94.1,0.0
