Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-22 16:00:56,38.66,26.01,15.01,913.06,10.92,16.74,36.82
2022-03-22 17:00:56,28.63,19.24,16.27,1147.92,12.88,20.8,37.25
2022-03-22 18:00:56,37.65,13.63,16.02,920.2,10.97,16.78,37.18
2022-03-22 19:00:56,28.77,13.45,14.83,1049.69,12.37,17.91,36.93
2022-03-22 20:00:56,30.8,11.14,13.59,986.73,13.96,19.87,36.86
2022-03-22 21:00:56,24.88,7.95,13.29,1206.71,19.92,27.11,35.77
2022-03-22 22:00:56,23.9,5.56,13.05,1246.41,26.15,31.86,35.23
2022-03-22 23:00:56,26.23,14.78,14.7,1484.9,32.12,39.19,33.74
2022-03-23 00:00:56,34.45,24.99,14.61,1631.2,36.02,43.69,33.0
2022-03-23 01:00:56,41.14,33.95,14.88,1672.49,35.22,41.96,32.12
2022-03-23 02:00:56,45.5,0.0,14.51,1753.82,34.95,47.81,32.0
2022-03-23 03:00:56,55.35,43.38,12.0,1513.3,26.17,30.53,31.96
2022-03-23 04:00:56,52.07,46.21,12.5,1734.42,31.45,41.37,31.53
2022-03-23 05:00:56,60.85,40.29,11.44,1439.42,18.66,21.45,32.56
2022-03-23 06:00:56,59.45,28.93,11.37,1644.89,20.29,24.13,31.79
2022-03-23 07:00:56,65.9,38.32,11.03,1302.97,13.33,15.88,33.0
2022-03-23 08:00:56,57.4,41.72,11.54,1510.55,15.23,18.99,32.41
2022-03-23 09:00:56,60.75,0.0,14.02,1560.4,20.81,33.22,32.15
2022-03-23 10:00:56,57.42,0.0,15.45,1704.99,22.61,33.23,32.47
2022-03-23 11:00:56,58.17,0.0,20.85,1624.85,24.26,40.53,32.74
2022-03-23 12:00:56,65.84,54.88,22.53,1587.64,23.56,37.02,34.18
2022-03-23 13:00:56,63.38,51.88,22.2,1200.07,15.6,23.66,35.23
2022-03-23 14:00:56,56.56,48.34,22.3,1099.02,15.16,24.24,36.04
2022-03-23 15:00:56,55.7,35.27,18.23,968.73,11.62,18.84,36.12
2022-03-23 16:00:56,47.62,25.27,16.82,918.23,10.35,17.69,36.01
2022-03-23 17:00:56,42.39,22.32,15.37,943.85,10.98,19.01,35.88
2022-03-23 18:00:56,34.23,16.18,14.37,898.3,10.81,17.27,35.63
2022-03-23 19:00:56,27.77,14.23,13.17,982.86,13.33,21.45,35.33
2022-03-23 20:00:56,23.55,10.29,12.87,1066.07,19.92,27.88,34.69
2022-03-23 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-23 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-23 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
