Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,47.62,25.27,16.82,918.23,10.35,17.69,36.01
2022-03-23 17:00:56,42.39,22.32,15.37,943.85,10.98,19.01,35.88
2022-03-23 18:00:56,34.23,16.18,14.37,898.3,10.81,17.27,35.63
2022-03-23 19:00:56,27.77,14.23,13.17,982.86,13.33,21.45,35.33
2022-03-23 20:00:56,23.55,10.29,12.87,1066.07,19.92,27.88,34.69
2022-03-23 21:00:56,33.72,14.8,14.32,1297.74,25.71,31.51,33.06
2022-03-23 22:00:56,33.99,29.35,14.01,1324.85,24.46,27.95,32.99
2022-03-23 23:00:56,36.25,20.93,14.17,1385.23,20.28,25.8,32.46
2022-03-24 00:00:56,26.66,20.36,14.99,1368.97,27.72,31.69,32.4
2022-03-24 01:00:56,39.15,29.35,13.61,1398.5,14.08,17.57,32.28
2022-03-24 02:00:56,42.19,29.16,12.52,1341.53,16.05,24.35,32.66
2022-03-24 03:00:56,47.92,35.77,11.31,1173.16,13.0,14.95,33.42
2022-03-24 04:00:56,46.95,32.41,10.82,1154.78,11.18,12.89,33.14
2022-03-24 05:00:56,34.97,25.42,10.72,1066.57,11.78,13.92,33.82
2022-03-24 06:00:56,37.0,19.1,11.04,1058.13,9.97,11.44,33.95
2022-03-24 07:00:56,27.7,22.18,10.61,1006.4,8.52,9.94,33.97
2022-03-24 08:00:56,23.17,17.05,10.88,970.51,9.92,12.29,34.3
2022-03-24 09:00:56,19.95,12.31,10.97,1081.01,13.77,17.88,33.81
2022-03-24 10:00:56,23.26,13.57,11.37,1015.84,13.96,18.59,34.22
2022-03-24 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
