Date,PM10 ( µg/m3 ),SO2 ( µg/m3 )
2018-03-29 00:00:56,157.55,8.67
2018-03-29 01:00:56,132.82,6.9
2018-03-29 02:00:56,126.3,5.8
2018-03-29 03:00:56,101.74,5.24
2018-03-29 04:00:56,101.87,4.97
2018-03-29 05:00:56,85.97,4.4
2018-03-29 06:00:56,76.08,3.6
2018-03-29 07:00:56,72.0,3.72
2018-03-29 08:00:56,74.03,3.81
2018-03-29 09:00:56,81.35,3.54
2018-03-29 10:00:56,74.36,3.87
2018-03-29 11:00:56,75.26,4.54
2018-03-29 12:00:56,73.29,5.1
2018-03-29 13:00:56,79.74,5.31
2018-03-29 14:00:56,84.29,4.77
2018-03-29 15:00:56,90.55,5.35
2018-03-29 16:00:56,93.37,6.34
2018-03-29 17:00:56,90.95,4.92
2018-03-29 18:00:56,73.55,4.4
2018-03-29 19:00:56,79.84,4.61
2018-03-29 20:00:56,93.53,4.48
2018-03-29 21:00:56,84.4,4.42
2018-03-29 22:00:56,126.72,3.94
2018-03-29 23:00:56,184.71,4.18
2018-03-30 00:00:56,169.28,3.52
2018-03-30 01:00:56,162.52,3.13
2018-03-30 02:00:56,146.45,3.07
2018-03-30 03:00:56,138.34,2.79
2018-03-30 04:00:56,108.43,2.84
2018-03-30 05:00:56,80.69,2.3
2018-03-30 06:00:56,47.09,1.96
2018-03-30 07:00:56,40.8,1.88
2018-03-30 08:00:56,31.73,2.38
2018-03-30 09:00:56,33.9,2.83
2018-03-30 10:00:56,27.9,2.95
2018-03-30 11:00:56,22.63,2.75
2018-03-30 12:00:56,21.55,2.42
2018-03-30 13:00:56,21.62,2.22
2018-03-30 14:00:56,13.74,2.29
2018-03-30 15:00:56,25.27,2.22
2018-03-30 16:00:56,22.0,2.48
2018-03-30 17:00:56,19.44,2.58
2018-03-30 18:00:56,9.47,2.57
2018-03-30 19:00:56,16.19,2.32
2018-03-30 20:00:56,20.52,2.51
2018-03-30 21:00:56,37.48,4.11
2018-03-30 22:00:56,40.11,3.56
2018-03-30 23:00:56,22.44,2.2
2018-03-31 00:00:56,20.73,2.41
2018-03-31 01:00:56,23.81,3.49
2018-03-31 02:00:56,20.96,3.28
2018-03-31 03:00:56,11.81,2.96
2018-03-31 04:00:56,10.81,3.02
2018-03-31 05:00:56,9.44,2.46
2018-03-31 06:00:56,6.81,2.68
2018-03-31 07:00:56,6.93,2.71
2018-03-31 08:00:56,11.75,3.22
2018-03-31 09:00:56,16.31,4.35
2018-03-31 10:00:56,22.19,3.77
2018-03-31 11:00:56,22.63,4.09
2018-03-31 12:00:56,20.63,4.36
2018-03-31 13:00:56,17.15,4.27
2018-03-31 14:00:56,9.37,3.95
2018-03-31 15:00:56,11.0,3.3
2018-03-31 16:00:56,10.63,3.46
2018-03-31 17:00:56,8.63,3.36
2018-03-31 18:00:56,7.37,3.45
2018-03-31 19:00:56,11.78,3.57
2018-03-31 20:00:56,24.56,4.4
2018-03-31 21:00:56,30.89,7.21
2018-03-31 22:00:56,53.56,5.14
2018-03-31 23:00:56,68.92,4.82
2018-04-01 00:00:56,30.1,5.25
2018-04-01 01:00:56,33.7,2.64
2018-04-01 02:00:56,25.96,2.22
2018-04-01 03:00:56,16.81,1.74
2018-04-01 04:00:56,14.15,1.4
2018-04-01 05:00:56,5.81,1.13
2018-04-01 06:00:56,4.82,1.24
2018-04-01 07:00:56,6.03,1.5
2018-04-01 08:00:56,16.48,2.68
2018-04-01 09:00:56,23.18,3.27
2018-04-01 10:00:56,21.97,2.2
2018-04-01 11:00:56,13.0,2.23
2018-04-01 12:00:56,12.82,2.05
2018-04-01 13:00:56,11.63,1.62
2018-04-01 14:00:56,9.63,1.21
2018-04-01 15:00:56,7.82,1.46
2018-04-01 16:00:56,6.82,1.46
2018-04-01 17:00:56,6.37,1.31
2018-04-01 18:00:56,8.55,1.31
2018-04-01 19:00:56,12.66,1.52
2018-04-01 20:00:56,21.84,2.8
2018-04-01 21:00:56,36.09,5.25
2018-04-01 22:00:56,58.39,3.47
2018-04-01 23:00:56,37.45,3.82
2018-04-02 00:00:56,34.45,3.74
2018-04-02 01:00:56,30.89,3.14
2018-04-02 02:00:56,24.52,2.98
2018-04-02 03:00:56,16.89,2.49
2018-04-02 04:00:56,11.63,2.1
2018-04-02 05:00:56,9.63,2.37
2018-04-02 06:00:56,9.49,2.47
2018-04-02 07:00:56,15.44,2.53
2018-04-02 08:00:56,15.43,3.66
2018-04-02 09:00:56,25.44,4.16
2018-04-02 10:00:56,23.0,3.39
2018-04-02 11:00:56,22.81,3.48
2018-04-02 12:00:56,22.56,3.66
2018-04-02 13:00:56,24.07,4.13
2018-04-02 14:00:56,20.56,5.34
2018-04-02 15:00:56,21.69,5.04
2018-04-02 16:00:56,15.81,4.67
2018-04-02 17:00:56,15.0,4.69
2018-04-02 18:00:56,15.75,4.2
2018-04-02 19:00:56,20.13,3.76
2018-04-02 20:00:56,23.87,3.95
2018-04-02 21:00:56,24.05,5.38
2018-04-02 22:00:56,41.89,4.07
2018-04-02 23:00:56,23.44,2.98
2018-04-03 00:00:56,21.18,3.71
2018-04-03 01:00:56,22.56,4.17
2018-04-03 02:00:56,23.69,2.78
2018-04-03 03:00:56,17.07,2.8
2018-04-03 04:00:56,13.19,2.67
2018-04-03 05:00:56,14.37,2.59
2018-04-03 06:00:56,17.49,2.74
2018-04-03 07:00:56,23.07,2.2
2018-04-03 08:00:56,20.87,2.49
2018-04-03 09:00:56,27.69,2.68
2018-04-03 10:00:56,21.81,3.26
2018-04-03 11:00:56,20.07,3.01
2018-04-03 12:00:56,16.56,3.28
2018-04-03 13:00:56,18.63,3.62
2018-04-03 14:00:56,18.87,3.46
2018-04-03 15:00:56,28.12,3.86
2018-04-03 16:00:56,31.89,3.57
2018-04-03 17:00:56,26.63,3.62
2018-04-03 18:00:56,24.07,2.83
2018-04-03 19:00:56,19.26,2.52
2018-04-03 20:00:56,16.74,2.48
2018-04-03 21:00:56,19.07,2.11
2018-04-03 22:00:56,15.0,2.7
2018-04-03 23:00:56,15.19,1.8
2018-04-04 00:00:56,14.72,1.8
2018-04-04 01:00:56,9.37,1.55
2018-04-04 02:00:56,10.81,1.73
2018-04-04 03:00:56,8.89,1.68
2018-04-04 04:00:56,4.19,1.67
2018-04-04 05:00:56,5.93,1.74
2018-04-04 06:00:56,10.0,2.03
2018-04-04 07:00:56,11.3,2.58
2018-04-04 08:00:56,16.63,2.36
2018-04-04 09:00:56,14.81,2.3
2018-04-04 10:00:56,13.81,1.72
2018-04-04 11:00:56,12.44,1.98
2018-04-04 12:00:56,9.26,0.0
2018-04-04 13:00:56,6.19,2.14
2018-04-04 14:00:56,7.0,1.67
2018-04-04 15:00:56,7.0,1.98
2018-04-04 16:00:56,7.19,2.12
2018-04-04 17:00:56,7.81,2.03
2018-04-04 18:00:56,8.88,2.45
2018-04-04 19:00:56,17.38,2.99
2018-04-04 20:00:56,22.01,4.57
2018-04-04 21:00:56,35.38,4.27
2018-04-04 22:00:56,37.38,4.33
2018-04-04 23:00:56,41.18,5.91
2018-04-05 00:00:56,47.01,3.62
2018-04-05 01:00:56,26.08,1.46
2018-04-05 02:00:56,13.18,2.47
2018-04-05 03:00:56,16.38,3.47
2018-04-05 04:00:56,25.53,1.87
2018-04-05 05:00:56,18.82,1.88
2018-04-05 06:00:56,18.0,1.67
2018-04-05 07:00:56,18.18,2.14
2018-04-05 08:00:56,19.55,4.21
2018-04-05 09:00:56,22.92,7.64
2018-04-05 10:00:56,26.82,3.84
2018-04-05 11:00:56,24.71,2.41
2018-04-05 12:00:56,18.08,2.16
2018-04-05 13:00:56,14.92,3.01
2018-04-05 14:00:56,18.82,6.18
2018-04-05 15:00:56,18.55,12.45
2018-04-05 16:00:56,21.37,12.15
2018-04-05 17:00:56,22.44,11.76
2018-04-05 18:00:56,18.52,9.32
2018-04-05 19:00:56,14.96,8.3
2018-04-05 20:00:56,32.57,10.99
2018-04-05 21:00:56,56.86,11.33
2018-04-05 22:00:56,67.2,11.01
2018-04-05 23:00:56,39.57,10.16
2018-04-06 00:00:56,48.09,6.22
2018-04-06 01:00:56,34.45,5.93
2018-04-06 02:00:56,31.82,7.09
2018-04-06 03:00:56,28.61,4.35
2018-04-06 04:00:56,17.27,4.56
2018-04-06 05:00:56,14.55,4.0
2018-04-06 06:00:56,16.08,3.37
2018-04-06 07:00:56,12.74,3.2
2018-04-06 08:00:56,18.02,4.17
2018-04-06 09:00:56,28.47,6.19
2018-04-06 10:00:56,35.18,12.4
2018-04-06 11:00:56,33.61,5.68
2018-04-06 12:00:56,24.1,5.33
2018-04-06 13:00:56,29.0,6.03
2018-04-06 14:00:56,26.64,5.79
2018-04-06 15:00:56,14.72,6.6
2018-04-06 16:00:56,10.83,5.22
2018-04-06 17:00:56,17.17,4.03
2018-04-06 18:00:56,9.18,3.82
2018-04-06 19:00:56,11.46,3.94
2018-04-06 20:00:56,31.54,10.2
2018-04-06 21:00:56,82.25,6.31
2018-04-06 22:00:56,42.84,9.25
2018-04-06 23:00:56,57.62,11.15
2018-04-07 00:00:56,45.92,10.31
2018-04-07 01:00:56,41.37,5.43
2018-04-07 02:00:56,39.89,3.78
2018-04-07 03:00:56,23.99,3.22
2018-04-07 04:00:56,15.55,3.41
2018-04-07 05:00:56,18.0,3.64
2018-04-07 06:00:56,18.18,3.1
2018-04-07 07:00:56,19.18,3.92
2018-04-07 08:00:56,21.28,5.29
2018-04-07 09:00:56,30.66,10.63
2018-04-07 10:00:56,44.26,6.41
2018-04-07 11:00:56,29.8,4.08
2018-04-07 12:00:56,22.03,4.16
2018-04-07 13:00:56,29.54,4.04
2018-04-07 14:00:56,21.52,4.22
2018-04-07 15:00:56,17.78,10.69
2018-04-07 16:00:56,29.81,10.81
2018-04-07 17:00:56,29.74,10.83
2018-04-07 18:00:56,31.7,9.55
2018-04-07 19:00:56,27.11,8.9
2018-04-07 20:00:56,36.63,10.16
2018-04-07 21:00:56,62.74,11.16
2018-04-07 22:00:56,81.7,7.67
2018-04-07 23:00:56,52.33,6.31
2018-04-08 00:00:56,45.91,6.0
2018-04-08 01:00:56,52.59,8.35
2018-04-08 02:00:56,59.92,6.7
2018-04-08 03:00:56,38.29,5.76
2018-04-08 04:00:56,22.0,4.41
2018-04-08 05:00:56,21.25,4.1
2018-04-08 06:00:56,19.3,4.64
2018-04-08 07:00:56,24.81,4.85
2018-04-08 08:00:56,25.11,5.78
2018-04-08 09:00:56,28.33,5.57
2018-04-08 10:00:56,22.67,6.47
2018-04-08 11:00:56,30.74,6.2
2018-04-08 12:00:56,33.26,6.45
2018-04-08 13:00:56,28.52,7.13
2018-04-08 14:00:56,22.73,9.08
2018-04-08 15:00:56,26.19,11.79
2018-04-08 16:00:56,26.63,11.37
2018-04-08 17:00:56,24.81,11.26
2018-04-08 18:00:56,24.56,10.58
2018-04-08 19:00:56,28.48,9.15
2018-04-08 20:00:56,38.71,11.44
2018-04-08 21:00:56,57.96,9.19
2018-04-08 22:00:56,69.33,8.64
2018-04-08 23:00:56,62.37,8.6
2018-04-09 00:00:56,62.36,6.58
2018-04-09 01:00:56,52.44,4.83
2018-04-09 02:00:56,40.63,4.38
2018-04-09 03:00:56,36.42,3.14
2018-04-09 04:00:56,24.63,2.9
2018-04-09 05:00:56,23.0,3.2
