Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-22 16:00:56,10.35,5.73,17.4,22.88,118.87
2022-03-22 17:00:56,9.55,6.24,25.11,31.87,113.03
2022-03-22 18:00:56,12.2,7.1,26.71,30.86,111.88
2022-03-22 19:00:56,14.0,8.44,36.23,39.86,97.59
2022-03-22 20:00:56,11.25,9.29,38.11,42.52,94.0
2022-03-22 21:00:56,15.61,15.05,68.14,74.82,61.31
2022-03-22 22:00:56,20.45,18.81,79.4,86.63,46.21
2022-03-22 23:00:56,20.0,16.81,56.65,61.8,69.56
2022-03-23 00:00:56,21.63,15.56,59.88,65.17,63.02
2022-03-23 01:00:56,20.81,14.19,60.99,66.16,52.96
2022-03-23 02:00:56,21.75,11.06,42.79,46.3,73.15
2022-03-23 03:00:56,19.06,7.79,28.27,31.18,85.44
2022-03-23 04:00:56,13.9,6.88,34.06,36.93,75.49
2022-03-23 05:00:56,12.45,6.78,23.63,26.44,86.7
2022-03-23 06:00:56,12.55,7.36,14.91,17.77,95.53
2022-03-23 07:00:56,11.35,6.87,8.02,10.98,103.16
2022-03-23 08:00:56,10.0,6.68,15.46,19.66,95.7
2022-03-23 09:00:56,14.48,12.38,20.49,27.31,94.29
2022-03-23 10:00:56,13.59,10.56,17.07,23.78,102.09
2022-03-23 11:00:56,8.9,6.36,13.14,18.62,105.4
2022-03-23 12:00:56,7.45,5.94,14.49,20.53,105.24
2022-03-23 13:00:56,7.0,5.56,16.32,22.74,104.33
2022-03-23 14:00:56,7.55,6.36,12.32,17.7,105.49
2022-03-23 15:00:56,9.65,7.38,15.57,22.04,101.15
2022-03-23 16:00:56,10.45,6.57,15.08,21.09,100.79
2022-03-23 17:00:56,7.25,5.34,16.47,22.89,96.49
2022-03-23 18:00:56,3.9,4.37,17.18,22.7,93.76
2022-03-23 19:00:56,4.1,4.24,21.11,26.06,87.8
2022-03-23 20:00:56,5.0,5.19,21.56,27.14,85.95
2022-03-23 21:00:56,6.65,6.62,22.44,26.21,84.07
2022-03-23 22:00:56,9.65,6.25,18.61,22.14,88.57
2022-03-23 23:00:56,10.45,4.9,24.42,27.82,80.29
2022-03-24 00:00:56,9.45,3.64,21.7,24.69,76.92
2022-03-24 01:00:56,6.8,4.03,23.34,26.31,76.0
2022-03-24 02:00:56,0.0,0.0,0.0,0.0,0.0
