Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,10.45,6.57,15.08,21.09,100.79
2022-03-23 17:00:56,7.25,5.34,16.47,22.89,96.49
2022-03-23 18:00:56,3.9,4.37,17.18,22.7,93.76
2022-03-23 19:00:56,4.1,4.24,21.11,26.06,87.8
2022-03-23 20:00:56,5.0,5.19,21.56,27.14,85.95
2022-03-23 21:00:56,6.65,6.62,22.44,26.21,84.07
2022-03-23 22:00:56,9.65,6.25,18.61,22.14,88.57
2022-03-23 23:00:56,10.45,4.9,24.42,27.82,80.29
2022-03-24 00:00:56,9.45,3.64,21.7,24.69,76.92
2022-03-24 01:00:56,6.8,4.03,23.34,26.31,76.0
2022-03-24 02:00:56,6.65,3.24,15.48,18.24,83.03
2022-03-24 03:00:56,6.91,3.2,13.58,16.12,94.65
2022-03-24 04:00:56,4.35,2.88,10.75,13.34,99.73
2022-03-24 05:00:56,3.0,2.73,11.94,14.69,94.93
2022-03-24 06:00:56,1.91,2.41,12.87,15.3,90.47
2022-03-24 07:00:56,3.21,2.67,11.42,14.05,96.58
2022-03-24 08:00:56,7.76,3.61,13.97,17.69,96.8
2022-03-24 09:00:56,10.0,4.81,15.78,20.81,97.6
2022-03-24 10:00:56,11.65,7.01,13.7,19.06,102.26
2022-03-24 11:00:56,0.0,0.0,0.0,0.0,0.0
