Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,49.595,0.0,4.235,0.0,6.29,7.22,0.0
2018-03-29 01:00:56,43.1,0.0,3.835,0.0,4.605,5.07,0.0
2018-03-29 02:00:56,27.645,0.0,3.215,0.0,4.27,4.9,0.0
2018-03-29 03:00:56,21.4,0.0,2.955,0.0,4.065,4.525,0.0
2018-03-29 04:00:56,18.68,0.0,3.0999999999999996,0.0,4.305,4.685,0.0
2018-03-29 05:00:56,15.43,0.0,2.915,0.0,4.235,4.42,0.0
2018-03-29 06:00:56,13.23,0.0,2.645,0.0,3.47,3.75,0.0
2018-03-29 07:00:56,6.725,0.0,2.395,0.0,2.24,2.415,0.0
2018-03-29 08:00:56,7.075,0.0,2.455,0.0,2.005,2.265,0.0
2018-03-29 09:00:56,7.85,0.0,2.535,0.0,4.145,5.16,0.0
2018-03-29 10:00:56,8.004999999999999,0.0,2.1399999999999997,0.0,4.67,6.1,0.0
2018-03-29 11:00:56,12.094999999999999,0.0,2.43,0.0,4.77,5.97,0.0
2018-03-29 12:00:56,13.885000000000002,0.0,2.33,0.0,4.7,5.92,0.0
2018-03-29 13:00:56,11.645,0.0,2.185,0.0,4.7,6.005,0.0
2018-03-29 14:00:56,11.695,0.0,2.1550000000000002,0.0,6.25,8.155,0.0
2018-03-29 15:00:56,11.635,0.0,2.2,0.0,7.01,9.12,0.0
2018-03-29 16:00:56,13.794999999999998,0.0,2.645,0.0,6.675,8.445,0.0
2018-03-29 17:00:56,12.355,0.0,2.34,0.0,9.075,11.415,0.0
2018-03-29 18:00:56,11.95,0.0,2.445,0.0,7.035,8.765,0.0
2018-03-29 19:00:56,11.895,0.0,2.52,0.0,9.11,11.605,0.0
2018-03-29 20:00:56,19.0,0.0,2.4299999999999997,0.0,11.875,15.79,0.0
2018-03-29 21:00:56,27.58,0.0,2.185,0.0,8.915,11.185,0.0
2018-03-29 22:00:56,22.884999999999998,0.0,1.97,0.0,6.865,8.35,0.0
2018-03-29 23:00:56,22.75,0.0,1.795,0.0,7.4,8.795,0.0
2018-03-30 00:00:56,27.064999999999998,0.0,1.995,0.0,6.505,7.75,0.0
2018-03-30 01:00:56,29.52,0.0,1.9700000000000002,0.0,9.46,11.535,0.0
2018-03-30 02:00:56,37.935,0.0,2.21,0.0,9.225,11.675,0.0
2018-03-30 03:00:56,31.53,0.0,2.01,0.0,5.735,6.39,0.0
2018-03-30 04:00:56,30.165,0.0,2.185,0.0,8.41,8.96,0.0
