Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-22 16:00:56,29.07,10.75,33.01,47.28,67.71,42.27
2022-03-22 17:00:56,28.79,9.75,32.48,42.79,61.47,46.3
2022-03-22 18:00:56,31.36,10.5,33.17,51.44,70.4,44.19
2022-03-22 19:00:56,39.85,11.0,33.25,60.69,79.46,40.46
2022-03-22 20:00:56,46.72,17.74,33.19,64.72,81.29,37.46
2022-03-22 21:00:56,44.07,21.5,34.06,54.69,70.79,41.22
2022-03-22 22:00:56,35.14,18.25,33.67,49.61,66.07,42.22
2022-03-22 23:00:56,28.29,17.0,33.85,47.29,63.52,41.91
2022-03-23 00:00:56,23.86,15.5,33.5,45.84,61.79,44.21
2022-03-23 01:00:56,25.41,12.7,33.55,43.97,59.7,45.85
2022-03-23 02:00:56,22.07,12.0,32.17,40.97,56.28,45.03
2022-03-23 03:00:56,18.64,11.25,32.03,42.03,57.23,44.56
2022-03-23 04:00:56,21.14,11.0,32.08,0.0,0.0,44.84
2022-03-23 05:00:56,17.28,10.26,32.17,39.0,54.12,44.8
2022-03-23 06:00:56,14.43,8.51,31.73,41.5,56.72,0.0
2022-03-23 07:00:56,14.78,7.26,31.46,47.15,62.96,0.0
2022-03-23 08:00:56,18.92,8.49,32.48,53.81,71.13,0.0
2022-03-23 09:00:56,19.21,11.97,33.1,51.5,69.58,0.0
2022-03-23 10:00:56,22.94,13.0,34.35,40.97,58.34,0.0
2022-03-23 11:00:56,31.98,14.5,34.32,42.41,61.12,0.0
2022-03-23 12:00:56,34.23,14.9,35.45,44.16,62.63,0.0
2022-03-23 13:00:56,40.63,12.07,34.95,42.9,61.4,49.88
2022-03-23 14:00:56,29.16,13.9,34.08,39.01,56.35,50.59
2022-03-23 15:00:56,34.56,11.0,33.28,43.67,62.36,50.92
2022-03-23 16:00:56,51.93,11.13,33.48,47.65,65.85,48.84
2022-03-23 17:00:56,49.64,14.83,33.12,44.48,62.41,47.83
2022-03-23 18:00:56,38.67,10.0,31.92,47.7,65.29,41.6
2022-03-23 19:00:56,28.58,9.87,32.61,46.67,63.62,40.21
2022-03-23 20:00:56,16.1,6.03,32.58,45.92,61.88,41.45
2022-03-23 21:00:56,18.87,6.97,32.31,46.21,62.2,40.52
2022-03-23 22:00:56,14.97,5.94,31.64,38.94,54.1,42.45
2022-03-23 23:00:56,13.93,3.87,31.38,41.66,57.22,40.51
2022-03-24 00:00:56,12.03,0.09,31.36,39.85,55.31,39.21
2022-03-24 01:00:56,13.1,3.03,30.89,37.57,52.96,40.36
2022-03-24 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
