Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-22 16:00:56,22.12,6.12,16.5,0.0,10.86,14.57,45.77
2022-03-22 17:00:56,20.53,6.88,16.89,0.0,15.59,23.81,44.17
2022-03-22 18:00:56,17.97,8.48,16.47,0.0,17.83,23.72,43.66
2022-03-22 19:00:56,14.63,9.71,16.35,0.0,39.08,58.55,33.15
2022-03-22 20:00:56,15.84,11.55,16.0,0.0,47.33,54.93,25.17
2022-03-22 21:00:56,22.76,17.36,16.4,0.0,32.81,37.97,37.56
2022-03-22 22:00:56,30.85,22.21,15.95,0.0,39.05,44.02,32.39
2022-03-22 23:00:56,33.49,24.26,16.81,0.0,48.79,59.9,25.48
2022-03-23 00:00:56,44.7,34.28,16.89,0.0,62.71,96.69,18.04
2022-03-23 01:00:56,44.12,31.05,16.13,0.0,45.99,51.86,24.67
2022-03-23 02:00:56,35.2,24.71,17.3,0.0,45.11,50.43,25.79
2022-03-23 03:00:56,35.51,23.19,15.91,0.0,34.38,36.77,29.82
2022-03-23 04:00:56,33.29,19.14,16.7,0.0,31.94,33.52,35.16
2022-03-23 05:00:56,29.32,19.21,16.1,0.0,14.12,14.34,47.0
2022-03-23 06:00:56,22.7,11.36,15.76,0.0,0.0,0.0,52.36
2022-03-23 07:00:56,19.92,5.58,15.78,0.0,11.0,11.94,51.31
2022-03-23 08:00:56,17.46,6.32,15.87,0.0,29.2,46.88,46.4
2022-03-23 09:00:56,18.92,10.73,17.9,0.0,16.98,22.48,51.84
2022-03-23 10:00:56,21.31,13.53,18.15,0.0,11.5,15.27,53.73
2022-03-23 11:00:56,19.3,10.5,18.42,0.0,20.58,31.11,50.18
2022-03-23 12:00:56,29.21,12.95,19.38,0.0,9.24,12.56,52.71
2022-03-23 13:00:56,29.22,10.84,17.75,0.0,9.55,12.88,53.83
2022-03-23 14:00:56,20.52,5.32,17.8,0.0,9.72,13.1,55.09
2022-03-23 15:00:56,22.72,7.04,17.07,0.0,12.73,16.64,54.95
2022-03-23 16:00:56,22.91,9.94,16.68,0.0,11.22,13.86,56.76
2022-03-23 17:00:56,23.88,13.56,16.11,0.0,14.73,19.01,54.76
2022-03-23 18:00:56,22.37,13.85,16.71,0.0,10.17,12.64,54.4
2022-03-23 19:00:56,17.39,9.89,15.6,0.0,11.18,13.4,50.39
2022-03-23 20:00:56,15.44,8.21,15.49,0.0,14.26,18.26,45.36
2022-03-23 21:00:56,16.98,9.17,15.1,0.0,10.31,12.62,47.93
2022-03-23 22:00:56,16.17,6.88,14.77,0.0,8.63,9.47,47.85
2022-03-23 23:00:56,12.71,3.79,14.9,0.0,8.24,9.22,47.64
2022-03-24 00:00:56,12.85,3.36,10.42,0.0,13.66,15.33,43.47
2022-03-24 01:00:56,13.07,4.8,15.29,0.0,0.0,0.0,45.21
2022-03-24 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
