Date,PM10 ( µg/m3 ),SO2 ( µg/m3 )
2022-03-23 16:00:56,35.09,27.0
2022-03-23 17:00:56,37.85,26.48
2022-03-23 18:00:56,38.3,25.89
2022-03-23 19:00:56,207.85,24.91
2022-03-23 20:00:56,45.51,24.28
2022-03-23 21:00:56,285.22,22.44
2022-03-23 22:00:56,31.24,22.05
2022-03-23 23:00:56,103.29,21.63
2022-03-24 00:00:56,53.1,20.95
2022-03-24 01:00:56,256.64,20.12
2022-03-24 02:00:56,333.37,19.54
2022-03-24 03:00:56,16.27,20.07
2022-03-24 04:00:56,28.8,20.2
2022-03-24 05:00:56,157.48,19.12
2022-03-24 06:00:56,268.17,18.18
2022-03-24 07:00:56,138.52,17.15
2022-03-24 08:00:56,29.24,17.19
2022-03-24 09:00:56,203.65,16.48
2022-03-24 10:00:56,253.64,16.11
2022-03-24 11:00:56,0.0,0.0
