Date,PM10 ( µg/m3 ),SO2 ( µg/m3 )
2022-03-22 16:00:56,32.22,22.37
2022-03-22 17:00:56,39.28,24.08
2022-03-22 18:00:56,48.0,24.29
2022-03-22 19:00:56,47.85,24.97
2022-03-22 20:00:56,43.03,24.99
2022-03-22 21:00:56,44.06,24.6
2022-03-22 22:00:56,45.41,23.96
2022-03-22 23:00:56,27.12,24.15
2022-03-23 00:00:56,30.76,22.66
2022-03-23 01:00:56,23.62,22.17
2022-03-23 02:00:56,42.6,21.89
2022-03-23 03:00:56,29.72,21.58
2022-03-23 04:00:56,21.28,21.83
2022-03-23 05:00:56,29.91,21.92
2022-03-23 06:00:56,26.72,21.76
2022-03-23 07:00:56,18.43,21.84
2022-03-23 08:00:56,32.25,21.71
2022-03-23 09:00:56,39.85,21.47
2022-03-23 10:00:56,35.03,21.73
2022-03-23 11:00:56,35.97,22.54
2022-03-23 12:00:56,34.91,24.81
2022-03-23 13:00:56,32.24,25.95
2022-03-23 14:00:56,39.76,26.7
2022-03-23 15:00:56,32.09,27.07
2022-03-23 16:00:56,35.09,27.0
2022-03-23 17:00:56,37.85,26.48
2022-03-23 18:00:56,38.3,25.89
2022-03-23 19:00:56,207.85,24.91
2022-03-23 20:00:56,45.51,24.28
2022-03-23 21:00:56,285.22,22.44
2022-03-23 22:00:56,31.24,22.05
2022-03-23 23:00:56,103.29,21.63
2022-03-24 00:00:56,53.1,20.95
2022-03-24 01:00:56,256.64,20.12
2022-03-24 02:00:56,0.0,0.0
