Date,PM10 ( µg/m3 ),SO2 ( µg/m3 )
2022-03-22 16:00:56,24.17,12.69
2022-03-22 17:00:56,20.07,14.12
2022-03-22 18:00:56,30.8,16.39
2022-03-22 19:00:56,15.29,24.84
2022-03-22 20:00:56,17.94,34.44
2022-03-22 21:00:56,53.34,32.3
2022-03-22 22:00:56,42.22,21.47
2022-03-22 23:00:56,28.26,18.57
2022-03-23 00:00:56,24.07,17.69
2022-03-23 01:00:56,24.98,16.98
2022-03-23 02:00:56,26.96,16.63
2022-03-23 03:00:56,27.0,16.27
2022-03-23 04:00:56,28.96,14.76
2022-03-23 05:00:56,27.04,14.78
2022-03-23 06:00:56,17.18,13.73
2022-03-23 07:00:56,9.15,13.11
2022-03-23 08:00:56,5.07,17.14
2022-03-23 09:00:56,14.82,28.28
2022-03-23 10:00:56,48.37,37.88
2022-03-23 11:00:56,80.41,36.19
2022-03-23 12:00:56,95.72,43.59
2022-03-23 13:00:56,42.99,26.72
2022-03-23 14:00:56,15.5,21.95
2022-03-23 15:00:56,17.94,21.77
2022-03-23 16:00:56,24.87,21.06
2022-03-23 17:00:56,15.18,24.61
2022-03-23 18:00:56,30.71,24.35
2022-03-23 19:00:56,20.2,38.39
2022-03-23 20:00:56,23.93,46.04
2022-03-23 21:00:56,36.76,42.99
2022-03-23 22:00:56,23.26,28.67
2022-03-23 23:00:56,0.0,0.0
2022-03-24 00:00:56,0.0,0.0
2022-03-24 01:00:56,0.0,0.0
2022-03-24 02:00:56,0.0,0.0
