Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-02-21 16:00:56,75.65,28.23,16.87,0.0,24.77,37.9,0.0
2022-02-21 17:00:56,59.92,22.29,14.78,0.0,23.54,36.71,0.0
2022-02-21 18:00:56,57.96,18.97,14.82,0.0,32.08,50.52,0.0
2022-02-21 19:00:56,56.68,14.11,14.68,0.0,44.6,70.61,0.0
2022-02-21 20:00:56,48.38,10.58,24.68,128.22,80.69,104.31,0.0
2022-02-21 21:00:56,58.18,11.29,23.13,887.88,185.97,330.67,0.0
2022-02-21 22:00:56,99.68,18.48,21.41,1640.29,228.62,457.91,0.0
2022-02-21 23:00:56,133.68,27.32,19.7,1133.04,162.39,306.75,0.0
2022-02-22 00:00:56,135.43,32.76,18.71,1191.86,126.63,228.61,0.0
2022-02-22 01:00:56,133.18,35.56,16.86,1378.93,137.18,268.38,0.0
2022-02-22 02:00:56,128.39,41.77,16.8,538.13,99.61,182.41,0.0
2022-02-22 03:00:56,114.01,40.15,17.44,263.55,84.11,141.99,0.0
2022-02-22 04:00:56,102.04,35.32,17.45,257.31,88.03,152.19,0.0
2022-02-22 05:00:56,98.07,41.64,15.55,346.36,78.54,134.53,0.0
2022-02-22 06:00:56,89.64,43.12,16.76,115.69,53.54,78.42,0.0
2022-02-22 07:00:56,84.53,42.89,19.34,0.0,56.75,85.65,0.0
2022-02-22 08:00:56,86.52,43.18,16.18,450.87,78.9,143.15,0.0
2022-02-22 09:00:56,85.81,42.79,17.83,929.53,164.26,368.57,0.0
2022-02-22 10:00:56,96.05,46.59,18.15,1156.0,151.69,335.81,0.0
2022-02-22 11:00:56,106.19,44.91,19.5,631.11,108.75,214.8,0.0
2022-02-22 12:00:56,107.53,42.18,26.61,1287.53,147.82,286.0,0.0
2022-02-22 13:00:56,120.72,49.33,35.08,1016.61,150.73,279.1,0.0
2022-02-22 14:00:56,128.46,65.58,33.43,674.33,135.67,237.92,0.0
2022-02-22 15:00:56,127.29,67.36,29.68,0.0,55.69,80.01,0.0
2022-02-22 16:00:56,114.62,52.78,25.98,0.0,30.53,45.66,0.0
2022-02-22 17:00:56,97.31,36.46,23.89,0.0,63.85,111.38,0.0
2022-02-22 18:00:56,75.25,28.57,20.51,0.0,48.52,74.85,0.0
2022-02-22 19:00:56,76.41,23.94,20.77,635.75,93.92,156.25,0.0
2022-02-22 20:00:56,86.49,18.74,20.87,691.08,88.13,142.06,0.0
2022-02-22 21:00:56,94.26,18.98,21.23,971.21,114.5,182.7,0.0
2022-02-22 22:00:56,96.71,24.57,20.07,1342.02,142.46,264.14,0.0
2022-02-22 23:00:56,102.33,29.46,19.72,1480.47,153.64,293.95,0.0
2022-02-23 00:00:56,113.65,33.57,20.01,1592.79,150.74,297.05,0.0
2022-02-23 01:00:56,115.15,33.85,20.32,1469.39,139.09,270.85,0.0
2022-02-23 02:00:56,108.17,26.76,18.73,1025.63,99.2,183.38,0.0
2022-02-23 03:00:56,110.42,27.13,19.54,1100.5,96.8,169.55,0.0
