Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-22 16:00:56,98.95,0.0,7.14,419.93,64.15,92.48,0.0
2022-03-22 17:00:56,56.58,0.0,7.16,410.39,63.43,91.83,0.0
2022-03-22 18:00:56,63.68,0.0,7.11,430.49,63.85,92.05,0.0
2022-03-22 19:00:56,35.05,0.0,7.12,463.98,62.9,91.14,0.0
2022-03-22 20:00:56,41.72,0.0,6.78,460.39,59.6,86.51,0.0
2022-03-22 21:00:56,31.39,0.0,6.63,488.88,57.18,83.48,0.0
2022-03-22 22:00:56,33.89,0.0,5.72,470.29,52.92,75.61,0.0
2022-03-22 23:00:56,37.86,0.0,6.02,485.71,60.68,84.57,0.0
2022-03-23 00:00:56,48.61,0.0,6.51,479.75,63.91,89.72,0.0
2022-03-23 01:00:56,43.21,0.0,5.58,487.17,57.32,79.46,0.0
2022-03-23 02:00:56,42.04,0.0,6.1,473.63,55.9,80.11,0.0
2022-03-23 03:00:56,36.21,0.0,6.49,465.85,54.69,80.43,0.0
2022-03-23 04:00:56,42.75,0.0,6.84,474.2,59.03,86.16,0.0
2022-03-23 05:00:56,34.32,0.0,6.93,453.22,57.57,85.06,0.0
2022-03-23 06:00:56,34.0,0.0,6.47,449.28,56.7,82.38,0.0
2022-03-23 07:00:56,40.75,0.0,6.51,453.11,56.47,82.29,0.0
2022-03-23 08:00:56,47.75,0.0,6.4,457.49,56.15,81.54,0.0
2022-03-23 09:00:56,32.56,0.0,7.09,467.94,59.84,87.97,0.0
2022-03-23 10:00:56,33.93,0.0,6.92,423.49,58.0,85.47,0.0
2022-03-23 11:00:56,37.86,1000.0,7.03,418.04,59.41,87.29,0.0
2022-03-23 12:00:56,36.07,1000.0,7.16,409.06,64.28,92.7,0.0
2022-03-23 13:00:56,41.79,1000.0,7.2,425.99,63.26,91.81,0.0
2022-03-23 14:00:56,51.65,1000.0,7.33,436.25,63.55,92.61,0.0
2022-03-23 15:00:56,49.11,1000.0,6.89,448.34,63.3,90.64,0.0
2022-03-23 16:00:56,52.86,1000.0,7.13,444.9,61.98,90.26,0.0
2022-03-23 17:00:56,51.07,1000.0,7.09,421.62,63.21,91.35,0.0
2022-03-23 18:00:56,41.35,1000.0,7.13,452.08,62.49,90.76,0.0
2022-03-23 19:00:56,53.54,1000.0,7.12,443.35,63.28,91.53,0.0
2022-03-23 20:00:56,45.32,1000.0,7.08,443.69,63.64,91.72,0.0
2022-03-23 21:00:56,36.32,1000.0,7.22,462.35,63.82,92.45,0.0
2022-03-23 22:00:56,17.67,1000.0,6.99,470.16,62.57,90.31,0.0
2022-03-23 23:00:56,24.72,1000.0,7.12,439.15,62.1,90.34,0.0
2022-03-24 00:00:56,21.14,1000.0,7.06,435.89,60.79,88.78,0.0
2022-03-24 01:00:56,28.72,1000.0,7.28,425.35,61.81,90.7,0.0
2022-03-24 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
