Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-09-04 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-04 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-04 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-04 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-04 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-04 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-04 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-04 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-04 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-04 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-04 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-04 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-04 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-04 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-04 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-04 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-04 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-04 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-04 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-06 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-06 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-06 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-06 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-06 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-06 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-06 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-06 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-06 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-06 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-06 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-06 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-06 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-06 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-06 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-06 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-06 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-06 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-06 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-06 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-06 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-06 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-06 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-06 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-07 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-07 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-07 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-07 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-07 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-07 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-07 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-07 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-07 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-07 09:00:56,0.0,0.0,0.44,601.65,48.07,55.16,0.0
2018-09-07 10:00:56,0.0,0.0,5.5,666.65,66.54,78.41,0.0
2018-09-07 11:00:56,0.0,0.0,5.02,789.07,74.39,112.03,0.0
2018-09-07 12:00:56,0.0,0.0,1.76,967.95,96.38,190.99,0.0
2018-09-07 13:00:56,0.0,0.0,1.4,926.62,85.93,182.18,0.0
2018-09-07 14:00:56,0.0,0.0,1.24,892.19,82.0,184.13,0.0
2018-09-07 15:00:56,0.0,0.0,0.98,706.95,70.06,133.09,0.0
2018-09-07 16:00:56,0.0,0.0,0.9,599.7,54.46,102.87,0.0
2018-09-07 17:00:56,0.0,0.0,0.8,550.66,43.57,76.33,0.0
2018-09-07 18:00:56,0.0,0.0,0.9,348.41,34.99,60.34,0.0
2018-09-07 19:00:56,0.0,0.0,0.71,231.53,28.73,38.34,0.0
2018-09-07 20:00:56,0.0,0.0,0.56,248.86,32.02,52.52,0.0
2018-09-07 21:00:56,0.0,0.0,0.51,220.3,29.5,53.05,0.0
2018-09-07 22:00:56,0.0,0.0,0.7,249.58,35.41,88.75,0.0
2018-09-07 23:00:56,0.0,0.0,0.92,391.22,37.88,93.2,0.0
2018-09-08 00:00:56,0.0,0.0,1.03,281.38,30.94,65.48,0.0
2018-09-08 01:00:56,0.0,0.0,1.42,253.44,38.13,66.4,0.0
2018-09-08 02:00:56,0.0,0.0,3.01,332.2,33.41,52.17,0.0
2018-09-08 03:00:56,0.0,0.0,1.64,211.5,27.01,45.21,0.0
2018-09-08 04:00:56,0.0,0.0,1.35,315.79,26.18,39.79,0.0
2018-09-08 05:00:56,0.0,0.0,0.87,413.72,27.77,43.14,0.0
2018-09-08 06:00:56,0.0,0.0,0.97,436.45,31.83,51.67,0.0
2018-09-08 07:00:56,0.0,0.0,1.13,428.0,36.87,56.24,0.0
2018-09-08 08:00:56,0.0,0.0,1.56,1107.91,37.78,49.65,0.0
2018-09-08 09:00:56,0.0,0.0,1.14,736.52,37.41,45.31,0.0
2018-09-08 10:00:56,0.0,0.0,1.18,1218.07,80.64,107.14,0.0
2018-09-08 11:00:56,0.0,0.0,1.14,620.16,71.05,82.34,0.0
2018-09-08 12:00:56,0.0,0.0,1.36,829.5,88.96,160.91,0.0
2018-09-08 13:00:56,0.0,0.0,2.26,714.58,79.03,138.8,0.0
2018-09-08 14:00:56,0.0,0.0,1.94,753.75,80.87,158.47,0.0
2018-09-08 15:00:56,0.0,0.0,1.6,776.54,78.06,179.38,0.0
2018-09-08 16:00:56,0.0,0.0,3.32,474.48,71.52,131.35,0.0
2018-09-08 17:00:56,0.0,0.0,1.97,364.57,50.5,81.28,0.0
2018-09-08 18:00:56,0.0,0.0,2.19,212.26,35.89,58.9,0.0
2018-09-08 19:00:56,0.0,0.0,3.02,197.29,36.03,50.18,0.0
2018-09-08 20:00:56,0.0,0.0,5.9,91.94,44.98,59.25,0.0
2018-09-08 21:00:56,0.0,0.0,7.49,145.22,37.46,57.61,0.0
2018-09-08 22:00:56,0.0,0.0,8.96,106.47,28.87,42.96,0.0
2018-09-08 23:00:56,0.0,0.0,7.56,98.95,33.05,48.0,0.0
2018-09-09 00:00:56,0.0,0.0,3.65,110.22,31.03,42.43,0.0
2018-09-09 01:00:56,0.0,0.0,2.12,133.83,33.59,50.94,0.0
2018-09-09 02:00:56,0.0,0.0,1.55,298.35,28.61,39.44,0.0
2018-09-09 03:00:56,0.0,0.0,1.29,321.92,22.34,30.18,0.0
2018-09-09 04:00:56,0.0,0.0,1.35,368.43,24.92,36.26,0.0
2018-09-09 05:00:56,0.0,0.0,1.48,532.94,52.37,68.23,0.0
2018-09-09 06:00:56,0.0,0.0,1.34,403.06,39.25,51.14,0.0
2018-09-09 07:00:56,0.0,0.0,1.22,217.29,40.51,60.22,0.0
2018-09-09 08:00:56,0.0,0.0,1.11,451.93,30.77,36.59,0.0
2018-09-09 09:00:56,0.0,0.0,1.27,275.67,57.52,83.02,0.0
2018-09-09 10:00:56,0.0,0.0,1.76,1281.02,96.36,182.28,0.0
2018-09-09 11:00:56,0.0,0.0,1.82,876.3,88.41,188.14,0.0
2018-09-09 12:00:56,0.0,0.0,2.17,2573.5,87.6,206.06,0.0
2018-09-09 13:00:56,0.0,0.0,2.17,1112.51,71.8,192.91,0.0
2018-09-09 14:00:56,0.0,0.0,2.23,719.51,65.34,178.83,0.0
2018-09-09 15:00:56,0.0,0.0,1.9,425.06,58.93,138.04,0.0
2018-09-09 16:00:56,0.0,0.0,1.85,407.28,42.52,96.16,0.0
2018-09-09 17:00:56,0.0,0.0,8.15,113.96,35.86,58.83,0.0
2018-09-09 18:00:56,0.0,0.0,4.25,62.25,33.11,58.19,0.0
2018-09-09 19:00:56,0.0,0.0,3.49,73.21,32.72,62.16,0.0
2018-09-09 20:00:56,0.0,0.0,3.69,0.92,24.82,37.28,0.0
2018-09-09 21:00:56,0.0,0.0,4.24,0.0,23.39,42.73,0.0
2018-09-09 22:00:56,0.0,0.0,3.6,238.03,39.9,99.98,0.0
