Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,29.79,14.38,10.105,488.36,6.83,0.0,0.0
2022-03-23 17:00:56,32.79,18.11,11.195,0.0,8.745,0.0,0.0
2022-03-23 18:00:56,32.165,14.87,12.15,539.98,9.16,0.0,0.0
2022-03-23 19:00:56,37.980000000000004,15.17,14.255,591.07,10.615,0.0,0.0
2022-03-23 20:00:56,41.475,13.82,17.025,562.94,10.365,12.315,0.0
2022-03-23 21:00:56,32.32,0.0,18.25,0.0,11.415,0.0,0.0
2022-03-23 22:00:56,29.505,14.24,19.655,0.0,0.0,0.0,0.0
2022-03-23 23:00:56,40.144999999999996,17.49,22.32,1031.5,24.86,27.305,0.0
2022-03-24 00:00:56,54.66,21.7,22.505,902.28,21.24,0.0,0.0
2022-03-24 01:00:56,62.24,28.08,23.375,652.4,17.165,18.395,0.0
2022-03-24 02:00:56,67.685,0.0,21.45,0.0,14.735,0.0,0.0
2022-03-24 03:00:56,58.375,26.87,19.03,333.91,9.59,0.0,0.0
2022-03-24 04:00:56,47.8,25.12,17.575,318.3,8.365,8.755,0.0
2022-03-24 05:00:56,40.31,21.32,15.44,292.35,7.82,0.0,0.0
2022-03-24 06:00:56,29.185,20.03,13.745,413.28,10.01,0.0,0.0
2022-03-24 07:00:56,19.695,19.2,13.535,428.97,12.025,0.0,0.0
2022-03-24 08:00:56,14.754999999999999,15.82,16.455,488.3,17.41,0.0,0.0
2022-03-24 09:00:56,25.62,22.6,21.61,0.0,15.55,0.0,0.0
2022-03-24 10:00:56,61.05,21.91,19.08,0.0,10.235,0.0,0.0
2022-03-24 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
