Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,34.73,14.38,2.5,488.36,13.66,0.0,0.0
2022-03-23 17:00:56,32.68,18.11,3.23,0.0,17.49,0.0,0.0
2022-03-23 18:00:56,34.86,14.87,3.61,539.98,18.32,0.0,0.0
2022-03-23 19:00:56,45.7,15.17,6.44,591.07,21.23,0.0,0.0
2022-03-23 20:00:56,47.38,13.82,9.74,562.94,20.73,24.63,0.0
2022-03-23 21:00:56,41.73,0.0,9.86,0.0,22.83,0.0,0.0
2022-03-23 22:00:56,48.98,14.24,11.59,0.0,0.0,0.0,0.0
2022-03-23 23:00:56,53.73,17.49,18.27,1031.5,49.72,54.61,0.0
2022-03-24 00:00:56,56.54,21.7,19.58,902.28,42.48,0.0,0.0
2022-03-24 01:00:56,51.5,28.08,17.23,652.4,34.33,36.79,0.0
2022-03-24 02:00:56,51.22,0.0,11.26,0.0,29.47,0.0,0.0
2022-03-24 03:00:56,43.44,26.87,9.12,333.91,19.18,0.0,0.0
2022-03-24 04:00:56,39.51,25.12,8.2,318.3,16.73,17.51,0.0
2022-03-24 05:00:56,35.15,21.32,6.98,292.35,15.64,0.0,0.0
2022-03-24 06:00:56,27.58,20.03,8.77,413.28,20.02,0.0,0.0
2022-03-24 07:00:56,26.21,19.2,9.83,428.97,24.05,0.0,0.0
2022-03-24 08:00:56,22.84,15.82,10.29,488.3,34.82,0.0,0.0
2022-03-24 09:00:56,23.78,22.6,9.93,0.0,31.1,0.0,0.0
2022-03-24 10:00:56,43.48,21.91,8.68,0.0,20.47,0.0,0.0
2022-03-24 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
