Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2021-08-23 13:00:56,0.0,0.0,0.0,0.0
2021-08-23 14:00:56,0.0,0.0,0.0,0.0
2021-08-23 15:00:56,0.0,0.0,3.05,4.99
2021-08-23 16:00:56,29.56,0.0,2.81,4.49
2021-08-23 17:00:56,30.79,0.0,2.48,4.24
2021-08-23 18:00:56,33.0,0.0,2.66,5.15
2021-08-23 19:00:56,33.22,0.0,3.4,6.95
2021-08-23 20:00:56,35.72,0.0,3.49,8.32
2021-08-23 21:00:56,42.89,0.0,3.28,9.66
2021-08-23 22:00:56,54.88,0.0,3.72,11.44
2021-08-23 23:00:56,62.52,0.0,3.96,14.51
2021-08-24 00:00:56,72.61,0.0,5.31,21.82
2021-08-24 01:00:56,84.33,0.0,6.12,22.45
2021-08-24 02:00:56,71.88,0.0,4.67,14.59
2021-08-24 03:00:56,49.97,0.0,3.09,8.94
2021-08-24 04:00:56,37.57,0.0,2.53,6.82
2021-08-24 05:00:56,34.41,0.0,2.47,6.17
2021-08-24 06:00:56,33.15,0.0,2.54,5.85
2021-08-24 07:00:56,30.56,0.0,2.73,6.62
2021-08-24 08:00:56,31.92,0.0,3.82,9.87
2021-08-24 09:00:56,41.03,0.0,5.35,13.18
2021-08-24 10:00:56,53.04,0.0,4.87,11.57
2021-08-24 11:00:56,53.12,0.0,3.73,8.55
2021-08-24 12:00:56,53.64,0.0,3.39,6.58
2021-08-24 13:00:56,45.01,0.0,2.85,4.74
2021-08-24 14:00:56,38.28,0.0,2.48,4.17
2021-08-24 15:00:56,39.15,0.0,2.43,4.1
2021-08-24 16:00:56,32.26,0.0,2.39,4.07
2021-08-24 17:00:56,30.83,0.0,2.49,4.53
2021-08-24 18:00:56,33.9,0.0,2.53,4.9
2021-08-24 19:00:56,37.33,0.0,2.64,5.58
2021-08-24 20:00:56,40.02,0.0,3.03,6.75
2021-08-24 21:00:56,40.15,0.0,3.62,8.6
2021-08-24 22:00:56,41.85,0.0,3.68,9.57
2021-08-24 23:00:56,44.23,0.0,3.56,8.45
2021-08-25 00:00:56,41.93,0.0,4.16,9.06
2021-08-25 01:00:56,41.46,0.0,3.98,9.76
2021-08-25 02:00:56,40.82,0.0,3.0,8.3
2021-08-25 03:00:56,39.02,0.0,2.6,7.25
2021-08-25 04:00:56,34.58,0.0,2.61,7.14
2021-08-25 05:00:56,31.57,0.0,2.64,7.09
2021-08-25 06:00:56,32.05,0.0,2.64,6.9
2021-08-25 07:00:56,32.89,0.0,2.71,7.49
2021-08-25 08:00:56,37.59,0.0,3.34,9.47
2021-08-25 09:00:56,51.58,0.0,3.97,10.39
2021-08-25 10:00:56,59.36,0.0,4.14,10.11
2021-08-25 11:00:56,58.95,0.0,3.85,9.03
