Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,29.320000000000004,13.87,27.473333333333333,454.014,41.257999999999996,62.222,29.761666666666667
2022-03-23 17:00:56,27.68166666666667,8.171666666666667,24.515,422.246,39.775999999999996,58.174,28.790000000000003
2022-03-23 18:00:56,19.923333333333336,3.9333333333333336,23.22,442.698,43.338,62.674,23.776666666666667
2022-03-23 19:00:56,18.561666666666667,5.043333333333333,23.40833333333333,429.86199999999997,53.11,75.622,16.941666666666666
2022-03-23 20:00:56,22.735000000000003,10.983333333333334,24.64,445.38599999999997,49.716,75.964,24.513333333333332
2022-03-23 21:00:56,22.736666666666665,5.833333333333333,25.083333333333332,460.52799999999996,46.28,67.2,25.021666666666665
2022-03-23 22:00:56,26.516666666666666,6.7299999999999995,24.295,445.57,47.638,66.574,23.298333333333332
2022-03-23 23:00:56,27.825000000000003,6.698333333333333,23.99,429.762,45.010000000000005,61.94200000000001,22.338333333333335
2022-03-24 00:00:56,24.701666666666668,4.903333333333333,23.345,434.81800000000004,42.424,61.786,23.536666666666665
2022-03-24 01:00:56,26.224999999999998,6.3999999999999995,23.353333333333335,426.696,42.58,61.75,23.363333333333333
2022-03-24 02:00:56,26.105,3.7516666666666665,22.57166666666667,405.71799999999996,34.718,50.47,26.459999999999997
2022-03-24 03:00:56,23.19333333333333,5.508333333333333,23.291666666666668,393.106,31.136000000000003,43.976,29.265
2022-03-24 04:00:56,23.461666666666662,3.545,24.46666666666667,384.076,31.589999999999996,43.215999999999994,29.304999999999996
2022-03-24 05:00:56,27.03333333333333,3.8216666666666668,27.026666666666667,376.058,32.584,43.268,28.44
2022-03-24 06:00:56,30.116666666666664,2.861666666666667,31.150000000000002,369.40999999999997,34.398,45.868,28.17833333333333
2022-03-24 07:00:56,33.01166666666666,2.7216666666666662,30.088333333333335,367.03200000000004,36.602,50.434,23.915000000000003
2022-03-24 08:00:56,33.986666666666665,2.91,24.880000000000006,421.20200000000006,64.69800000000001,108.08,8.898333333333333
2022-03-24 09:00:56,40.419999999999995,6.626666666666666,31.291666666666668,476.662,71.138,145.908,7.218333333333334
2022-03-24 10:00:56,54.458333333333336,8.751666666666667,30.266666666666666,447.31000000000006,53.428,97.148,21.425
2022-03-24 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
