Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),O3 ( µg/m3 )
2022-03-22 16:00:56,28.28,13.21,43.56,8.76
2022-03-22 17:00:56,0.0,0.0,37.44,8.88
2022-03-22 18:00:56,0.0,0.0,32.38,8.68
2022-03-22 19:00:56,38.41,11.72,35.56,8.63
2022-03-22 20:00:56,36.08,14.12,35.36,9.1
2022-03-22 21:00:56,36.72,22.57,35.84,9.53
2022-03-22 22:00:56,53.86,25.39,37.43,9.29
2022-03-22 23:00:56,57.77,0.0,34.66,9.2
2022-03-23 00:00:56,22.16,0.0,34.54,9.54
2022-03-23 01:00:56,53.22,34.62,36.9,9.25
2022-03-23 02:00:56,51.05,41.28,35.17,9.27
2022-03-23 03:00:56,40.61,29.43,32.79,9.48
2022-03-23 04:00:56,47.23,35.16,31.88,9.35
2022-03-23 05:00:56,54.16,46.15,36.13,9.14
2022-03-23 06:00:56,40.58,27.89,32.05,9.36
2022-03-23 07:00:56,40.79,30.95,32.26,9.58
2022-03-23 08:00:56,54.3,44.01,35.29,9.72
2022-03-23 09:00:56,62.07,43.8,42.42,9.64
2022-03-23 10:00:56,86.25,56.56,43.91,9.67
2022-03-23 11:00:56,103.26,58.66,49.04,9.71
2022-03-23 12:00:56,109.2,78.69,45.94,9.75
2022-03-23 13:00:56,56.99,41.31,38.73,9.39
2022-03-23 14:00:56,27.41,20.24,47.44,9.52
2022-03-23 15:00:56,38.97,26.79,47.88,9.41
2022-03-23 16:00:56,37.77,19.87,41.78,8.96
2022-03-23 17:00:56,30.38,15.68,35.39,8.94
2022-03-23 18:00:56,12.32,5.97,34.14,9.2
2022-03-23 19:00:56,22.76,5.85,35.91,9.54
2022-03-23 20:00:56,45.7,33.39,38.22,9.35
2022-03-23 21:00:56,35.97,12.94,36.79,8.92
2022-03-23 22:00:56,34.97,11.0,36.27,8.98
2022-03-23 23:00:56,33.59,10.97,34.98,9.24
2022-03-24 00:00:56,22.13,9.97,35.51,9.43
2022-03-24 01:00:56,26.03,8.96,32.58,9.27
2022-03-24 02:00:56,0.0,0.0,0.0,0.0
