Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,75.89,0.0,3.97,1297.17,63.11,111.27,0.0
2018-03-29 01:00:56,58.18,0.0,4.05,1488.23,63.12,128.23,0.0
2018-03-29 02:00:56,47.17,0.0,3.57,1073.31,49.24,88.29,0.0
2018-03-29 03:00:56,32.14,0.0,3.06,955.78,32.56,45.59,0.0
2018-03-29 04:00:56,21.6,0.0,2.89,911.77,29.88,45.71,0.0
2018-03-29 05:00:56,20.75,0.0,3.05,987.49,19.75,22.18,0.0
2018-03-29 06:00:56,29.77,0.0,2.79,868.86,17.48,20.54,0.0
2018-03-29 07:00:56,22.07,0.0,2.62,860.66,19.29,23.12,0.0
2018-03-29 08:00:56,11.12,0.0,2.23,943.21,37.12,51.34,0.0
2018-03-29 09:00:56,15.27,0.0,2.23,1121.15,66.75,111.96,0.0
2018-03-29 10:00:56,22.22,0.0,2.5,1872.54,82.32,153.76,0.0
2018-03-29 11:00:56,28.58,0.0,2.33,1345.01,65.99,100.65,0.0
2018-03-29 12:00:56,28.73,0.0,2.39,1513.65,73.73,127.85,0.0
2018-03-29 13:00:56,36.24,0.0,2.48,1442.04,85.04,145.44,0.0
2018-03-29 14:00:56,42.75,0.0,2.21,1473.75,74.36,125.23,0.0
2018-03-29 15:00:56,44.79,0.0,2.0,1865.16,97.57,205.77,0.0
2018-03-29 16:00:56,42.31,0.0,1.63,1565.31,82.58,161.05,0.0
2018-03-29 17:00:56,42.22,0.0,1.69,1711.0,83.04,165.17,0.0
2018-03-29 18:00:56,46.19,0.0,1.73,1734.19,87.55,174.38,0.0
2018-03-29 19:00:56,50.75,0.0,1.73,1629.55,88.09,175.62,0.0
2018-03-29 20:00:56,53.81,0.0,1.28,1676.01,86.39,173.27,0.0
2018-03-29 21:00:56,55.09,0.0,1.64,1705.26,94.01,182.86,0.0
2018-03-29 22:00:56,64.14,0.0,1.45,1907.8,82.49,165.51,0.0
2018-03-29 23:00:56,68.77,0.0,1.37,1753.64,77.56,154.5,0.0
2018-03-30 00:00:56,72.07,0.0,1.13,1602.21,86.36,181.48,0.0
2018-03-30 01:00:56,74.88,0.0,1.39,1792.18,94.05,205.78,0.0
2018-03-30 02:00:56,112.0,0.0,1.37,1675.19,78.03,143.59,0.0
2018-03-30 03:00:56,115.3,0.0,0.9,1453.79,71.73,107.76,0.0
2018-03-30 04:00:56,92.47,0.0,0.44,1421.81,59.15,77.44,0.0
2018-03-30 05:00:56,82.84,0.0,0.66,1295.53,48.95,62.26,0.0
2018-03-30 06:00:56,72.52,0.0,0.55,1116.5,38.78,48.33,0.0
2018-03-30 07:00:56,65.16,0.0,0.32,1117.32,36.54,45.92,0.0
2018-03-30 08:00:56,70.68,0.0,0.48,1223.37,58.91,110.87,0.0
2018-03-30 09:00:56,86.61,0.0,0.81,1932.95,73.45,238.6,0.0
2018-03-30 10:00:56,108.87,0.0,0.86,2072.89,78.97,239.75,0.0
2018-03-30 11:00:56,130.32,0.0,1.49,1690.5,74.34,200.86,0.0
2018-03-30 12:00:56,130.55,0.0,2.95,1574.06,72.22,156.57,0.0
2018-03-30 13:00:56,130.21,0.0,7.17,1530.33,76.2,144.98,0.0
2018-03-30 14:00:56,119.36,0.0,11.72,1341.18,68.66,107.48,0.0
2018-03-30 15:00:56,74.8,0.0,6.54,1270.39,52.38,74.57,0.0
2018-03-30 16:00:56,55.93,0.0,5.35,1211.62,65.49,93.3,0.0
2018-03-30 17:00:56,60.8,0.0,5.73,1323.1,83.19,121.76,0.0
2018-03-30 18:00:56,81.87,0.0,5.93,1329.56,81.87,116.94,0.0
2018-03-30 19:00:56,84.38,0.0,9.3,1337.08,84.87,131.78,0.0
2018-03-30 20:00:56,77.04,0.0,8.21,1479.49,96.9,156.05,0.0
2018-03-30 21:00:56,75.65,0.0,9.08,2019.59,106.22,200.46,0.0
2018-03-30 22:00:56,88.75,0.0,9.71,2607.26,117.42,258.12,0.0
2018-03-30 23:00:56,117.03,0.0,11.31,2814.99,112.61,265.92,0.0
2018-03-31 00:00:56,125.29,0.0,9.81,3340.89,108.32,264.32,0.0
2018-03-31 01:00:56,121.38,0.0,8.71,3152.83,110.99,316.71,0.0
2018-03-31 02:00:56,111.52,0.0,8.69,2500.93,101.47,244.67,0.0
