Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,41.79,0.0,62.79,0.0,30.06,45.27,34.03
2022-03-23 17:00:56,56.86,0.0,56.99,0.0,29.1,44.09,32.19
2022-03-23 18:00:56,42.42,0.0,54.5,0.0,26.87,39.58,31.34
2022-03-23 19:00:56,35.2,0.0,52.73,0.0,26.68,39.27,29.3
2022-03-23 20:00:56,35.79,0.0,54.3,0.0,35.12,48.24,25.57
2022-03-23 21:00:56,29.43,0.0,58.17,0.0,36.93,51.27,26.38
2022-03-23 22:00:56,36.48,0.0,55.7,0.0,36.85,50.3,25.04
2022-03-23 23:00:56,43.59,0.0,54.87,0.0,32.8,45.69,25.9
2022-03-24 00:00:56,38.84,0.0,55.48,0.0,23.8,36.02,29.45
2022-03-24 01:00:56,35.73,0.0,53.8,0.0,23.96,35.98,28.69
2022-03-24 02:00:56,47.18,0.0,53.93,0.0,20.97,32.14,29.1
2022-03-24 03:00:56,41.41,0.0,58.69,0.0,24.12,35.85,25.98
2022-03-24 04:00:56,56.77,0.0,62.6,0.0,31.89,44.94,23.64
2022-03-24 05:00:56,74.05,0.0,81.13,0.0,35.48,48.94,24.3
2022-03-24 06:00:56,101.98,0.0,106.75,0.0,32.29,47.04,27.0
2022-03-24 07:00:56,121.22,0.0,98.77,0.0,42.67,58.62,21.1
2022-03-24 08:00:56,114.44,0.0,64.64,0.0,65.94,112.42,9.06
2022-03-24 09:00:56,83.91,0.0,103.89,0.0,70.26,142.39,10.64
2022-03-24 10:00:56,149.8,0.0,87.15,0.0,51.04,85.65,22.48
2022-03-24 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
