Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-22 16:00:56,0.0,26.01,22.85,0.0,32.08,40.71,83.19
2022-03-22 17:00:56,0.0,0.0,18.51,0.0,31.6,39.29,0.0
2022-03-22 18:00:56,0.0,28.27,14.97,0.0,31.32,37.8,0.0
2022-03-22 19:00:56,0.0,32.73,16.44,0.0,44.78,51.14,0.0
2022-03-22 20:00:56,0.0,34.37,18.93,0.0,61.32,66.93,0.0
2022-03-22 21:00:56,0.0,44.74,21.89,0.0,71.57,77.97,51.63
2022-03-22 22:00:56,0.0,56.63,22.64,0.0,63.53,68.76,51.38
2022-03-22 23:00:56,0.0,64.11,18.83,0.0,62.15,66.11,44.66
2022-03-23 00:00:56,0.0,0.0,19.18,0.0,57.43,62.54,53.95
2022-03-23 01:00:56,0.0,40.57,20.05,0.0,53.79,57.86,54.24
2022-03-23 02:00:56,0.0,40.57,18.44,0.0,78.03,84.02,25.03
2022-03-23 03:00:56,0.0,0.0,15.7,0.0,74.8,84.85,23.56
2022-03-23 04:00:56,0.0,0.0,14.56,0.0,69.98,73.92,25.17
2022-03-23 05:00:56,0.0,0.0,14.3,0.0,64.23,68.85,28.52
2022-03-23 06:00:56,0.0,0.0,15.57,0.0,61.9,65.84,30.58
2022-03-23 07:00:56,0.0,0.0,16.04,0.0,66.03,72.45,33.84
2022-03-23 08:00:56,0.0,0.0,19.3,0.0,91.96,120.78,19.6
2022-03-23 09:00:56,0.0,50.69,25.93,0.0,97.0,119.95,18.89
2022-03-23 10:00:56,0.0,60.75,30.26,0.0,101.19,131.18,22.39
2022-03-23 11:00:56,0.0,72.01,35.12,0.0,90.73,116.69,38.72
2022-03-23 12:00:56,0.0,90.41,28.13,0.0,80.51,93.94,44.11
2022-03-23 13:00:56,0.0,40.46,20.05,0.0,66.89,76.54,46.54
2022-03-23 14:00:56,0.0,39.87,23.54,0.0,53.37,67.1,59.33
2022-03-23 15:00:56,0.0,35.56,29.81,0.0,59.03,69.66,65.39
2022-03-23 16:00:56,0.0,53.61,22.85,0.0,46.09,56.39,60.17
2022-03-23 17:00:56,0.0,26.7,18.09,0.0,42.58,49.66,58.6
2022-03-23 18:00:56,0.0,14.41,16.1,0.0,54.66,61.65,44.45
2022-03-23 19:00:56,0.0,19.58,17.0,0.0,64.95,73.54,37.73
2022-03-23 20:00:56,0.0,16.69,19.14,0.0,66.17,76.74,42.58
2022-03-23 21:00:56,0.0,13.95,18.34,0.0,54.38,60.75,46.46
2022-03-23 22:00:56,0.0,20.34,16.85,0.0,51.19,55.7,44.65
2022-03-23 23:00:56,0.0,19.78,16.83,0.0,46.93,52.21,42.8
2022-03-24 00:00:56,0.0,9.16,13.4,0.0,45.04,47.94,42.04
2022-03-24 01:00:56,0.0,21.15,14.71,0.0,54.24,57.56,36.95
2022-03-24 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
