Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,0.0,9.74,13.25,0.0,42.46,56.59,75.41
2022-03-23 17:00:56,0.0,6.65,12.88,0.0,41.93,56.12,73.01
2022-03-23 18:00:56,0.0,3.22,12.39,0.0,49.54,65.99,57.67
2022-03-23 19:00:56,0.0,4.83,11.65,0.0,81.75,106.87,25.08
2022-03-23 20:00:56,0.0,15.82,12.5,0.0,46.55,60.5,69.58
2022-03-23 21:00:56,0.0,8.11,11.8,0.0,43.39,57.01,68.37
2022-03-23 22:00:56,0.0,9.04,11.93,0.0,45.05,58.12,61.12
2022-03-23 23:00:56,0.0,9.44,11.5,0.0,48.82,62.38,56.09
2022-03-24 00:00:56,0.0,10.29,12.25,0.0,45.84,59.36,60.3
2022-03-24 01:00:56,0.0,8.29,12.84,0.0,42.64,56.06,65.27
2022-03-24 02:00:56,0.0,5.65,12.08,0.0,38.71,52.1,68.85
2022-03-24 03:00:56,0.0,5.62,12.1,0.0,36.85,49.72,76.12
2022-03-24 04:00:56,0.0,6.09,12.08,0.0,37.08,50.35,74.19
2022-03-24 05:00:56,0.0,8.1,12.74,0.0,36.74,50.04,74.25
2022-03-24 06:00:56,0.0,5.87,12.19,0.0,37.93,50.82,69.36
2022-03-24 07:00:56,0.0,5.63,11.24,0.0,38.96,52.52,51.9
2022-03-24 08:00:56,0.0,6.85,11.16,0.0,66.57,102.56,19.8
2022-03-24 09:00:56,0.0,12.63,11.33,0.0,72.24,160.33,10.68
2022-03-24 10:00:56,0.0,7.97,12.91,0.0,58.79,95.12,53.11
2022-03-24 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
